breakpoints,primitives,points,q_bp
35723,movec_fit,"[array([1455.82956634, -616.80107841, 1339.53484869]), array([1448.23387567, -598.5663179 , 1362.57983916])]","[array([-0.58624193,  0.24622661, -0.17996578, -2.75060377, -1.6782336 ,
       -2.66782926]), array([-0.56524043,  0.21882638, -0.18049461, -2.78439888, -1.66949126,
       -2.67962218])]"
37957,movec_fit,"[array([1436.60109006, -573.76654708, 1390.66585448]), array([1423.0165054 , -547.77487469, 1416.6190348 ])]","[array([-0.5341494 ,  0.17968155, -0.17640858, -2.83518684, -1.65327573,
       -2.69607065]), array([-0.50126135,  0.13840845, -0.16678077, -2.8869663 , -1.63453247,
       -2.71191262])]"
40157,movec_fit,"[array([1407.77840749, -521.04866231, 1440.0189339 ]), array([1390.90788175, -493.49371707, 1461.10768185])]","[array([-0.46404357,  0.09838153, -0.1556547 , -2.94453572, -1.61756164,
       -2.73377899]), array([-0.42470854,  0.05617784, -0.13860905, -3.00308885, -1.59784443,
       -2.75428699])]"
41729,movec_fit,"[array([1377.92258576, -473.33308926, 1474.83003642]), array([1364.27586828, -452.92991775, 1487.35901755])]","[array([-0.39366565,  0.03059593, -0.1291768 , -3.04790018, -1.59097109,
       -2.77601342]), array([-0.3615571 ,  0.00386255, -0.11656169, -3.09299895, -1.58259328,
       -2.79700052])]"
43267,movec_fit,"[array([1350.31036962, -432.70074899, 1498.59654743]), array([1335.84810254, -412.34983252, 1508.76660481])]","[array([-0.32894324, -0.01896301, -0.10574972, -3.13720395, -1.57981164,
       -2.82053503]), array([-0.29534548, -0.04279491, -0.09208831, -3.18156463, -1.57573965,
       -2.8433452 ])]"
44830,movec_fit,"[array([1320.65634055, -391.4978672 , 1518.14936967]), array([1305.05026202, -370.57702846, 1526.54420258])]","[array([-0.2603225 , -0.0618916 , -0.08146564, -3.22600684, -1.57970931,
       -2.87042289]), array([-0.22432298, -0.0820023 , -0.06800624, -3.27049216, -1.58241546,
       -2.89694038])]"
46424,movec_fit,"[array([1288.73077254, -349.1409953 , 1534.21681139]), array([1272.10493639, -327.72297834, 1540.9710912 ])]","[array([-0.18690205, -0.09661199, -0.05807092, -3.31511226, -1.594383  ,
       -2.92642452]), array([-0.14864301, -0.11218667, -0.04526204, -3.35952071, -1.60506022,
       -2.95550996])]"
48128,movec_fit,"[array([1253.97426372, -304.76231772, 1547.3253221 ]), array([1235.58410855, -281.86487294, 1552.76599982])]","[array([-0.10830196, -0.12295853, -0.03512697, -3.40410485, -1.62542941,
       -2.98683995]), array([-0.0672185 , -0.13468898, -0.02191341, -3.44822578, -1.64439745,
       -3.01795213])]"
49899,movec_fit,"[array([1216.18118803, -258.05728837, 1557.59573343]), array([1196.5521615 , -234.32464638, 1561.58110535])]","[array([-0.02699402, -0.14238311, -0.01086132, -3.48813445, -1.67057137,
       -3.04728205]), array([ 1.38213003e-02, -1.50837170e-01,  2.99146103e-03, -3.52738391e+00,
       -1.69547708e+00, -3.07654247e+00])]"
49999,movel_fit,"[array([1194.32778361, -231.64546697, 1562.00342869])]","[array([ 1.55654398e-02, -1.50800232e-01,  2.59180896e-03, -3.52675725e+00,
       -1.69949615e+00, -3.07664132e+00])]"
