breakpoints,primitives,p_bp,q_bp
34999,moveabsj,"[array([1586.32360347,  498.7987715 , 1096.49062856])]","[array([-0.0524946 , -0.01990972,  0.91025474,  2.06058055,  1.32786486,
       -3.04605751])]"
35999,moveabsj,"[array([1574.08199944,  509.11864801, 1103.45066364])]","[array([-0.04690499, -0.02878737,  0.91692107,  2.06126213,  1.33469333,
       -3.05164721])]"
36999,moveabsj,"[array([1559.93338735,  515.20177289, 1117.75569489])]","[array([-0.04402125, -0.04114897,  0.92595811,  2.06628765,  1.34909577,
       -3.06243236])]"
37999,moveabsj,"[array([1544.72249865,  517.36055553, 1140.39434629])]","[array([-0.04334879, -0.05650746,  0.93624656,  2.07632983,  1.3711022 ,
       -3.07876731])]"
38999,moveabsj,"[array([1529.43771141,  516.46845092, 1172.2037767 ])]","[array([-0.04369997, -0.07370894,  0.94647556,  2.0928679 ,  1.40084993,
       -3.10177447])]"
39999,moveabsj,"[array([1515.56102439,  514.30684033, 1211.81535869])]","[array([-0.04324878, -0.09047784,  0.95445491,  2.1156588 ,  1.43614184,
       -3.13082143])]"
40999,moveabsj,"[array([1504.08522733,  513.05128726, 1255.60280124])]","[array([-0.04034756, -0.10516875,  0.95838034,  2.14207365,  1.47198004,
       -3.16233675])]"
41999,moveabsj,"[array([1495.01848572,  514.44429472, 1297.50906298])]","[array([-0.03444003, -0.11642381,  0.95847754,  2.16823846,  1.50369773,
       -3.19248264])]"
42999,moveabsj,"[array([1487.16520088,  519.04117136, 1332.17875812])]","[array([-0.02640582, -0.12466616,  0.95680716,  2.19012867,  1.5283123 ,
       -3.21771036])]"
43999,moveabsj,"[array([1478.98185945,  526.47016619, 1356.88232045])]","[array([-0.01768292, -0.13157417,  0.95574935,  2.20502738,  1.54469728,
       -3.23565772])]"
44999,moveabsj,"[array([1469.16959578,  535.84566415, 1370.21425367])]","[array([-0.00937251, -0.13812995,  0.95773813,  2.21250781,  1.5540215 ,
       -3.24675887])]"
45999,moveabsj,"[array([1457.27535282,  546.404318  , 1371.62645405])]","[array([-2.76192626e-03, -1.46075556e-01,  9.63314748e-01,  2.21043465e+00,
        1.55451586e+00, -3.24831906e+00])]"
46999,moveabsj,"[array([1443.61625716,  557.88284645, 1360.02090456])]","[array([ 1.87596977e-03, -1.55044179e-01,  9.72670538e-01,  2.19839027e+00,
        1.54578935e+00, -3.24002309e+00])]"
47999,moveabsj,"[array([1429.07176102,  570.80860964, 1335.14024969])]","[array([ 0.00529604, -0.1634752 ,  0.98473484,  2.17683654,  1.52792541,
       -3.22225274])]"
48999,moveabsj,"[array([1414.97440872,  586.84700524, 1297.3989599 ])]","[array([ 0.00921817, -0.1703601 ,  0.99672005,  2.1452645 ,  1.49793207,
       -3.19346393])]"
49999,moveabsj,"[array([1377.81610341,  639.94609346, 1173.49890445])]","[array([ 0.03071994, -0.18624814,  1.01594818,  2.03495666,  1.37561041,
       -3.07814888])]"
