breakpoints,primitives,points,q_bp
0,moveabsj,"[array([1406.75917622,  343.66102599, 1444.17030649])]","[array([-0.16241888,  0.02478482,  0.18532528, -2.11870457, -1.61546014,
        2.53553027])]"
1000,moveabsj,"[array([1415.25989378,  315.45676346, 1432.89207619])]","[array([-0.17716373,  0.02909685,  0.18183824, -2.13560632, -1.61190751,
        2.52979603])]"
2000,moveabsj,"[array([1422.44904099,  287.27533801, 1422.73716139])]","[array([-0.19236933,  0.03029926,  0.18085284, -2.1509346 , -1.6056224 ,
        2.5239224 ])]"
3000,moveabsj,"[array([1428.86530795,  258.22407895, 1413.17451752])]","[array([-0.20781131,  0.03099099,  0.179551  , -2.16687933, -1.59932893,
        2.51780361])]"
4000,moveabsj,"[array([1434.41302792,  228.51801769, 1403.93915417])]","[array([-0.22331716,  0.03155473,  0.17789327, -2.18347808, -1.59344545,
        2.51155699])]"
5000,moveabsj,"[array([1438.93913065,  198.49834075, 1394.94076731])]","[array([-0.23877307,  0.03188008,  0.1762444 , -2.20044313, -1.58789031,
        2.5052718 ])]"
6000,moveabsj,"[array([1442.34197446,  168.46965085, 1386.07323525])]","[array([-0.25406478,  0.03197104,  0.17482985, -2.21757778, -1.58269377,
        2.49903037])]"
7000,moveabsj,"[array([1444.54975322,  138.73677169, 1377.18954354])]","[array([-0.26906443,  0.03194655,  0.17378438, -2.23473708, -1.57800413,
        2.4929295 ])]"
8000,moveabsj,"[array([1445.51469477,  109.58879297, 1368.18026042])]","[array([-0.28366379,  0.03188989,  0.1732286 , -2.25177459, -1.57393632,
        2.4870534 ])]"
9000,moveabsj,"[array([1445.22879284,   81.24145347, 1359.03269059])]","[array([-0.29780594,  0.03177272,  0.17326702, -2.26855515, -1.57048431,
        2.4814404 ])]"
10000,moveabsj,"[array([1443.73066061,   53.80652392, 1349.82022359])]","[array([-0.31148737,  0.03148385,  0.17395942, -2.28498639, -1.56753949,
        2.47607837])]"
11000,moveabsj,"[array([1441.0931988 ,   27.30940521, 1340.64952096])]","[array([-0.32473724,  0.03090028,  0.17531145, -2.30102797, -1.56496243,
        2.47092678])]"
12000,moveabsj,"[array([1437.40341893,    1.72945324, 1331.61305775])]","[array([-0.33759448,  0.02993942,  0.17728827, -2.3166765 , -1.56264377,
        2.46594376])]"
13000,moveabsj,"[array([1432.74828145,  -22.96875921, 1322.77124166])]","[array([-0.35009602,  0.02857069,  0.17983497, -2.33194434, -1.56052308,
        2.46110063])]"
14000,moveabsj,"[array([1427.21114606,  -46.82538833, 1314.15910209])]","[array([-0.36227651,  0.0267983 ,  0.18289117, -2.34684604, -1.55857243,
        2.4563813 ])]"
15000,moveabsj,"[array([1420.87470428,  -69.88848071, 1305.79934464])]","[array([-0.37417233,  0.0246399 ,  0.18639712, -2.36139434, -1.55677054,
        2.45177492])]"
16000,moveabsj,"[array([1413.8240022 ,  -92.21642393, 1297.70855969])]","[array([-0.3858233 ,  0.0221173 ,  0.19029471, -2.37559939, -1.5550892 ,
        2.44727158])]"
17000,moveabsj,"[array([1406.14645229, -113.87322086, 1289.89566184])]","[array([-0.39727053,  0.01926003,  0.19452728, -2.38946628, -1.55349668,
        2.44286415])]"
18000,moveabsj,"[array([1397.93037095, -134.92068178, 1282.35934607])]","[array([-0.40855318,  0.01611155,  0.19903925, -2.4029912 , -1.55196677,
        2.43855252])]"
19000,moveabsj,"[array([1389.26577947, -155.41581332, 1275.0903505 ])]","[array([-0.41970769,  0.01272843,  0.20377556, -2.41615959, -1.55047853,
        2.43434393])]"
20000,moveabsj,"[array([1380.24962008, -175.41704929, 1268.07828134])]","[array([-0.43077003,  0.00917099,  0.20868049, -2.42894818, -1.54900117,
        2.43024709])]"
21000,moveabsj,"[array([1370.99360785, -194.99431591, 1261.31814851])]","[array([-0.44177851,  0.00549244,  0.21369612, -2.44132883, -1.54747255,
        2.42626366])]"
22000,moveabsj,"[array([1361.62984627, -214.23288411, 1254.81231243])]","[array([-4.52773609e-01,  1.73574055e-03,  2.18760943e-01, -2.45326914e+00,
       -1.54578856e+00,  2.42238454e+00])]"
23000,moveabsj,"[array([1352.30964688, -233.22378729, 1248.56784144])]","[array([-4.63793257e-01, -2.05769332e-03,  2.23808755e-01, -2.46472638e+00,
       -1.54381624e+00,  2.41859585e+00])]"
24000,moveabsj,"[array([1343.19483509, -252.04242471, 1242.59322372])]","[array([-0.47486519, -0.00583227,  0.22876758, -2.47563634, -1.54142889,
        2.41489367])]"
25000,moveabsj,"[array([1334.44608704, -270.7261013 , 1236.89910744])]","[array([-0.4860002 , -0.00950615,  0.23355861, -2.48590306, -1.53854468,
        2.41129904])]"
26000,moveabsj,"[array([1326.21615833, -289.26417454, 1231.50507908])]","[array([-0.49718993, -0.01297347,  0.23809554, -2.49539659, -1.53514337,
        2.40786304])]"
27000,moveabsj,"[array([1318.65376448, -307.60719654, 1226.45042802])]","[array([-0.50840995, -0.01612234,  0.24228453, -2.50396008, -1.53124748,
        2.40465715])]"
28000,moveabsj,"[array([1311.91590795, -325.68738614, 1221.80427049])]","[array([-0.51962506, -0.01885857,  0.24602506, -2.51142041, -1.52688114,
        2.40175554])]"
29000,moveabsj,"[array([1306.17787041, -343.43305759, 1217.67067057])]","[array([-0.53079207, -0.02112006,  0.24921111, -2.51759416, -1.52204056,
        2.39922296])]"
30000,moveabsj,"[array([1301.62835172, -360.76354968, 1214.18608538])]","[array([-0.54185773, -0.02287324,  0.25173363, -2.52228724, -1.51670511,
        2.39711809])]"
31000,moveabsj,"[array([1298.44542337, -377.56759822, 1211.50800282])]","[array([-0.55275346, -0.02409729,  0.25348668, -2.52529611, -1.51088654,
        2.39550855])]"
32000,moveabsj,"[array([1296.76363978, -393.68650442, 1209.79588907])]","[array([-0.56339275, -0.0247724 ,  0.25437956, -2.5264224 , -1.50467586,
        2.39448074])]"
33000,moveabsj,"[array([1296.65336928, -408.92789393, 1209.18913238])]","[array([-0.5736769 , -0.02488629,  0.25435297, -2.52550499, -1.49823678,
        2.394127  ])]"
34000,moveabsj,"[array([1298.12627853, -423.11519179, 1209.78800629])]","[array([-0.58350907, -0.0244551 ,  0.25339208, -2.52245856, -1.49173366,
        2.39451085])]"
35000,moveabsj,"[array([1301.15756393, -436.14691658, 1211.6396406 ])]","[array([-0.59280966, -0.02353769,  0.25153018, -2.51730154, -1.485243  ,
        2.39563195])]"
36000,moveabsj,"[array([1305.7031749 , -448.03293939, 1214.7274826 ])]","[array([-0.60152596, -0.02222878,  0.24884285, -2.51016485, -1.47870915,
        2.3974126 ])]"
37000,moveabsj,"[array([1311.70947957, -458.90044383, 1218.96888678])]","[array([-0.60963479, -0.02063791,  0.24543449, -2.50128077, -1.4719485 ,
        2.39970605])]"
38000,moveabsj,"[array([1319.13979107, -468.98665867, 1224.23451913])]","[array([-0.61713997, -0.01887261,  0.24141515, -2.49094892, -1.46465364,
        2.40231152])]"
39000,moveabsj,"[array([1328.02060824, -478.6237565 , 1230.3878394 ])]","[array([-0.6240638 , -0.01702807,  0.23687095, -2.47948364, -1.45638443,
        2.40499026])]"
