breakpoints,primitives,points,q_bp
35000,moveabsj,"[array([-104.05044068, 1051.86949968,  520.03261576])]","[array([ 1.32381955,  0.63591378, -2.32703538, -1.31570541,  1.13544484,
       -5.16387114])]"
36000,moveabsj,"[array([-114.6144247 , 1058.1385475 ,  560.07462825])]","[array([ 1.33070226,  0.61679507, -2.34307371, -1.30664812,  1.12372326,
       -5.14984165])]"
37000,moveabsj,"[array([-126.09726868, 1063.28076552,  602.92864693])]","[array([ 1.33711561,  0.59728943, -2.36019183, -1.29761699,  1.11201304,
       -5.13448054])]"
38000,moveabsj,"[array([-138.32501578, 1066.71806394,  647.64882143])]","[array([ 1.34326166,  0.57760658, -2.37799219, -1.28842044,  1.09967669,
       -5.11817941])]"
39000,moveabsj,"[array([-151.28209984, 1068.05337045,  693.20287005])]","[array([ 1.34940342,  0.55799566, -2.39602634, -1.27866038,  1.0859679 ,
       -5.10124479])]"
40000,moveabsj,"[array([-165.11453574, 1067.09586303,  738.57953597])]","[array([ 1.35580791,  0.53873083, -2.41384004, -1.26780818,  1.07015445,
       -5.08386881])]"
41000,moveabsj,"[array([-179.97242638, 1063.85165824,  782.86404517])]","[array([ 1.36261453,  0.52008547, -2.43102217, -1.25546093,  1.05181883,
       -5.06620001])]"
42000,moveabsj,"[array([-195.79589322, 1058.49266759,  825.28432813])]","[array([ 1.36974191,  0.50228861, -2.44724884, -1.24159867,  1.03110329,
       -5.04845463])]"
43000,moveabsj,"[array([-212.39003895, 1051.30156651,  865.26339995])]","[array([ 1.3770179 ,  0.48549842, -2.46229556, -1.22643133,  1.00844655,
       -5.03086605])]"
44000,moveabsj,"[array([-229.82415873, 1042.59479288,  902.42367938])]","[array([ 1.38444655,  0.46984846, -2.47598381, -1.20986942,  0.98391404,
       -5.01345772])]"
45000,moveabsj,"[array([-248.39266944, 1032.68956882,  936.45955247])]","[array([ 1.39215484,  0.45549843, -2.48812171, -1.19156046,  0.95723258,
       -4.99609154])]"
46000,moveabsj,"[array([-267.96194442, 1021.93372076,  967.09951904])]","[array([ 1.40004216,  0.44254626, -2.49857698, -1.17166522,  0.92869276,
       -4.9788654 ])]"
47000,moveabsj,"[array([-288.18811021, 1010.62853546,  994.36776669])]","[array([ 1.40791393,  0.43095149, -2.50739433, -1.15064217,  0.89887777,
       -4.96193899])]"
48000,moveabsj,"[array([-308.88658998,  998.98836375, 1018.4606582 ])]","[array([ 1.41567411,  0.42063153, -2.51468479, -1.12877442,  0.86812177,
       -4.9453436 ])]"
49000,moveabsj,"[array([-328.5033141 ,  987.36734271, 1039.56309308])]","[array([ 1.42269462,  0.41123628, -2.52072553, -1.10786144,  0.83862449,
       -4.93000655])]"
50000,moveabsj,"[array([-347.21843953,  976.18030375, 1057.20489438])]","[array([ 1.42917665,  0.40299965, -2.52514735, -1.08766304,  0.81036039,
       -4.91592633])]"
