primitives,points,q_bp
moveabsj_fit,"[array([ 660.67117858, -784.52545975,  614.79816787])]","[array([-1.01258758,  0.11952538,  0.0142176 ,  2.87606701,  1.37129517,
       -0.03274608])]"
movel_fit,"[array([ 640.43256551, -620.73406461,  553.83236291])]","[array([-1.01562765,  0.02940342, -0.18297503,  2.725575  ,  1.44537509,
       -0.25158018])]"
movel_fit,"[array([ 638.29562018, -566.1206989 ,  540.39501056])]","[array([-1.00644278,  0.01090235, -0.23270875,  2.68065325,  1.47552917,
       -0.35174573])]"
movel_fit,"[array([ 640.0894283 , -510.37622099,  532.77215913])]","[array([-0.99337348, -0.0069194 , -0.27836587,  2.63302556,  1.50455237,
       -0.44706354])]"
movel_fit,"[array([ 645.31531582, -454.3964299 ,  530.52837145])]","[array([-0.97452234, -0.02659353, -0.32096606,  2.5858866 ,  1.52942248,
       -0.53535212])]"
movel_fit,"[array([ 653.31307627, -398.78332363,  532.931574  ])]","[array([-0.94907535, -0.04980995, -0.36079342,  2.54078775,  1.54839427,
       -0.61553122])]"
movel_fit,"[array([ 663.41228691, -343.80773616,  539.14909003])]","[array([-0.91417018, -0.07309965, -0.39244169,  2.50159727,  1.56328404,
       -0.69360474])]"
movel_fit,"[array([ 674.95537601, -289.57640762,  548.32512731])]","[array([-0.86903891, -0.09313067, -0.41257008,  2.46962729,  1.57547145,
       -0.772457  ])]"
movel_fit,"[array([ 687.38939216, -235.96414636,  559.72325808])]","[array([-0.81453953, -0.10848318, -0.42087598,  2.44438902,  1.58515693,
       -0.85183853])]"
movel_fit,"[array([ 700.21327219, -182.80110417,  572.67302034])]","[array([-0.75159813, -0.11817557, -0.41758942,  2.42562009,  1.59245966,
       -0.93124748])]"
movel_fit,"[array([ 712.95659517, -129.87179647,  586.56381408])]","[array([-0.68111886, -0.12188528, -0.40340623,  2.41339157,  1.5973756 ,
       -1.00987637])]"
movel_fit,"[array([725.17289614, -76.92055278, 600.82894169])]","[array([-0.6033688 , -0.11897775, -0.37831831,  2.40859821,  1.60036696,
       -1.08764527])]"
movel_fit,"[array([736.38965838, -23.69072388, 614.88827507])]","[array([-0.5177985 , -0.10706789, -0.34047763,  2.41326694,  1.60340701,
       -1.16585127])]"
movel_fit,"[array([746.08128813,  30.04582378, 628.12112556])]","[array([-0.42389694, -0.08422993, -0.28836664,  2.42937367,  1.6087756 ,
       -1.24533257])]"
movel_fit,"[array([753.65192726,  84.49986271, 639.83699965])]","[array([-0.32129565, -0.05068469, -0.22232842,  2.458532  ,  1.61775953,
       -1.32564777])]"
movel_fit,"[array([758.36424584, 139.69280133, 649.18386976])]","[array([-0.20908344, -0.00546306, -0.14188412,  2.50287961,  1.63296487,
       -1.40716604])]"
movel_fit,"[array([759.43260309, 195.61541087, 655.23891072])]","[array([-0.08642315,  0.05447361, -0.04557785,  2.56381662,  1.65923391,
       -1.49111008])]"
movel_fit,"[array([756.03442877, 251.73739915, 656.98100573])]","[array([ 0.04525408,  0.13012999,  0.06444014,  2.63970438,  1.70019858,
       -1.57631869])]"
movel_fit,"[array([747.48722036, 307.22116131, 653.4883225 ])]","[array([ 0.18143168,  0.22130155,  0.18288557,  2.72462461,  1.75765649,
       -1.66063778])]"
movel_fit,"[array([733.55879969, 360.9884766 , 644.27634944])]","[array([ 0.31401993,  0.32888461,  0.30525216,  2.80802941,  1.83253709,
       -1.74358388])]"
movel_fit,"[array([714.59702517, 411.89224696, 629.46634192])]","[array([ 0.43346363,  0.45459598,  0.43060214,  2.87730271,  1.92473103,
       -1.82777729])]"
movel_fit,"[array([691.35385201, 459.14607873, 609.68683595])]","[array([ 0.53254589,  0.59775831,  0.55960669,  2.92194367,  2.03108656,
       -1.91818711])]"
movel_fit,"[array([664.74429533, 502.58361975, 585.82189993])]","[array([ 0.60982486,  0.74834117,  0.68544589,  2.9380174 ,  2.13991375,
       -2.01697976])]"
movel_fit,"[array([635.61780262, 542.32242598, 558.76100474])]","[array([ 0.66682371,  0.90268735,  0.80735241,  2.92287517,  2.24640616,
       -2.13036693])]"
movel_fit,"[array([604.53958282, 578.59403042, 529.10866685])]","[array([ 0.70718593,  1.05148403,  0.91493703,  2.87665099,  2.340521  ,
       -2.26137551])]"
movel_fit,"[array([507.75240406, 678.18905171, 434.99351899])]","[array([ 0.79994235,  1.19973485,  0.90355159,  2.75211415,  2.32070189,
       -2.46342713])]"
