breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1728.89637119, -536.13596626, 1286.2156594 ])]","[array([-0.67906648,  0.16637054,  0.55189369,  1.72657229,  1.47782323,
        2.29024949])]"
1665,moveabsj,"[array([1731.01549058, -508.5279868 , 1287.93102432])]","[array([-0.66526721,  0.16052501,  0.55866677,  1.72885017,  1.47897822,
        2.28879642])]"
3332,moveabsj,"[array([1732.03903935, -481.40065128, 1293.88642998])]","[array([-0.65185911,  0.1536732 ,  0.56490848,  1.73316624,  1.48245386,
        2.28484888])]"
4999,moveabsj,"[array([1732.06888554, -454.75237291, 1303.92137101])]","[array([-0.63876783,  0.14592159,  0.57058903,  1.73954775,  1.4881582 ,
        2.27845131])]"
6665,moveabsj,"[array([1731.26123009, -428.46422087, 1317.75887624])]","[array([-0.62583117,  0.13743869,  0.57565325,  1.74797621,  1.49592255,
        2.26972931])]"
8332,moveabsj,"[array([1729.81131122, -402.2933862 , 1334.91302905])]","[array([-0.61280734,  0.12846574,  0.58005179,  1.75832734,  1.50547815,
        2.25892712])]"
9999,moveabsj,"[array([1727.93105306, -375.99612411, 1354.50702393])]","[array([-0.59946052,  0.11934764,  0.58377778,  1.77024764,  1.51638837,
        2.24650105])]"
11665,moveabsj,"[array([1725.80140047, -349.34550158, 1375.22836997])]","[array([-0.58560998,  0.11047414,  0.58694678,  1.78309699,  1.52804718,
        2.23314301])]"
13332,moveabsj,"[array([1723.50705535, -322.17363645, 1395.4478214 ])]","[array([-0.57119174,  0.10216895,  0.58985854,  1.79597954,  1.53973542,
        2.21973438])]"
14999,moveabsj,"[array([1720.99295899, -294.54892089, 1413.35778687])]","[array([-0.55637507,  0.09460629,  0.59300084,  1.80778745,  1.55064362,
        2.20732784])]"
16665,moveabsj,"[array([1718.03873466, -266.74661012, 1427.27320146])]","[array([-0.54154351,  0.08770812,  0.59701843,  1.81736284,  1.55996364,
        2.19703848])]"
18332,moveabsj,"[array([1714.27091919, -239.16317641, 1435.77563034])]","[array([-0.52722132,  0.08113256,  0.60265662,  1.82359603,  1.5669212 ,
        2.18999718])]"
19999,moveabsj,"[array([1709.24303773, -212.35854615, 1437.55750933])]","[array([-0.51405505,  0.07440304,  0.61068209,  1.8253709 ,  1.57068535,
        2.18743273])]"
21665,moveabsj,"[array([1702.57300488, -186.88647804, 1431.16248559])]","[array([-0.5026602 ,  0.06711196,  0.62181377,  1.82150862,  1.57028342,
        2.19072122])]"
23332,moveabsj,"[array([1694.16774361, -163.04840519, 1414.6346867 ])]","[array([-0.49338015,  0.05925359,  0.63658524,  1.81071509,  1.5644782 ,
        2.20143197])]"
24999,moveabsj,"[array([1684.54714955, -140.53581829, 1385.65575478])]","[array([-0.48587135,  0.05163569,  0.65494575,  1.79186127,  1.55179126,
        2.22112058])]"
26665,moveabsj,"[array([1675.07987166, -117.90576494, 1342.94783931])]","[array([-0.4785071 ,  0.04600109,  0.6756309 ,  1.76497418,  1.53096433,
        2.25057485])]"
28332,moveabsj,"[array([1667.71904016,  -92.88297677, 1289.51797171])]","[array([-0.4684815 ,  0.04418609,  0.69570989,  1.73296232,  1.50237844,
        2.28817043])]"
29999,moveabsj,"[array([1663.42768998,  -64.37443017, 1235.20776782])]","[array([-0.45397205,  0.04593952,  0.71179326,  1.70199105,  1.47032101,
        2.32817711])]"
31665,moveabsj,"[array([1660.35005922,  -33.94439364, 1191.71221239])]","[array([-0.43654442,  0.04798186,  0.72318659,  1.67762691,  1.44233928,
        2.36267672])]"
33332,moveabsj,"[array([1654.88065818,   -4.48930318, 1165.23281225])]","[array([-0.41988564,  0.04649352,  0.73249174,  1.66198872,  1.42504628,
        2.38542368])]"
34999,moveabsj,"[array([1643.98243583,   21.23431281, 1157.22137574])]","[array([-0.40735087,  0.03909394,  0.74302123,  1.65565714,  1.42248035,
        2.39229292])]"
36665,moveabsj,"[array([1626.6784472 ,   41.01242816, 1169.33893563])]","[array([-0.40088703,  0.0246574 ,  0.75611452,  1.66006341,  1.43703662,
        2.38027981])]"
38332,moveabsj,"[array([1604.9878798 ,   54.76215459, 1205.52335566])]","[array([-0.39949475,  0.00319711,  0.76943471,  1.67804492,  1.46902178,
        2.34837069])]"
39999,moveabsj,"[array([1584.08723682,   66.07257941, 1266.97511441])]","[array([-0.39777271, -0.02210991,  0.77749043,  1.71241222,  1.51382531,
        2.29971465])]"
41665,moveabsj,"[array([1570.00125146,   80.81213828, 1338.95040141])]","[array([-0.38856194, -0.04304304,  0.7768362 ,  1.75841028,  1.5584569 ,
        2.24594764])]"
43332,moveabsj,"[array([1561.70719182,  101.41302443, 1394.68930969])]","[array([-0.37214686, -0.05502178,  0.77326402,  1.79915253,  1.59065515,
        2.20325658])]"
44999,moveabsj,"[array([1551.31577639,  124.38380979, 1419.44795667])]","[array([-0.35656416, -0.06389519,  0.77671799,  1.81895421,  1.60736775,
        2.18235171])]"
46665,moveabsj,"[array([1533.11407325,  144.43465028, 1408.63794866])]","[array([-0.3491983 , -0.07639948,  0.79333842,  1.80964213,  1.60747811,
        2.18969255])]"
48332,moveabsj,"[array([1510.48334631,  161.0461893 , 1359.12003208])]","[array([-0.34923117, -0.08884887,  0.82153143,  1.77168954,  1.58840406,
        2.22607191])]"
49999,moveabsj,"[array([1493.07911661,  180.17735978, 1276.7274419 ])]","[array([-0.34628622, -0.09066262,  0.85183443,  1.71783148,  1.5482541 ,
        2.28417058])]"
