breakpoints,primitives,p_bp,q_bp
35999,moveabsj,"[array([-778.9146519 , -422.72589343,  390.6769695 ])]","[array([-0.06183203, -0.63523736, -3.26491607,  0.6257874 ,  0.34757201,
        0.57064463])]"
36999,moveabsj,"[array([-780.83760599, -427.63738667,  405.67814723])]","[array([-0.05477664, -0.61935814, -3.25214157,  0.62071095,  0.35837798,
        0.56815922])]"
37999,moveabsj,"[array([-785.70212238, -432.4047523 ,  431.44121799])]","[array([-0.04723038, -0.59366736, -3.23085103,  0.61343458,  0.37633847,
        0.56483929])]"
38999,moveabsj,"[array([-792.11346673, -437.32313091,  468.03744676])]","[array([-0.03905466, -0.55891077, -3.20115725,  0.60363859,  0.40060389,
        0.56064343])]"
39999,moveabsj,"[array([-797.96507366, -442.74797865,  514.0476183 ])]","[array([-0.03009169, -0.51732319, -3.16431776,  0.59130542,  0.42919807,
        0.55579679])]"
40999,moveabsj,"[array([-801.08209295, -448.86295324,  565.44947256])]","[array([-0.02038624, -0.47318309, -3.12357008,  0.57724879,  0.45886828,
        0.55100084])]"
41999,moveabsj,"[array([-800.41807882, -455.44541379,  616.08026235])]","[array([-0.01038628, -0.43183791, -3.08378172,  0.56319652,  0.48599829,
        0.54719073])]"
42999,moveabsj,"[array([-796.59892845, -462.01729522,  659.79733783])]","[array([-7.53790943e-04, -3.97692151e-01, -3.04974790e+00,  5.51059842e-01,
        5.07870449e-01,  5.44916082e-01])]"
43999,moveabsj,"[array([-791.24490704, -468.25288221,  692.09683352])]","[array([ 0.00806364, -0.37333721, -3.02494823,  0.54225965,  0.52292214,
        0.54416518])]"
44999,moveabsj,"[array([-786.0728125 , -474.06425362,  709.75576123])]","[array([ 0.01587912, -0.36042426, -3.01191703,  0.53783448,  0.53005487,
        0.54473142])]"
45999,moveabsj,"[array([-782.3691349 , -479.36404361,  710.21776771])]","[array([ 0.02248042, -0.36046933, -3.01274772,  0.53866514,  0.52823289,
        0.54652912])]"
46999,moveabsj,"[array([-780.3934915 , -483.98371603,  692.6170269 ])]","[array([ 0.02761991, -0.374259  , -3.02822521,  0.54512588,  0.51698982,
        0.5497053 ])]"
47999,moveabsj,"[array([-778.97561527, -487.91734396,  658.35234612])]","[array([ 0.03138866, -0.40147112, -3.05733865,  0.5568369 ,  0.49655311,
        0.55468943])]"
48999,moveabsj,"[array([-775.7892599 , -491.61171097,  610.60847487])]","[array([ 0.03456054, -0.44083406, -3.09760286,  0.57264577,  0.46745831,
        0.56197888])]"
49999,moveabsj,"[array([-768.32369172, -495.94680439,  555.16638696])]","[array([ 0.03852638, -0.48879562, -3.14421839,  0.59010885,  0.43139995,
        0.57128376])]"
