breakpoints,primitives,points
0,movej_fit,"[array([-0.58487035, -0.03123111,  0.40307179, -2.7930622 , -1.61711937,
        0.95932984])]"
3172,movel_fit,"[array([1088.63047907, -441.57210602,  993.99919362])]"
6357,movel_fit,"[array([1084.49978798, -376.22566339,  994.16538803])]"
9659,movel_fit,"[array([1077.80123009, -308.68327733,  993.98883805])]"
13656,movel_fit,"[array([1067.37418161, -227.20037001,  992.3897784 ])]"
16298,movel_fit,"[array([1060.5165974 , -173.36954511,  990.20014825])]"
18502,movel_fit,"[array([1056.63819481, -128.24975198,  988.79019474])]"
20233,movel_fit,"[array([1055.62416813,  -92.68876285,  988.36185705])]"
21789,movel_fit,"[array([1056.81136452,  -60.73630493,  988.87454696])]"
23314,movel_fit,"[array([1060.23461668,  -29.58886545,  990.12262122])]"
24913,movel_fit,"[array([1066.22606131,    2.68858186,  991.81403449])]"
26606,movel_fit,"[array([1074.87538307,   36.3807086 ,  993.08522685])]"
28290,movel_fit,"[array([1084.98965878,   69.49088981,  992.67702228])]"
29986,movel_fit,"[array([1095.42515915,  102.64026803,  989.93731033])]"
31621,movel_fit,"[array([1104.38358067,  134.7248747 ,  985.4435042 ])]"
32955,movel_fit,"[array([1109.77432051,  161.34438896,  981.60939675])]"
34049,movel_fit,"[array([1112.34613976,  183.58880445,  979.45049447])]"
35024,movel_fit,"[array([1112.82402866,  203.62216156,  978.86263478])]"
35975,movel_fit,"[array([1111.43579111,  223.10062618,  979.79101881])]"
36984,movel_fit,"[array([1107.93735303,  243.41822159,  982.19811853])]"
38131,movel_fit,"[array([1101.68101109,  265.85040359,  985.92822582])]"
39388,movel_fit,"[array([1092.54518631,  289.71031715,  989.84374355])]"
40647,movel_fit,"[array([1081.8425314,  313.1729921,  992.1434228])]"
41922,movel_fit,"[array([1070.61414427,  336.86178746,  992.1501665 ])]"
43118,movel_fit,"[array([1061.02605371,  359.43537964,  990.29849608])]"
44100,movel_fit,"[array([1055.0323638 ,  378.62157675,  988.34960715])]"
44918,movel_fit,"[array([1052.07891347,  395.14977823,  987.21196233])]"
45665,movel_fit,"[array([1051.52197901,  410.50271046,  986.98514266])]"
46415,movel_fit,"[array([1053.2049732 ,  425.82519737,  987.6701471 ])]"
47249,movel_fit,"[array([1057.46362632,  442.37814516,  989.17483477])]"
48239,movel_fit,"[array([1064.98834732,  461.20275937,  991.08025688])]"
49313,movel_fit,"[array([1075.03491275,  480.85158438,  991.98972319])]"
50000,movel_fit,"[array([1081.88252289,  493.19705187,  991.26726223])]"
