breakpoints,primitives,p_bp,q_bp
35999,movel_fit,"[array([ 792.34292975, -248.17403373,  204.75534903])]","[array([-0.95272559,  1.21235594,  0.55809483,  0.20691925,  0.98732682,
       -4.69434441])]"
36999,movel_fit,"[array([ 794.77163583, -249.4069867 ,  213.79676113])]","[array([-0.95036314,  1.19893622,  0.56881185,  0.21054072,  0.999137  ,
       -4.69020158])]"
37999,movel_fit,"[array([ 798.16988118, -253.87026475,  229.79673199])]","[array([-0.94940547,  1.17626191,  0.5866785 ,  0.21558037,  1.0186775 ,
       -4.68350602])]"
38999,movel_fit,"[array([ 802.55862491, -259.02044094,  252.26230918])]","[array([-0.94756395,  1.14517745,  0.61125753,  0.22291832,  1.04469871,
       -4.67482159])]"
39999,movel_fit,"[array([ 807.81189046, -261.59667508,  279.79769262])]","[array([-0.94225304,  1.10791698,  0.64100499,  0.23314637,  1.0750948 ,
       -4.66544997])]"
40999,movel_fit,"[array([ 813.48857752, -258.93526447,  309.65586151])]","[array([-0.93193907,  1.06859873,  0.67282652,  0.24568873,  1.10668701,
       -4.65731616])]"
41999,movel_fit,"[array([ 818.8313161 , -250.71145752,  338.11608249])]","[array([-0.91742901,  1.03229265,  0.70275352,  0.25865313,  1.13586489,
       -4.65195122])]"
42999,movel_fit,"[array([ 823.15858697, -239.08266264,  361.67437295])]","[array([-0.90138367,  1.00313862,  0.72739093,  0.26997804,  1.1597411 ,
       -4.649577  ])]"
43999,movel_fit,"[array([ 826.22200714, -227.00909369,  377.8835529 ])]","[array([-0.88659371,  0.98354818,  0.7445791 ,  0.27841908,  1.1765579 ,
       -4.64947824])]"
44999,movel_fit,"[array([ 828.09902818, -216.93364865,  385.08568612])]","[array([-0.87513786,  0.97502065,  0.75283421,  0.28335131,  1.18506941,
       -4.65088591])]"
45999,movel_fit,"[array([ 828.87771731, -210.42208909,  382.06373026])]","[array([-0.8684315 ,  0.97880712,  0.75088662,  0.28431054,  1.18410618,
       -4.6534098 ])]"
46999,movel_fit,"[array([ 828.46794528, -207.6256598 ,  368.59131899])]","[array([-0.86682972,  0.99530956,  0.73824098,  0.28111237,  1.17314403,
       -4.65718466])]"
47999,movel_fit,"[array([ 826.60031483, -206.79535811,  345.60301214])]","[array([-0.86909654,  1.02389576,  0.71540374,  0.27409266,  1.15258168,
       -4.66300072])]"
48999,movel_fit,"[array([ 823.01365438, -204.46689203,  314.87880182])]","[array([-0.87233937,  1.06318235,  0.68362094,  0.26435888,  1.12350068,
       -4.67215269])]"
49999,movel_fit,"[array([ 817.82387289, -196.58453055,  279.66312988])]","[array([-0.87245283,  1.10972309,  0.64582911,  0.25444262,  1.08850606,
       -4.68531651])]"
