breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1022.36735197, -841.09811283,  972.82895956])]","[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
1000,movel_fit,"[array([1027.92516618, -814.83099519,  981.99085135])]","[array([-0.83693436, -0.25192842,  0.58416953,  0.38535486,  1.2223692 ,
       -2.87893342])]"
2000,movel_fit,"[array([1039.1030878 , -790.09447312,  989.34041689])]","[array([-0.82266076, -0.25837103,  0.58434576,  0.39425372,  1.23227794,
       -2.8814371 ])]"
3000,movel_fit,"[array([1049.3373592 , -764.44553123,  998.09784649])]","[array([-0.80834269, -0.26622431,  0.58448989,  0.40322738,  1.24296705,
       -2.88403555])]"
4000,movel_fit,"[array([1058.87443057, -737.84130948, 1008.14991206])]","[array([-0.79386104, -0.27529646,  0.58457077,  0.4124704 ,  1.25424988,
       -2.88688223])]"
5000,movel_fit,"[array([1068.48553961, -710.53969101, 1018.75204834])]","[array([-0.77892905, -0.28446639,  0.58438234,  0.42217892,  1.26552143,
       -2.88992466])]"
6000,movel_fit,"[array([1078.53533459, -682.67991364, 1029.31661701])]","[array([-0.76339952, -0.29301128,  0.58388585,  0.4324094 ,  1.27642939,
       -2.89308829])]"
7000,movel_fit,"[array([1089.20887569, -654.33009565, 1039.38944616])]","[array([-0.74718604, -0.30044486,  0.58311475,  0.44316891,  1.28675007,
       -2.89631079])]"
8000,movel_fit,"[array([1100.53359915, -625.55647013, 1048.54675363])]","[array([-0.73026102, -0.30641426,  0.58216324,  0.45437852,  1.29634214,
       -2.89949545])]"
9000,movel_fit,"[array([1112.26773534, -596.45507513, 1056.40874531])]","[array([-0.71270556, -0.31079107,  0.58121947,  0.46581687,  1.3051873 ,
       -2.90249703])]"
10000,movel_fit,"[array([1123.9170776 , -567.16546823, 1062.70341489])]","[array([-0.694715  , -0.31371803,  0.58054629,  0.47714926,  1.31338566,
       -2.90515895])]"
11000,movel_fit,"[array([1134.89055245, -537.87227709, 1067.29606835])]","[array([-0.67654948, -0.31552577,  0.58041556,  0.48801859,  1.32109061,
       -2.90736023])]"
12000,movel_fit,"[array([1144.66088167, -508.79476754, 1070.16992294])]","[array([-0.65847492, -0.31660085,  0.58104975,  0.49812475,  1.32844063,
       -2.90903857])]"
13000,movel_fit,"[array([1152.84056683, -480.17244428, 1071.38589291])]","[array([-0.64073025, -0.31729566,  0.58260042,  0.50725378,  1.3355272 ,
       -2.91018642])]"
14000,movel_fit,"[array([1159.17722871, -452.25599418, 1071.04751118])]","[array([-0.62352453, -0.31790086,  0.58515644,  0.51526616,  1.34239639,
       -2.91083384])]"
15000,movel_fit,"[array([1163.51843946, -425.3047084 , 1069.27910658])]","[array([-0.60704778, -0.31865214,  0.58876148,  0.52207209,  1.34906282,
       -2.911032  ])]"
16000,movel_fit,"[array([1165.78649149, -399.58408096, 1066.21451842])]","[array([-0.59147923, -0.31973989,  0.5934259 ,  0.52761474,  1.35551943,
       -2.91084339])]"
17000,movel_fit,"[array([1165.97188731, -375.35795782, 1061.99225145])]","[array([-0.57698727, -0.32131093,  0.59913042,  0.53186584,  1.36174064,
       -2.91033802])]"
18000,movel_fit,"[array([1164.13226083, -352.87696029, 1056.75425409])]","[array([-0.56372565, -0.32346826,  0.60582664,  0.53482628,  1.36768406,
       -2.90959183])]"
19000,movel_fit,"[array([1160.38224986, -332.37163977, 1050.64563369])]","[array([-0.55183368, -0.32627699,  0.61343999,  0.53652198,  1.37329492,
       -2.9086839 ])]"
20000,movel_fit,"[array([1154.87319666, -314.05769506, 1043.81314656])]","[array([-0.54144398, -0.32977664,  0.62187602,  0.5369909 ,  1.37851054,
       -2.90769099])]"
21000,movel_fit,"[array([1147.77491444, -298.15047403, 1036.40312623])]","[array([-0.53269275, -0.33399264,  0.63102555,  0.53626676,  1.38325963,
       -2.9066812 ])]"
22000,movel_fit,"[array([1139.27313149, -284.8744176 , 1028.56287034])]","[array([-0.52572235, -0.33894013,  0.64076344,  0.53437099,  1.38745462,
       -2.90571008])]"
23000,movel_fit,"[array([1129.58464373, -274.45081297, 1020.44953016])]","[array([-0.52066808, -0.34461948,  0.65094031,  0.53132232,  1.39098369,
       -2.90482261])]"
24000,movel_fit,"[array([1118.97725554, -267.05910719, 1012.24590252])]","[array([-0.51763075, -0.35100994,  0.6613725 ,  0.5271639 ,  1.39371315,
       -2.90406146])]"
25000,movel_fit,"[array([1107.77533459, -262.78756692, 1004.17636873])]","[array([-0.51664806, -0.35806971,  0.67183891,  0.5219944 ,  1.39550658,
       -2.90347801])]"
26000,movel_fit,"[array([1096.34084758, -261.60321528,  996.51417983])]","[array([-0.51768201, -0.3657462 ,  0.68208882,  0.51598371,  1.39625359,
       -2.9031395 ])]"
27000,movel_fit,"[array([1085.038976  , -263.36223986,  989.5769415 ])]","[array([-0.52062954, -0.37399311,  0.69185695,  0.50936141,  1.39589012,
       -2.90312727])]"
28000,movel_fit,"[array([1074.20987134, -267.85060755,  983.71681402])]","[array([-0.52534511, -0.38278617,  0.70087644,  0.50238737,  1.39439776,
       -2.90352818])]"
