primitives,p_bp,q_bp
moveabsj,"[array([1686.87518061, -795.61519659, 1281.71652116])]","[array([-0.80859647,  0.21729075,  0.48475067,  1.70834593,  1.47120128,
        2.30382394])]"
moveabsj,"[array([1730.33189126, -519.50904171, 1291.74968379])]","[array([-0.67073292,  0.16027311,  0.55391149,  1.72701241,  1.47725995,
        2.29467273])]"
moveabsj,"[array([1731.32618127, -503.04723085, 1293.78898383])]","[array([-0.66254867,  0.15648506,  0.55786118,  1.72884938,  1.47845988,
        2.29324701])]"
moveabsj,"[array([1731.94786225, -486.76932307, 1297.37280548])]","[array([-0.65450415,  0.15234917,  0.56156676,  1.73139102,  1.48048501,
        2.29097775])]"
moveabsj,"[array([1732.20650592, -470.67718013, 1302.39978136])]","[array([-0.6465831 ,  0.14798267,  0.56510862,  1.73479234,  1.48345836,
        2.28758364])]"
moveabsj,"[array([1732.11217644, -454.74367524, 1308.89449272])]","[array([-0.63876068,  0.14327514,  0.5684457 ,  1.73893508,  1.48719077,
        2.28336106])]"
moveabsj,"[array([1731.70929702, -438.93377155, 1316.81239444])]","[array([-0.630993  ,  0.13824679,  0.57154638,  1.74379538,  1.49161261,
        2.27839303])]"
moveabsj,"[array([1731.0331673 , -423.21359258, 1325.97851155])]","[array([-0.62323928,  0.13300337,  0.57443652,  1.74937635,  1.49671324,
        2.27261474])]"
moveabsj,"[array([1730.13171056, -407.51719752, 1336.28627825])]","[array([-0.61543538,  0.12761981,  0.57711397,  1.75568832,  1.50246944,
        2.2660308 ])]"
moveabsj,"[array([1729.06363796, -391.80775663, 1347.56165564])]","[array([-0.60753913,  0.12215712,  0.579521  ,  1.76257725,  1.50873998,
        2.25885757])]"
moveabsj,"[array([1727.90748623, -375.98385803, 1359.61970647])]","[array([-0.59947003,  0.11668374,  0.58160907,  1.76990457,  1.51538406,
        2.25130307])]"
moveabsj,"[array([1726.6394818 , -360.05515118, 1371.98201276])]","[array([-0.59122953,  0.1113616 ,  0.58359108,  1.77765852,  1.52236722,
        2.24320468])]"
moveabsj,"[array([1725.30617663, -343.93650291, 1384.48769017])]","[array([-0.58277517,  0.10616814,  0.58539026,  1.78555363,  1.52946277,
        2.23502055])]"
moveabsj,"[array([1723.93106104, -327.64581203, 1396.60595538])]","[array([-0.57412035,  0.10126135,  0.58714882,  1.79341162,  1.53653749,
        2.2267962 ])]"
moveabsj,"[array([1722.5039575 , -311.14590157, 1408.12284543])]","[array([-0.5652827 ,  0.09655588,  0.58887474,  1.80091037,  1.5433289 ,
        2.21901733])]"
moveabsj,"[array([1720.95815189, -294.54433902, 1418.41673448])]","[array([-0.55636076,  0.09220756,  0.59086292,  1.807919  ,  1.5498102 ,
        2.21154568])]"
moveabsj,"[array([1719.28583143, -277.84888962, 1427.348317  ])]","[array([-0.5474138 ,  0.08806177,  0.59308096,  1.81405443,  1.55566075,
        2.20499273])]"
moveabsj,"[array([1717.37827684, -261.16793209, 1434.50331853])]","[array([-0.53856503,  0.08411741,  0.59579336,  1.81917112,  1.56081704,
        2.19937643])]"
moveabsj,"[array([1715.1543789 , -244.60886521, 1439.60517583])]","[array([-0.52995001,  0.08024601,  0.59912786,  1.82295762,  1.56503488,
        2.19507442])]"
moveabsj,"[array([1712.52334785, -228.27574574, 1442.40589889])]","[array([-0.52169603,  0.07638834,  0.60322517,  1.82520363,  1.56822408,
        2.192277  ])]"
moveabsj,"[array([1709.29181713, -212.35189732, 1442.48713956])]","[array([-0.51398591,  0.07238531,  0.60848581,  1.82579648,  1.57019691,
        2.19107461])]"
moveabsj,"[array([1705.56290134, -196.85376595, 1439.6468119 ])]","[array([-0.50685777,  0.06824189,  0.61476917,  1.82434403,  1.57066243,
        2.19199764])]"
moveabsj,"[array([1701.11066084, -181.93409344, 1433.58614564])]","[array([-0.50050578,  0.06365317,  0.62234866,  1.82053333,  1.56926133,
        2.19558496])]"
moveabsj,"[array([1696.03904568, -167.63971334, 1423.67211168])]","[array([-0.49493354,  0.05904282,  0.63129628,  1.81423791,  1.56608349,
        2.20163464])]"
moveabsj,"[array([1690.41750758, -153.92370351, 1409.5549581 ])]","[array([-0.490119  ,  0.05420105,  0.64156271,  1.80498199,  1.56034188,
        2.21116373])]"
moveabsj,"[array([1684.44966452, -140.53628706, 1390.3786004 ])]","[array([-0.48582127,  0.04967567,  0.65317223,  1.79260056,  1.55189152,
        2.2240291 ])]"
moveabsj,"[array([1678.50317502, -127.18362253, 1366.4821335 ])]","[array([-0.4816546 ,  0.0454911 ,  0.6655198 ,  1.77708632,  1.54013097,
        2.24113942])]"
moveabsj,"[array([1673.06944377, -113.26286066, 1337.75189979])]","[array([-0.4769441 ,  0.0424413 ,  0.67811259,  1.75882512,  1.52515291,
        2.26190487])]"
moveabsj,"[array([1668.56865293,  -98.31110003, 1305.5644887 ])]","[array([-0.47103698,  0.04085651,  0.6901397 ,  1.73889883,  1.50741483,
        2.28558663])]"
moveabsj,"[array([1665.3007859 ,  -81.98055149, 1271.97758399])]","[array([-0.4634119 ,  0.04083062,  0.70083144,  1.71874279,  1.48783292,
        2.31077784])]"
moveabsj,"[array([1663.12003543,  -64.46074769, 1240.01834376])]","[array([-0.45412536,  0.04183562,  0.7096446 ,  1.70001055,  1.46807599,
        2.33568576])]"
moveabsj,"[array([1661.49592233,  -46.11100357, 1211.83178807])]","[array([-0.44364408,  0.04351744,  0.71686209,  1.68425012,  1.45038575,
        2.35743788])]"
moveabsj,"[array([1659.54688801,  -27.82415961, 1189.75899   ])]","[array([-0.43297583,  0.04430002,  0.72271066,  1.6717138 ,  1.43596291,
        2.37569288])]"
moveabsj,"[array([1656.43091935,  -10.0751792 , 1173.8870899 ])]","[array([-0.42286788,  0.04358861,  0.72812903,  1.662335  ,  1.42569553,
        2.38931118])]"
moveabsj,"[array([1651.43034575,    6.47994438, 1164.6287043 ])]","[array([-0.41409018,  0.04062405,  0.73380198,  1.65605616,  1.42024828,
        2.39787997])]"
moveabsj,"[array([1644.14380807,   21.327168  , 1162.30295558])]","[array([-0.40718697,  0.03498143,  0.74014105,  1.65294286,  1.42017675,
        2.40097136])]"
moveabsj,"[array([1634.4291602 ,   33.97784909, 1166.96739362])]","[array([-0.40258275,  0.0271123 ,  0.74772609,  1.65409665,  1.42674222,
        2.3962942 ])]"
moveabsj,"[array([1622.58999156,   44.18606909, 1179.42914435])]","[array([-0.40027913,  0.01678803,  0.75615805,  1.65985942,  1.43988833,
        2.3839111 ])]"
moveabsj,"[array([1609.27339257,   52.28788746, 1201.2077264 ])]","[array([-0.39969246,  0.00358988,  0.76428391,  1.67050551,  1.45908728,
        2.36499186])]"
moveabsj,"[array([1595.72816515,   59.00368377, 1232.33218193])]","[array([-0.39962722, -0.0106527 ,  0.77147818,  1.68824369,  1.48479891,
        2.33714687])]"
moveabsj,"[array([1583.46059615,   65.75715976, 1271.96872628])]","[array([-0.39817798, -0.02518806,  0.77594007,  1.71236251,  1.514095  ,
        2.30385864])]"
moveabsj,"[array([1573.95031695,   73.92665598, 1315.77767796])]","[array([-0.3936506 , -0.03798783,  0.77688233,  1.7410014 ,  1.54322159,
        2.26874451])]"
moveabsj,"[array([1567.53465489,   84.36890643, 1357.3696129 ])]","[array([-0.38565182, -0.04783452,  0.77491085,  1.7698823 ,  1.56813422,
        2.23686195])]"
moveabsj,"[array([1562.98580257,   96.89062351, 1390.96523751])]","[array([-0.37546621, -0.05469638,  0.77225853,  1.79455083,  1.58708811,
        2.21136216])]"
moveabsj,"[array([1558.28938792,  110.66492779, 1413.7128789 ])]","[array([-0.36499666, -0.059834  ,  0.77147992,  1.81217273,  1.60038034,
        2.19342392])]"
