primitives,points,q_bp
moveabsj,"[array([1686.72669785, -794.76596986, 1281.692707  ])]","[array([-0.80828435,  0.21666201,  0.48552   ,  1.7085597 ,  1.4709307 ,
        2.30367098])]"
moveabsj,"[array([1730.31617845, -519.50895011, 1291.72729522])]","[array([-0.67073188,  0.16036408,  0.55399772,  1.72720283,  1.47743986,
        2.29434842])]"
moveabsj,"[array([1731.32002052, -503.04596693, 1293.78431014])]","[array([-0.66254424,  0.15659581,  0.5579289 ,  1.72905114,  1.47867209,
        2.29290215])]"
moveabsj,"[array([1731.93479061, -486.77302513, 1297.37126857])]","[array([-0.65450231,  0.15247453,  0.56165353,  1.73163603,  1.48073672,
        2.29056658])]"
moveabsj,"[array([1732.17685182, -470.68219957, 1302.41337736])]","[array([-0.64658654,  0.14804957,  0.56520387,  1.73500275,  1.48364563,
        2.28726231])]"
moveabsj,"[array([1732.08607446, -454.74943652, 1308.91658864])]","[array([-0.63876333,  0.14331256,  0.56852465,  1.73910538,  1.48732558,
        2.28312206])]"
moveabsj,"[array([1731.68410272, -438.93881482, 1316.8001749 ])]","[array([-0.63099475,  0.13829372,  0.57163488,  1.74395414,  1.49173675,
        2.2781481 ])]"
moveabsj,"[array([1731.02387475, -423.21265766, 1325.97787991])]","[array([-0.62323374,  0.13305374,  0.57449413,  1.7495105 ,  1.49682599,
        2.27240965])]"
moveabsj,"[array([1730.1366141 , -407.52127412, 1336.27177494])]","[array([-0.61543034,  0.12767791,  0.57714187,  1.75577653,  1.50255616,
        2.26587764])]"
moveabsj,"[array([1729.08265303, -391.80539031, 1347.53877159])]","[array([-0.60752785,  0.12221712,  0.57952781,  1.7626333 ,  1.50880102,
        2.2587458 ])]"
moveabsj,"[array([1727.91528356, -375.99510527, 1359.53570152])]","[array([-0.59946715,  0.11676026,  0.58166024,  1.76997631,  1.51544759,
        2.25113284])]"
moveabsj,"[array([1726.65610665, -360.05783404, 1371.9325771 ])]","[array([-0.59122335,  0.11140306,  0.58360287,  1.77767662,  1.52237931,
        2.24314419])]"
moveabsj,"[array([1725.33196588, -343.93985249, 1384.41863038])]","[array([-0.58276921,  0.10620201,  0.58539167,  1.78553412,  1.52943228,
        2.23501016])]"
moveabsj,"[array([1723.95847698, -327.64125976, 1396.57651378])]","[array([-0.57411612,  0.10124239,  0.58711367,  1.79332825,  1.53643824,
        2.22691927])]"
moveabsj,"[array([1722.51604601, -311.16547033, 1408.01828688])]","[array([-0.56529666,  0.09655372,  0.58888702,  1.80082626,  1.54322994,
        2.21908971])]"
moveabsj,"[array([1720.97751372, -294.54574711, 1418.38471221])]","[array([-0.55637147,  0.09213025,  0.5908185 ,  1.80776019,  1.549618  ,
        2.21180019])]"
