breakpoints,primitives,p_bp,q_bp
35999,moveabsj,"[array([1634.47547465,   33.9875806 , 1161.84683987])]","[array([-0.40254741,  0.02986201,  0.7492647 ,  1.65373521,  1.4262627 ,
        2.39285997])]"
36999,moveabsj,"[array([1622.65210554,   44.18204196, 1174.33031423])]","[array([-0.40024401,  0.01927704,  0.75755525,  1.65903396,  1.43899597,
        2.38123251])]"
37999,moveabsj,"[array([1609.29788506,   52.30719916, 1196.23002477])]","[array([-0.39966905,  0.00573599,  0.76560307,  1.66927369,  1.45789037,
        2.36299285])]"
38999,moveabsj,"[array([1595.77169467,   58.9768374 , 1227.23351674])]","[array([-0.39964637, -0.00803471,  0.77321007,  1.68772929,  1.48440196,
        2.33361902])]"
39999,moveabsj,"[array([1583.47851683,   65.69210285, 1266.82820308])]","[array([-0.39821667, -0.02207834,  0.77809829,  1.71257143,  1.51471459,
        2.2987306 ])]"
40999,moveabsj,"[array([1573.95366778,   73.84709534, 1310.62064345])]","[array([-0.39363473, -0.03433951,  0.77943712,  1.74194625,  1.5449699 ,
        2.26200927])]"
41999,moveabsj,"[array([1567.53636468,   84.28996705, 1352.19354876])]","[array([-0.3855602 , -0.04390495,  0.77767358,  1.77114647,  1.57057644,
        2.22932741])]"
42999,moveabsj,"[array([1562.97111831,   96.81514635, 1385.80607915])]","[array([-0.37533408, -0.05074254,  0.775075  ,  1.79579523,  1.58981855,
        2.20371187])]"
43999,moveabsj,"[array([1558.28656164,  110.63574027, 1408.61516844])]","[array([-0.36483851, -0.05597788,  0.77418029,  1.81315095,  1.60309553,
        2.18610939])]"
44999,moveabsj,"[array([1551.51438073,  124.46747851, 1419.24637276])]","[array([-0.35585058, -0.06067793,  0.77769564,  1.82257668,  1.61202187,
        2.17522695])]"
45999,moveabsj,"[array([1541.56664244,  137.16576955, 1417.21266153])]","[array([-0.35007672, -0.06708581,  0.7861049 ,  1.82117161,  1.61503298,
        2.17481376])]"
46999,moveabsj,"[array([1528.66537555,  147.94474909, 1401.71179561])]","[array([-0.3481915 , -0.07572393,  0.79946598,  1.80800384,  1.61062199,
        2.18676979])]"
47999,moveabsj,"[array([1514.63945453,  157.53891564, 1372.10775944])]","[array([-0.34873865, -0.08363771,  0.81673318,  1.78496108,  1.59935725,
        2.20871484])]"
48999,moveabsj,"[array([1501.42165707,  167.31186291, 1328.92898535])]","[array([-0.34993488, -0.09168343,  0.83476101,  1.75041984,  1.57565846,
        2.24722986])]"
49999,moveabsj,"[array([1469.46191939,  202.5324367 , 1185.38551231])]","[array([-0.33899107, -0.11291467,  0.87484706,  1.6338338 ,  1.46997014,
        2.40513307])]"
