breakpoints,primitives,p_bp,q_bp
17999,movel_fit,"[array([1088.58834341, -228.54750043,  971.6529378 ])]","[array([-0.60010446, -0.32570719,  0.74268132,  0.76729327,  1.40993211,
       -2.18488466])]"
18499,movel_fit,"[array([1092.57940646, -211.97916754,  975.8830032 ])]","[array([-0.58569404, -0.32581905,  0.73986926,  0.76983908,  1.41196299,
       -2.16807195])]"
18999,movel_fit,"[array([1096.55564814, -195.42395485,  980.17566127])]","[array([-0.57097621, -0.32568892,  0.7366502 ,  0.77190018,  1.41386637,
       -2.15142466])]"
19499,movel_fit,"[array([1100.50822868, -178.87709331,  984.51966155])]","[array([-0.55595681, -0.32531909,  0.733033  ,  0.77347172,  1.41564473,
       -2.13494734])]"
19999,movel_fit,"[array([1104.42829585, -162.33370615,  988.90383024])]","[array([-0.54063861, -0.32470703,  0.72902183,  0.77454288,  1.41730494,
       -2.11863841])]"
20499,movel_fit,"[array([1108.30694591, -145.78883041,  993.31702371])]","[array([-0.52502114, -0.3238436 ,  0.7246151 ,  0.77509651,  1.41885997,
       -2.10248936])]"
20999,movel_fit,"[array([1112.13518308, -129.23744465,  997.74808037])]","[array([-0.50910092, -0.32271235,  0.71980526,  0.77510942,  1.42032969,
       -2.08648485])]"
21499,movel_fit,"[array([1115.90387769, -112.67450303, 1002.18577152])]","[array([-0.49287203, -0.32129009,  0.71457948,  0.77455347,  1.42174073,
       -2.07060392])]"
21999,movel_fit,"[array([1119.6037237 ,  -96.09497488, 1006.61875156])]","[array([-0.47632674, -0.31954881,  0.70892134,  0.77339723,  1.42312519,
       -2.05482197])]"
22499,movel_fit,"[array([1123.22519628,  -79.49388873, 1011.0355082 ])]","[array([-0.4594564 , -0.31745864,  0.70281323,  0.77160802,  1.42451823,
       -2.0391135 ])]"
22999,movel_fit,"[array([1126.75851003,  -62.86637858, 1015.42431313])]","[array([-0.44225211, -0.31499152,  0.69623907,  0.7691539 ,  1.42595504,
       -2.0234549 ])]"
23499,movel_fit,"[array([1130.19357875,  -46.20773078, 1019.77317345])]","[array([-0.4247053 , -0.3121249 ,  0.68918703,  0.76600537,  1.42746747,
       -2.0078271 ])]"
23999,movel_fit,"[array([1133.51997727,  -29.51342961, 1024.06978408])]","[array([-0.40680792, -0.30884475,  0.6816516 ,  0.76213627,  1.42908108,
       -1.99221735])]"
24499,movel_fit,"[array([1136.72690605,  -12.77920062, 1028.30148134])]","[array([-0.38855232, -0.30514725,  0.67363481,  0.75752389,  1.43081319,
       -1.97661996])]"
24999,movel_fit,"[array([1139.80315879,    3.99894826, 1032.45519767])]","[array([-0.36993082, -0.30103873,  0.66514602,  0.75214809,  1.43267241,
       -1.96103562])]"
25499,movel_fit,"[array([1142.73709356,   20.82468641, 1036.51741755])]","[array([-0.35093496, -0.29653369,  0.65620059,  0.7459897 ,  1.43465995,
       -1.94546948])]"
25999,movel_fit,"[array([1145.51660777,   37.70131833, 1040.47413499])]","[array([-0.33155474, -0.29165112,  0.64681735,  0.73902854,  1.43677267,
       -1.92992824])]"
26499,movel_fit,"[array([1148.12911739,   54.63173544, 1044.31081303])]","[array([-0.31177789, -0.2864099 ,  0.63701564,  0.73124142,  1.43900719,
       -1.91441671])]"
26999,movel_fit,"[array([1150.56154133,   71.6183569 , 1048.01234658])]","[array([-0.29158947, -0.28082401,  0.62681229,  0.7226008 ,  1.44136458,
       -1.89893456])]"
27499,movel_fit,"[array([1152.80029227,   88.66305411, 1051.56303036])]","[array([-0.27097177, -0.27489855,  0.61621941,  0.71307433,  1.44385449,
       -1.88347396])]"
27999,movel_fit,"[array([1154.83127594,  105.76705414, 1054.94653467])]","[array([-0.24990473, -0.26862754,  0.60524343,  0.70262551,  1.44649787,
       -1.86801838])]"
28499,movel_fit,"[array([1156.63990165,  122.93081866, 1058.14589282])]","[array([-0.22836683, -0.26199373,  0.59388569,  0.69121555,  1.4493278 ,
       -1.85254311])]"
28999,movel_fit,"[array([1158.21110794,  140.15389752, 1061.1435046 ])]","[array([-0.20633626, -0.25497084,  0.58214469,  0.67880613,  1.45238788,
       -1.83701738])]"
29499,movel_fit,"[array([1159.52940772,  157.43475925, 1063.92116117])]","[array([-0.18379247, -0.24752753,  0.57001966,  0.66536268,  1.45572866,
       -1.82140766])]"
29999,movel_fit,"[array([1160.57895813,  174.77060459, 1066.46009723])]","[array([-0.1607177 , -0.2396326 ,  0.55751478,  0.65085788,  1.45940252,
       -1.80568171])]"
30499,movel_fit,"[array([1161.34366029,  192.15717298, 1068.74107605])]","[array([-0.13709854, -0.23126007,  0.54464338,  0.63527466,  1.46345826,
       -1.78981252])]"
30999,movel_fit,"[array([1161.80729373,  209.5885554 , 1070.74451262])]","[array([-0.11292731, -0.22239305,  0.53143114,  0.61860862,  1.46793659,
       -1.77378124])]"
31499,movel_fit,"[array([1161.95368922,  227.05702951, 1072.45063872])]","[array([-0.08820325, -0.21302529,  0.51791758,  0.60086959,  1.47286766,
       -1.75757838])]"
