breakpoints,primitives,points
0,movej_fit,"[array([-0.85361165, -0.24201197,  0.58551796,  0.38661889,  1.20621556,
       -2.8890752 ])]"
2187,movel_fit,"[array([1013.69797254, -769.55638846,  946.45861669])]"
4380,movel_fit,"[array([1011.53156909, -694.41334552,  929.15106826])]"
6682,movel_fit,"[array([1015.38830243, -614.11594741,  920.17477704])]"
9207,movel_fit,"[array([1025.67979867, -525.96355201,  920.02328972])]"
12145,movel_fit,"[array([1043.47877098, -424.77973512,  930.07030468])]"
15924,movel_fit,"[array([1071.77589612, -297.33412048,  954.19175515])]"
22336,movel_fit,"[array([1122.80015582,  -84.96839171, 1009.09808122])]"
25978,movel_fit,"[array([1145.85749997,   36.6937159 , 1041.02960515])]"
29050,movel_fit,"[array([1159.1224451 ,  141.73391473, 1061.87740906])]"
31606,movel_fit,"[array([1162.53240659,  230.69010075, 1073.44474512])]"
33873,movel_fit,"[array([1158.51309013,  310.17291651, 1076.50634779])]"
35987,movel_fit,"[array([1147.36301948,  383.44788496, 1072.1132986 ])]"
38050,movel_fit,"[array([1129.40636939,  452.64583185, 1060.17093599])]"
40157,movel_fit,"[array([1104.20855026,  519.42539112, 1040.4147449 ])]"
42400,movel_fit,"[array([1071.04021059,  585.01673132, 1011.96445679])]"
44869,movel_fit,"[array([1028.77150892,  650.32554095,  973.62333022])]"
47659,movel_fit,"[array([975.92095033, 716.0469444 , 923.71610751])]"
50000,movel_fit,"[array([928.53602398, 764.95116091, 877.66452124])]"
