breakpoints,primitives,points
0,movej_fit,"[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
625,movel_fit,"[array([1019.42832561, -820.969568  ,  964.66780979])]"
1250,movel_fit,"[array([1016.96733893, -800.49360441,  957.14929526])]"
1875,movel_fit,"[array([1014.99653712, -779.73007813,  950.30632346])]"
2500,movel_fit,"[array([1013.51958838, -758.71055692,  944.15439384])]"
3125,movel_fit,"[array([1012.53606837, -737.46938073,  938.70397038])]"
3750,movel_fit,"[array([1012.04119327, -716.04246631,  933.95976097])]"
4375,movel_fit,"[array([1012.02588133, -694.46608032,  929.9204353 ])]"
5000,movel_fit,"[array([1012.47704929, -672.77571998,  926.5787082 ])]"
5625,movel_fit,"[array([1013.37806653, -651.00517365,  923.92170997])]"
6250,movel_fit,"[array([1014.7093033 , -629.18578824,  921.93156518])]"
6875,movel_fit,"[array([1016.44872187, -607.34594161,  920.58610591])]"
7500,movel_fit,"[array([1018.57247002, -585.51070174,  919.85965314])]"
8125,movel_fit,"[array([1021.05544571, -563.70164735,  919.72381025])]"
8750,movel_fit,"[array([1023.87181046, -541.93682235,  920.14822353])]"
9375,movel_fit,"[array([1026.99543628, -520.2307985 ,  921.10127664])]"
10000,movel_fit,"[array([1030.4002777 , -498.59482317,  922.55069695])]"
10625,movel_fit,"[array([1034.06066613, -477.03703249,  924.46406205])]"
11250,movel_fit,"[array([1037.95152846, -455.56271256,  926.80920345])]"
11875,movel_fit,"[array([1042.04853542, -434.17459317,  929.55451147])]"
12500,movel_fit,"[array([1046.32818814, -412.87315966,  932.66915034])]"
13125,movel_fit,"[array([1050.76785257, -391.65696912,  936.12319569])]"
13750,movel_fit,"[array([1055.34575259, -370.52295753,  939.887708  ])]"
14375,movel_fit,"[array([1060.04093175, -349.46672604,  943.93475536])]"
15000,movel_fit,"[array([1064.83319318, -328.48279573,  948.23739779])]"
15625,movel_fit,"[array([1069.70302507, -307.56482349,  952.76964323])]"
16250,movel_fit,"[array([1074.63151749, -286.70577492,  957.50638288])]"
16875,movel_fit,"[array([1079.60027426, -265.89805441,  962.4233111 ])]"
17500,movel_fit,"[array([1084.59132139, -245.13359683,  967.49683334])]"
18125,movel_fit,"[array([1089.58701256, -224.40392944,  972.7039633 ])]"
18750,movel_fit,"[array([1094.5699305 , -203.70021506,  978.02221026])]"
19375,movel_fit,"[array([1099.52278319, -183.01328943,  983.42945672])]"
20000,movel_fit,"[array([1104.42829372, -162.33370482,  988.90382686])]"
20625,movel_fit,"[array([1109.26908329, -141.65178997,  994.42354691])]"
21250,movel_fit,"[array([1114.02754805, -120.95773236,  999.96679903])]"
21875,movel_fit,"[array([1118.68573134, -100.24168405, 1005.51157109])]"
22500,movel_fit,"[array([1123.22519411,  -79.49388761, 1011.03550481])]"
23125,movel_fit,"[array([1127.62688665,  -58.70481484, 1016.5157446 ])]"
23750,movel_fit,"[array([1131.87102539,  -37.86530916, 1021.92878912])]"
24375,movel_fit,"[array([1135.93697754,  -16.96672367, 1027.25034657])]"
25000,movel_fit,"[array([1139.80315657,    3.99894916, 1032.45519427])]"
25625,movel_fit,"[array([1143.44693001,   25.03895353, 1037.51704284])]"
26250,movel_fit,"[array([1146.84454169,   46.15964146, 1042.40840588])]"
26875,movel_fit,"[array([1149.97105049,   67.36632056, 1047.10047796])]"
27500,movel_fit,"[array([1152.80029001,   88.66305477, 1051.56302696])]"
28125,movel_fit,"[array([1155.30485671,  110.05239371, 1055.7643113 ])]"
28750,movel_fit,"[array([1157.45613859,  131.53501257, 1059.67103787])]"
29375,movel_fit,"[array([1159.22440161,  153.10925673, 1063.24838183])]"
30000,movel_fit,"[array([1160.57895583,  174.77060498, 1066.46009385])]"
30625,movel_fit,"[array([1161.48842551,  196.51108711, 1069.26872193])]"
31250,movel_fit,"[array([1161.92114693,  218.3187135 , 1071.63597338])]"
31875,movel_fit,"[array([1161.84571129,  240.17698981, 1073.52323586])]"
32500,movel_fit,"[array([1161.23165843,  262.06459456, 1074.89226501])]"
33125,movel_fit,"[array([1160.05030955,  283.95528749, 1075.70603013])]"
33750,movel_fit,"[array([1158.275706  ,  305.81809245, 1075.92969049])]"
34375,movel_fit,"[array([1155.88559893,  327.61776336, 1075.53165508])]"
35000,movel_fit,"[array([1152.86241616,  349.31550352, 1074.48466133])]"
35625,movel_fit,"[array([1149.19412199,  370.86987792, 1072.76679641])]"
36250,movel_fit,"[array([1144.87488666,  392.23784417, 1070.36238034])]"
36875,movel_fit,"[array([1139.90549621,  413.37583727, 1067.26263474])]"
37500,movel_fit,"[array([1134.29345906,  434.2408723 , 1063.4660738 ])]"
38125,movel_fit,"[array([1128.05279674,  454.79166608, 1058.97857291])]"
38750,movel_fit,"[array([1121.20353643,  474.98980054, 1053.81309324])]"
39375,movel_fit,"[array([1113.7709444 ,  494.80093629, 1047.98906417])]"
40000,movel_fit,"[array([1105.78454935,  514.19602111, 1041.53145103])]"
40625,movel_fit,"[array([1097.27700692,  533.15233802, 1034.46956447])]"
41250,movel_fit,"[array([1088.28286227,  551.65414648, 1026.83570304])]"
41875,movel_fit,"[array([1078.83729043,  569.69265725, 1018.66376238])]"
42500,movel_fit,"[array([1068.97493816,  587.26521371, 1009.98798224])]"
43125,movel_fit,"[array([1058.72903877,  604.37383796, 1000.84201328])]"
43750,movel_fit,"[array([1048.13097291,  621.02363829,  991.2584327 ])]"
44375,movel_fit,"[array([1037.21033821,  637.22174087,  981.26869346])]"
45000,movel_fit,"[array([1025.99533901,  652.97715229,  970.90327155])]"
45625,movel_fit,"[array([1014.51300651,  668.30123068,  960.19158786])]"
46250,movel_fit,"[array([1002.78869431,  683.20769455,  949.16134165])]"
46875,movel_fit,"[array([990.84484822, 697.71131527, 937.83741713])]"
47500,movel_fit,"[array([978.70024823, 711.82631858, 926.24140088])]"
48125,movel_fit,"[array([966.37155299, 725.56736404, 914.39301895])]"
48750,movel_fit,"[array([953.87626868, 738.9519882 , 902.31264785])]"
49375,movel_fit,"[array([941.23037793, 751.9921752 , 890.0199026 ])]"
50000,movel_fit,"[array([928.45051518, 764.69851402, 877.53364464])]"
