breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-145.663312  ,    7.585307  , -249.67346779])]","[array([-1.59402151,  0.78329817, -0.11929415,  0.97045406, -1.695161  ,
       -1.72943837])]"
1665,moveabsj,"[array([-140.61380874,   22.62481375, -243.55632556])]","[array([-1.5996721 ,  0.79018181, -0.11472048,  0.97382795, -1.6937756 ,
       -1.73667929])]"
3332,moveabsj,"[array([-134.43464029,   42.59005629, -235.12819074])]","[array([-1.60143432,  0.80038875, -0.10746908,  0.97883508, -1.68725589,
       -1.74297113])]"
4999,moveabsj,"[array([-129.02840528,   62.45932717, -225.76223375])]","[array([-1.60342948,  0.81037471, -0.09996996,  0.98276887, -1.68185827,
       -1.75013652])]"
6665,moveabsj,"[array([-124.17820186,   81.40901261, -216.01290125])]","[array([-1.60529293,  0.82002888, -0.09266624,  0.98607099, -1.67703021,
       -1.75741613])]"
8332,moveabsj,"[array([-119.96165858,   97.97857418, -206.80709414])]","[array([-1.60718336,  0.82869855, -0.08635375,  0.98875755, -1.67307967,
       -1.76429529])]"
9999,moveabsj,"[array([-116.43337228,  111.83517545, -198.59449493])]","[array([-1.6087107 ,  0.83633475, -0.08127122,  0.99098394, -1.66949098,
       -1.7702618 ])]"
11665,moveabsj,"[array([-113.64915449,  123.81310685, -191.1070004 ])]","[array([-1.60916411,  0.84349324, -0.07703888,  0.99296778, -1.66517786,
       -1.77502601])]"
13332,moveabsj,"[array([-111.73039316,  134.56592142, -184.0500784 ])]","[array([-1.60815124,  0.85054918, -0.07334304,  0.99476   , -1.65952399,
       -1.77852881])]"
14999,moveabsj,"[array([-110.83837405,  144.1887847 , -177.40974241])]","[array([-1.60558946,  0.85751881, -0.07014056,  0.99627351, -1.65244042,
       -1.78076894])]"
16665,moveabsj,"[array([-111.12345588,  152.61568222, -171.26576585])]","[array([-1.60145637,  0.8643242 , -0.06746312,  0.99739699, -1.64396339,
       -1.78174219])]"
18332,moveabsj,"[array([-112.7234797 ,  159.69617624, -165.75328942])]","[array([-1.59572027,  0.87085119, -0.06538069,  0.99801573, -1.63415209,
       -1.78141866])]"
19999,moveabsj,"[array([-115.76537379,  165.0867914 , -161.14371629])]","[array([-1.58836324,  0.87687794, -0.0640534 ,  0.99799536, -1.62315665,
       -1.77972133])]"
21665,moveabsj,"[array([-120.35433005,  168.49698751, -157.67129061])]","[array([-1.57926957,  0.88223848, -0.06359811,  0.99722465, -1.61101828,
       -1.77653474])]"
23332,moveabsj,"[array([-126.58902994,  169.85132343, -155.39318369])]","[array([-1.56812712,  0.88695044, -0.06399175,  0.99564419, -1.59749228,
       -1.77169521])]"
24999,moveabsj,"[array([-134.54839764,  168.88916924, -154.46450648])]","[array([-1.55458989,  0.89095478, -0.06527835,  0.99318232, -1.58235696,
       -1.76497021])]"
26665,moveabsj,"[array([-144.2555424 ,  164.69663698, -155.46866921])]","[array([-1.53844246,  0.89380452, -0.06782882,  0.98965831, -1.5657841 ,
       -1.75604639])]"
28332,moveabsj,"[array([-155.6251526 ,  155.90085918, -159.23040823])]","[array([-1.51948552,  0.89480753, -0.07222296,  0.98480708, -1.5481749 ,
       -1.74454727])]"
29999,moveabsj,"[array([-168.35943061,  141.22030412, -166.34653377])]","[array([-1.4973941 ,  0.8934069 , -0.07892289,  0.97841757, -1.52977498,
       -1.73009249])]"
31665,moveabsj,"[array([-181.87292843,  119.37706465, -177.16382418])]","[array([-1.47183007,  0.88913299, -0.08832304,  0.97031419, -1.51079016,
       -1.71234625])]"
33332,moveabsj,"[array([-195.23124822,   88.76806972, -191.8708588 ])]","[array([-1.44278963,  0.88133198, -0.10095972,  0.96020481, -1.49189811,
       -1.69119669])]"
34999,moveabsj,"[array([-207.13303725,   48.32369242, -209.89485177])]","[array([-1.41075909,  0.86960651, -0.1171212 ,  0.94784033, -1.47401137,
       -1.66699717])]"
36665,moveabsj,"[array([-216.08072915,   -1.3477932 , -229.58348843])]","[array([-1.37642172,  0.85447098, -0.13636356,  0.93339154, -1.45736507,
       -1.64037701])]"
38332,moveabsj,"[array([-220.54404197,  -57.93880909, -248.948269  ])]","[array([-1.34043409,  0.8372607 , -0.15763855,  0.91763384, -1.44127205,
       -1.61182123])]"
39999,moveabsj,"[array([-218.87388714, -117.95622116, -266.66896233])]","[array([-1.30331402,  0.81973507, -0.17963697,  0.90209374, -1.42431043,
       -1.58128044])]"
41665,moveabsj,"[array([-209.60803377, -178.11627501, -282.53110936])]","[array([-1.26574369,  0.80322307, -0.20143285,  0.88840316, -1.40541118,
       -1.54843515])]"
43332,moveabsj,"[array([-192.67319809, -236.48967954, -296.54958861])]","[array([-1.22913403,  0.78796904, -0.22280904,  0.87697429, -1.38519294,
       -1.51383824])]"
44999,moveabsj,"[array([-167.91750051, -291.97123065, -309.1409731 ])]","[array([-1.19428719,  0.77396752, -0.24380434,  0.86836153, -1.36395734,
       -1.47740786])]"
46665,moveabsj,"[array([-135.5118036 , -344.06741365, -320.53139829])]","[array([-1.16192234,  0.76096572, -0.26462499,  0.86282769, -1.34217907,
       -1.43914767])]"
48332,moveabsj,"[array([ -97.3725581 , -393.32292931, -329.90494513])]","[array([-1.13269873,  0.74825783, -0.28557887,  0.85910814, -1.32118007,
       -1.40025968])]"
49999,moveabsj,"[array([ -58.82328261, -438.99706275, -335.60243849])]","[array([-1.10829338,  0.73575533, -0.30603148,  0.85494366, -1.30303121,
       -1.36416988])]"
