primitives,points,q_bp
moveabsj,"[array([-562.29402549,  260.24021227,  504.53069359])]","[array([ 1.80800223,  0.46477103,  0.89409696, -0.6677227 , -0.54786002,
        5.0279912 ])]"
moveabsj,"[array([-558.09464184,  275.36666585,  528.64809999])]","[array([ 1.79469071,  0.43506289,  0.86626771, -0.65476583, -0.56538526,
        5.02789932])]"
moveabsj,"[array([-550.07886765,  296.29326381,  562.13761108])]","[array([ 1.77254925,  0.39563799,  0.8292601 , -0.63496474, -0.58843209,
        5.02754927])]"
moveabsj,"[array([-537.94939817,  319.72231267,  603.16948992])]","[array([ 1.7429366 ,  0.34978443,  0.78379226, -0.61013292, -0.61433687,
        5.02671024])]"
moveabsj,"[array([-523.22477539,  340.41553545,  647.03339266])]","[array([ 1.71040391,  0.30299782,  0.73342459, -0.58297552, -0.64041678,
        5.02368031])]"
moveabsj,"[array([-509.09446989,  353.84103391,  687.55456571])]","[array([ 1.68125663,  0.26097287,  0.68382899, -0.55793433, -0.66459075,
        5.01776124])]"
moveabsj,"[array([-498.41891588,  358.80180807,  720.15042288])]","[array([ 1.66043492,  0.22717931,  0.64104014, -0.53881608, -0.68549988,
        5.01062285])]"
moveabsj,"[array([-492.46115146,  357.34033302,  742.80150469])]","[array([ 1.65013603,  0.20337417,  0.60948568, -0.52657751, -0.70177471,
        5.00460381])]"
moveabsj,"[array([-491.33618498,  352.55798465,  754.71801192])]","[array([ 1.65057878,  0.19103244,  0.59190452, -0.52117131, -0.71152603,
        5.00163077])]"
moveabsj,"[array([-495.06593232,  346.60527485,  754.98839488])]","[array([ 1.66175686,  0.19180172,  0.59046777, -0.5226109 , -0.71299409,
        5.00257488])]"
moveabsj,"[array([-503.62416122,  339.18651064,  742.97631318])]","[array([ 1.68352669,  0.20581024,  0.60651598, -0.53212726, -0.7056315 ,
        5.00792677])]"
moveabsj,"[array([-517.47953465,  327.89091816,  718.1814369 ])]","[array([ 1.71713025,  0.23374428,  0.63820878, -0.54989993, -0.69037981,
        5.0160396 ])]"
moveabsj,"[array([-536.31809023,  308.367235  ,  680.74186846])]","[array([ 1.76318757,  0.27508236,  0.68264712, -0.57640721, -0.66861674,
        5.02451828])]"
moveabsj,"[array([-584.02623557,  213.47423922,  559.09365004])]","[array([ 1.91054811,  0.41551291,  0.81723422, -0.66356348, -0.59821495,
        5.03956549])]"
