breakpoints,primitives,points,q_bp
17999,movel_fit,"[array([1057.50401267, -138.52862149,  989.10240846])]","[array([-0.46003804, -0.51340743,  0.79458275,  0.63040432,  1.31408447,
       -2.3808083 ])]"
18499,movel_fit,"[array([1056.83310667, -128.2767098 ,  988.84327518])]","[array([-0.45501608, -0.52766536,  0.80532104,  0.64064487,  1.30362701,
       -2.3684153 ])]"
18999,movel_fit,"[array([1056.31568352, -118.01392242,  988.64096716])]","[array([-0.44933179, -0.54106804,  0.81523765,  0.65022009,  1.29335567,
       -2.35265257])]"
19499,movel_fit,"[array([1055.96925084, -107.74676422,  988.50582566])]","[array([-0.44289109, -0.55346838,  0.82419492,  0.65892113,  1.28329167,
       -2.33334942])]"
19999,movel_fit,"[array([1055.81037678,  -97.47782464,  988.44677879])]","[array([-0.43559043, -0.5646989 ,  0.83204061,  0.66650905,  1.27346981,
       -2.31036491])]"
20499,movel_fit,"[array([1055.85462307,  -87.20689905,  988.47083679])]","[array([-0.42731952, -0.57456269,  0.83860347,  0.6727143 ,  1.26394935,
       -2.2835919 ])]"
20999,movel_fit,"[array([1056.11629344,  -76.93479151,  988.58250524])]","[array([-0.41796889, -0.58282318,  0.84368907,  0.67723955,  1.25482872,
       -2.25297181])]"
21499,movel_fit,"[array([1056.60744984,  -66.67115266,  988.7829201 ])]","[array([-0.40744634, -0.58919688,  0.84707985,  0.67977096,  1.24626358,
       -2.21853229])]"
21999,movel_fit,"[array([1057.33730555,  -56.42395956,  989.06922738])]","[array([-0.39567925, -0.59336577,  0.84854814,  0.6800057 ,  1.23846707,
       -2.18036999])]"
22499,movel_fit,"[array([1058.31194955,  -46.1994611 ,  989.43421319])]","[array([-0.38262462, -0.59498166,  0.8478631 ,  0.6776765 ,  1.2317177 ,
       -2.13865319])]"
22999,movel_fit,"[array([1059.53383158,  -36.00454208,  989.8660068 ])]","[array([-0.36828234, -0.59367642,  0.84480122,  0.67258154,  1.22636339,
       -2.09363417])]"
23499,movel_fit,"[array([1061.00181298,  -25.8437398 ,  990.3481915 ])]","[array([-0.35269996, -0.58907879,  0.83915902,  0.66461473,  1.22281465,
       -2.04563826])]"
23999,movel_fit,"[array([1062.71055841,  -15.72279109,  990.8599091 ])]","[array([-0.33598344, -0.58083768,  0.83076966,  0.65379699,  1.22153131,
       -1.99508012])]"
24499,movel_fit,"[array([1064.65135443,   -5.64314444,  991.37664763])]","[array([-0.31828954, -0.56864504,  0.81951524,  0.64029299,  1.22299597,
       -1.94243508])]"
24999,movel_fit,"[array([1066.81137918,    4.39291848,  991.8707579 ])]","[array([-0.29983031, -0.55226816,  0.8053471 ,  0.62442642,  1.22767933,
       -1.88826014])]"
