timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
0.000000000000000000e+00,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
2.000000094994902611e-03,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
6.000000052154064178e-03,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
8.000000379979610443e-03,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
1.099999994039535522e-02,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
1.600000075995922089e-02,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
1.999999955296516418e-02,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
2.400000020861625671e-02,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
2.800000086426734924e-02,-1.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
3.200000151991844177e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
3.599999845027923584e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
4.199999943375587463e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
4.399999976158142090e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
4.800000041723251343e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
5.200000107288360596e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
5.600000172853469849e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
5.999999865889549255e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
6.400000303983688354e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
6.800000369548797607e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
7.199999690055847168e-02,2.000000000000000000e+00,3.553023147583007812e+01,1.263674640655517578e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
7.599999755620956421e-02,2.000000000000000000e+00,3.553025817871093750e+01,1.263672256469726562e+01,3.562285614013671875e+01,-1.085574188232421875e+02,9.078920745849609375e+01,-6.399384689331054688e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
7.999999821186065674e-02,2.000000000000000000e+00,3.553044128417968750e+01,1.263657665252685547e+01,3.562285995483398438e+01,-1.085574264526367188e+02,9.078921508789062500e+01,-6.399385452270507812e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
8.399999886751174927e-02,2.000000000000000000e+00,3.553097534179687500e+01,1.263612461090087891e+01,3.562286758422851562e+01,-1.085574569702148438e+02,9.078923034667968750e+01,-6.399385833740234375e+01,5.301810455322265625e+01,-1.400297927856445312e+01,-1.065209350585937500e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181091308593750e+01
8.799999952316284180e-02,2.000000000000000000e+00,3.553203964233398438e+01,1.263515758514404297e+01,3.562288665771484375e+01,-1.085575561523437500e+02,9.078926849365234375e+01,-6.399389266967773438e+01,5.301807403564453125e+01,-1.400298118591308594e+01,-1.065209274291992188e+02,-1.135214385986328125e+02,6.398922348022460938e+01,-3.637181472778320312e+01
9.200000017881393433e-02,2.000000000000000000e+00,3.553372955322265625e+01,1.263351154327392578e+01,3.562290954589843750e+01,-1.085577926635742188e+02,9.078933715820312500e+01,-6.399398422241210938e+01,5.301786804199218750e+01,-1.400300025939941406e+01,-1.065208892822265625e+02,-1.135214538574218750e+02,6.398922348022460938e+01,-3.637181472778320312e+01
