breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ -91.70483557, -227.04442729, -141.29093395])]","[array([-0.1251444 ,  0.80134573, -0.16451114, -2.44325892,  1.98663255,
        1.05913428])]"
1665,moveabsj,"[array([-102.99004737, -217.00388476, -136.23074745])]","[array([-0.13109994,  0.80685849, -0.16079989, -2.43801252,  1.98419506,
        1.05293565])]"
3332,moveabsj,"[array([-119.76783261, -204.49875832, -127.64067547])]","[array([-0.1343069 ,  0.81659653, -0.1538249 , -2.42948114,  1.97677866,
        1.04757783])]"
4999,moveabsj,"[array([-136.34999115, -192.25416935, -118.22695825])]","[array([-0.13782008,  0.82608623, -0.14655537, -2.4220604 ,  1.97038961,
        1.04123042])]"
6665,moveabsj,"[array([-152.12796118, -180.5999403 , -108.43408864])]","[array([-0.1412601 ,  0.83530884, -0.13938703, -2.41543476,  1.96459634,
        1.03468325])]"
8332,moveabsj,"[array([-165.81699979, -170.26645215,  -99.26594101])]","[array([-0.1445947 ,  0.84359661, -0.13313295, -2.40990138,  1.9597573 ,
        1.02850056])]"
9999,moveabsj,"[array([-177.34271589, -161.5827916 ,  -91.00447666])]","[array([-0.14744126,  0.85103093, -0.12794159, -2.40528393,  1.95536798,
        1.02324185])]"
11665,moveabsj,"[array([-187.75464534, -154.39466171,  -83.0296251 ])]","[array([-0.14929296,  0.85837725, -0.12327147, -2.40104913,  1.95032044,
        1.01921725])]"
13332,moveabsj,"[array([-197.805956  , -148.58459975,  -74.81203154])]","[array([-0.14990013,  0.86613687, -0.11870282, -2.39691816,  1.94396287,
        1.01649301])]"
14999,moveabsj,"[array([-207.63655361, -144.24791576,  -66.24771528])]","[array([-0.14920773,  0.87437286, -0.11415054, -2.39291408,  1.93616786,
        1.01507854])]"
16665,moveabsj,"[array([-217.21571692, -141.53857047,  -57.3628846 ])]","[array([-0.14719085,  0.88304012, -0.10961946, -2.38912891,  1.9269282 ,
        1.01498946])]"
18332,moveabsj,"[array([-226.44127275, -140.65133445,  -48.24376401])]","[array([-0.14380357,  0.89206499, -0.10515017, -2.385677  ,  1.91625119,
        1.01627267])]"
19999,moveabsj,"[array([-235.04256201, -141.87344293,  -39.13773061])]","[array([-0.13897466,  0.9012681 , -0.10087806, -2.38274191,  1.90422511,
        1.01902771])]"
21665,moveabsj,"[array([-242.83077768, -145.4817965 ,  -30.21892145])]","[array([-0.13255391,  0.91055913, -0.09687029, -2.3804619 ,  1.89081879,
        1.0233939 ])]"
23332,moveabsj,"[array([-249.8642676 , -151.68889452,  -21.38304615])]","[array([-0.12427483,  0.92009717, -0.09299772, -2.37883739,  1.87570483,
        1.02955789])]"
24999,moveabsj,"[array([-256.04501173, -160.7964984 ,  -12.6223922 ])]","[array([-0.11382289,  0.92998944, -0.08918072, -2.37790968,  1.85856159,
        1.03778211])]"
26665,moveabsj,"[array([-260.68354403, -173.37247074,   -4.49165461])]","[array([-0.10085725,  0.93994242, -0.08568591, -2.37800412,  1.8394222 ,
        1.04843279])]"
28332,moveabsj,"[array([-262.70157211, -190.12485363,    2.10291701])]","[array([-0.08493462,  0.94943675, -0.08297697, -2.37964106,  1.81850723,
        1.0619598 ])]"
29999,moveabsj,"[array([-261.08527476, -211.54455036,    6.44027389])]","[array([-0.0655299 ,  0.95812846, -0.08136143, -2.38321955,  1.79587201,
        1.07882317])]"
31665,moveabsj,"[array([-254.73705112, -237.83409318,    7.9038512 ])]","[array([-0.04212968,  0.96576119, -0.08106948, -2.38905271,  1.77153203,
        1.09945604])]"
33332,moveabsj,"[array([-242.07764558, -268.89708815,    5.63444897])]","[array([-0.01439364,  0.97177768, -0.0825546 , -2.39766772,  1.74598991,
        1.12408147])]"
34999,moveabsj,"[array([-221.66306235, -303.8140921 ,   -0.8706985 ])]","[array([ 0.01754707,  0.97564616, -0.08618232, -2.40947295,  1.7201095 ,
        1.15242503])]"
36665,moveabsj,"[array([-193.23635755, -340.55885752,  -11.09272857])]","[array([ 0.05296994,  0.97754762, -0.09172108, -2.42404425,  1.69429275,
        1.18391211])]"
38332,moveabsj,"[array([-157.92817008, -376.39282825,  -24.03527446])]","[array([ 0.09066624,  0.97832373, -0.09846554, -2.43996502,  1.66822927,
        1.21814623])]"
39999,moveabsj,"[array([-117.95355291, -408.32989803,  -39.23739744])]","[array([ 0.12912054,  0.97906027, -0.10562651, -2.45492139,  1.64107132,
        1.25535639])]"
41665,moveabsj,"[array([ -75.48037983, -433.9543825 ,  -57.27628801])]","[array([ 0.16682128,  0.98024734, -0.1129396 , -2.46689351,  1.61238385,
        1.29601276])]"
43332,moveabsj,"[array([ -31.7477802 , -452.32077618,  -78.51554598])]","[array([ 0.20253937,  0.98133382, -0.12076699, -2.47585036,  1.58319765,
        1.33933145])]"
44999,moveabsj,"[array([  12.44738648, -462.94892303, -103.37989724])]","[array([ 0.23568643,  0.98187022, -0.12946543, -2.48169683,  1.55404261,
        1.38516965])]"
46665,moveabsj,"[array([  56.61727731, -465.74078493, -131.82727413])]","[array([ 0.2659608 ,  0.98143862, -0.13933247, -2.48465624,  1.5253843 ,
        1.43322971])]"
48332,moveabsj,"[array([ 100.75657584, -461.83264385, -162.1974007 ])]","[array([ 0.29361405,  0.979664  , -0.15039135, -2.48634611,  1.49814379,
        1.48185872])]"
49999,moveabsj,"[array([ 143.11145027, -453.93950055, -190.53062545])]","[array([ 0.31779377,  0.97661313, -0.16189251, -2.48901676,  1.4741408 ,
        1.52679016])]"
