timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
1.566500030457973480e-02,-1.000000000000000000e+00,3.547674560546875000e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087569122314453125e+02,9.078099822998046875e+01,-6.390503311157226562e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041693725585937500e+02,-1.144058837890625000e+02,6.424048614501953125e+01,-3.517359542846679688e+01
1.719900034368038177e-02,-1.000000000000000000e+00,3.547671508789062500e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087570190429687500e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526735782623291016e+01,-1.041692657470703125e+02,-1.144058837890625000e+02,6.424048614501953125e+01,-3.517359542846679688e+01
1.844700053334236145e-02,-1.000000000000000000e+00,3.547671508789062500e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087570190429687500e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526735782623291016e+01,-1.041692657470703125e+02,-1.144058837890625000e+02,6.424048614501953125e+01,-3.517359542846679688e+01
2.105600014328956604e-02,-1.000000000000000000e+00,3.547674560546875000e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087570190429687500e+02,9.078099822998046875e+01,-6.390503311157226562e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517348861694335938e+01
2.541599981486797333e-02,-1.000000000000000000e+00,3.547665786743164062e+01,1.285859203338623047e+01,3.555860900878906250e+01,-1.087568664550781250e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
2.799200080335140228e-02,-1.000000000000000000e+00,3.547665786743164062e+01,1.285859203338623047e+01,3.555860900878906250e+01,-1.087568664550781250e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
2.931799925863742828e-02,-1.000000000000000000e+00,3.547674560546875000e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087569122314453125e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
3.056400083005428314e-02,-1.000000000000000000e+00,3.547674560546875000e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087569122314453125e+02,9.078099822998046875e+01,-6.390516281127929688e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
3.613400086760520935e-02,-1.000000000000000000e+00,3.547671508789062500e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087570724487304688e+02,9.078099822998046875e+01,-6.390503311157226562e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
3.752899914979934692e-02,-1.000000000000000000e+00,3.547674560546875000e+01,1.285863685607910156e+01,3.555867004394531250e+01,-1.087570190429687500e+02,9.078089904785156250e+01,-6.390503311157226562e+01,5.343432235717773438e+01,-1.526745033264160156e+01,-1.041692657470703125e+02,-1.144057388305664062e+02,6.424048614501953125e+01,-3.517359542846679688e+01
