breakpoints,primitives,points
0,movej_fit,"[array([-0.85231548, -0.24132126,  0.58423345,  0.38434811,  1.20714776,
       -2.88558582])]"
1634,movel_fit,"[array([1015.42101328, -787.93909552,  952.48439382])]"
3259,movel_fit,"[array([1012.11121606, -732.9916739 ,  937.22501556])]"
4915,movel_fit,"[array([1012.1142977 , -675.79167485,  926.57942098])]"
6642,movel_fit,"[array([1015.48802584, -615.49568025,  920.59152055])]"
8492,movel_fit,"[array([1022.4161337 , -550.87888578,  919.47878106])]"
10533,movel_fit,"[array([1033.27049726, -480.12663208,  923.72159783])]"
12874,movel_fit,"[array([1048.75858955, -400.0554505 ,  934.25781256])]"
15756,movel_fit,"[array([1070.58033047, -303.0538824 ,  953.28986201])]"
20156,movel_fit,"[array([1105.7933344 , -157.0787832 ,  989.81054475])]"
23482,movel_fit,"[array([1130.42397167,  -46.96950003, 1019.93297605])]"
26382,movel_fit,"[array([1147.95470624,   50.51215087, 1043.64866472])]"
28694,movel_fit,"[array([1157.62985872,  129.50791806, 1059.67568007])]"
30690,movel_fit,"[array([1161.93225524,  198.72089315, 1069.86050835])]"
32480,movel_fit,"[array([1161.61235214,  261.35352863, 1075.21127795])]"
34137,movel_fit,"[array([1157.22184972,  319.36772113, 1076.11001914])]"
35715,movel_fit,"[array([1148.94929057,  374.05175433, 1072.82068227])]"
37256,movel_fit,"[array([1136.8830477 ,  426.27380436, 1065.38107982])]"
38801,movel_fit,"[array([1120.92260726,  476.81655329, 1053.70525388])]"
40388,movel_fit,"[array([1100.84488281,  526.26261584, 1037.54520135])]"
42057,movel_fit,"[array([1076.26635113,  575.14742936, 1016.50148562])]"
43845,movel_fit,"[array([1046.72740648,  623.83986727,  990.06217795])]"
45783,movel_fit,"[array([1011.78044637,  672.46640268,  957.70676274])]"
47917,movel_fit,"[array([970.680414  , 721.42027735, 918.62036602])]"
50000,movel_fit,"[array([928.55504759, 764.97530816, 877.68759616])]"
