primitives,p_bp,q_bp
moveabsj,"[array([-922.48074236, -100.93411559,  508.82962707])]","[array([-0.40022498, -0.52655516, -3.18548365,  0.63803018,  0.51920893,
        0.54157198])]"
moveabsj,"[array([-904.11276444, -207.93806238,  524.40268092])]","[array([-0.28806617, -0.51240367, -3.15980016,  0.62368863,  0.50231726,
        0.53210261])]"
moveabsj,"[array([-902.70044751, -214.12517266,  527.04965753])]","[array([-0.28151039, -0.51024536, -3.15721695,  0.62187431,  0.50186157,
        0.53234164])]"
moveabsj,"[array([-901.43177184, -220.34538033,  531.39657162])]","[array([-0.27473913, -0.5068457 , -3.15359941,  0.61988723,  0.50226481,
        0.53281471])]"
moveabsj,"[array([-900.28650341, -226.57572708,  537.48370301])]","[array([-0.26779805, -0.50218624, -3.14890636,  0.61775876,  0.50345581,
        0.53348702])]"
moveabsj,"[array([-899.24674627, -232.81236744,  545.30552422])]","[array([-0.26069823, -0.49632185, -3.14310754,  0.61552751,  0.5054313 ,
        0.53434193])]"
moveabsj,"[array([-898.27650898, -239.02316377,  554.8259694 ])]","[array([-0.25350226, -0.48933915, -3.13619729,  0.61313483,  0.5081765 ,
        0.53545359])]"
moveabsj,"[array([-897.291827  , -245.23368752,  566.02886613])]","[array([-0.2461951 , -0.48118995, -3.12830602,  0.61072687,  0.51166899,
        0.53671079])]"
moveabsj,"[array([-896.24993939, -251.39426631,  578.80923511])]","[array([-0.23886451, -0.47203841, -3.11943002,  0.60826911,  0.51583182,
        0.5381591 ])]"
moveabsj,"[array([-895.09074982, -257.47655316,  592.97033473])]","[array([-0.23156966, -0.46209145, -3.10968558,  0.60570417,  0.52065326,
        0.53988954])]"
moveabsj,"[array([-893.72489827, -263.46930934,  608.35205605])]","[array([-0.22435332, -0.45141289, -3.09924152,  0.60318905,  0.52595723,
        0.54175328])]"
moveabsj,"[array([-892.10132593, -269.34817642,  624.63793099])]","[array([-0.21726805, -0.44026727, -3.088282  ,  0.60072983,  0.53163566,
        0.54376326])]"
moveabsj,"[array([-890.1672351 , -275.09612903,  641.46206569])]","[array([-0.21036198, -0.42889681, -3.07706729,  0.59834787,  0.53752678,
        0.54590604])]"
moveabsj,"[array([-887.93535165, -280.70127787,  658.38676929])]","[array([-0.20366122, -0.41766433, -3.06578315,  0.59609628,  0.54342485,
        0.54812774])]"
moveabsj,"[array([-885.38720369, -286.18073076,  674.93807843])]","[array([-0.19716766, -0.40681743, -3.05481464,  0.59399163,  0.54913558,
        0.55041227])]"
moveabsj,"[array([-882.56474309, -291.55361084,  690.62289331])]","[array([-0.19087167, -0.39666588, -3.04446154,  0.59207862,  0.55439734,
        0.55270377])]"
moveabsj,"[array([-879.53505719, -296.87076126,  704.92675972])]","[array([-0.18471593, -0.38751959, -3.035061  ,  0.59040571,  0.55897678,
        0.55495106])]"
moveabsj,"[array([-876.39776614, -302.19920455,  717.33123771])]","[array([-0.17861627, -0.37970472, -3.02693198,  0.58904511,  0.56262567,
        0.55708182])]"
moveabsj,"[array([-873.26608975, -307.58251359,  727.29078312])]","[array([-0.17253176, -0.37357778, -3.02042012,  0.58794723,  0.56509365,
        0.55915923])]"
moveabsj,"[array([-870.22436938, -313.13130005,  734.27106448])]","[array([-0.16632267, -0.36939302, -3.0159881 ,  0.58723099,  0.56615507,
        0.56108885])]"
