primitives,points,q_bp
moveabsj,"[array([1686.75400871, -794.95859518, 1281.67392833])]","[array([-0.80835613,  0.21679066,  0.48536758,  1.70850564,  1.47096008,
        2.30371113])]"
moveabsj,"[array([1730.31994659, -519.50999745, 1291.71794993])]","[array([-0.67073128,  0.16036828,  0.55399449,  1.72719508,  1.47743312,
        2.29435414])]"
moveabsj,"[array([1731.32695197, -503.0480057 , 1293.77446238])]","[array([-0.66254316,  0.15660721,  0.55792193,  1.72904582,  1.47867187,
        2.29290075])]"
moveabsj,"[array([1731.93691979, -486.77364031, 1297.35268578])]","[array([-0.6545015 ,  0.15248967,  0.56166117,  1.73164501,  1.48074603,
        2.29053822])]"
moveabsj,"[array([1732.17931577, -470.68368991, 1302.41501541])]","[array([-0.64658688,  0.14804051,  0.56519561,  1.73498545,  1.48362565,
        2.28729439])]"
moveabsj,"[array([1732.08009813, -454.74854459, 1308.91658538])]","[array([-0.6387653 ,  0.14328584,  0.56852708,  1.73908119,  1.48728856,
        2.28317097])]"
moveabsj,"[array([1731.67936573, -438.94386624, 1316.79405886])]","[array([-0.63099984,  0.1382729 ,  0.57163397,  1.74392519,  1.49170047,
        2.27819707])]"
moveabsj,"[array([1731.01467204, -423.21843227, 1325.95487046])]","[array([-0.62323996,  0.13304177,  0.57451011,  1.74949594,  1.49680113,
        2.27242472])]"
moveabsj,"[array([1730.13233154, -407.52260973, 1336.26306284])]","[array([-0.61543336,  0.12766014,  0.57714497,  1.75575383,  1.50252488,
        2.26591484])]"
moveabsj,"[array([1729.08271679, -391.80421967, 1347.53461321])]","[array([-0.60752802,  0.12220267,  0.57952633,  1.76261427,  1.50877298,
        2.25878036])]"
moveabsj,"[array([1727.90920138, -376.00107424, 1359.52276759])]","[array([-0.59947202,  0.11675238,  0.5816724 ,  1.76997231,  1.5154336 ,
        2.25113812])]"
moveabsj,"[array([1726.64817518, -360.06159365, 1371.92770638])]","[array([-0.5912275 ,  0.111392  ,  0.58361521,  1.77767676,  1.52236958,
        2.24314838])]"
moveabsj,"[array([1725.32449805, -343.94824895, 1384.39941123])]","[array([-0.58277477,  0.10620211,  0.58541208,  1.78554298,  1.52943095,
        2.23499092])]"
moveabsj,"[array([1723.94864801, -327.64468966, 1396.55614672])]","[array([-0.5741189 ,  0.10124502,  0.58714146,  1.79334724,  1.53644703,
        2.22688249])]"
moveabsj,"[array([1722.51040682, -311.16694526, 1408.01006093])]","[array([-0.56529787,  0.09655446,  0.58890163,  1.80083794,  1.5432362 ,
        2.21906964])]"
moveabsj,"[array([1720.97384734, -294.54900554, 1418.37469208])]","[array([-0.55637256,  0.09213878,  0.59083181,  1.80777607,  1.54963281,
        2.21176921])]"
moveabsj,"[array([1719.28480455, -277.86043777, 1427.29672425])]","[array([-0.54743628,  0.08796599,  0.59307271,  1.81390247,  1.55545876,
        2.20523667])]"
moveabsj,"[array([1717.36730537, -261.1827109 , 1434.45689479])]","[array([-0.53859702,  0.08397649,  0.59578851,  1.8189847 ,  1.56055739,
        2.19969731])]"
moveabsj,"[array([1715.13143343, -244.62295004, 1439.57278689])]","[array([-0.52998648,  0.08006664,  0.5991346 ,  1.82276549,  1.56474111,
        2.19543663])]"
