breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1064.84682732, -997.22671686,  955.19462002])]","[array([-0.12503377,  1.17161217, -2.56748543,  0.27230773, -1.84151001,
       -1.42095025])]"
166,movej_fit,"[array([1062.04825785, -998.38862032,  955.00130264])]","[array([-0.12567378,  1.17056416, -2.56855473,  0.27080208, -1.84163394,
       -1.42345275])]"
333,movej_fit,"[array([1060.83408471, -998.64638668,  953.69552688])]","[array([-0.12575322,  1.17006022, -2.56914878,  0.26989296, -1.84154762,
       -1.42587146])]"
500,movej_fit,"[array([1060.95031887, -998.15211978,  951.48424788])]","[array([-0.12537008,  1.17001582, -2.56934175,  0.26949583, -1.84130389,
       -1.42819799])]"
666,movej_fit,"[array([1062.06369849, -997.09840411,  948.56172434])]","[array([-0.12464545,  1.17032932, -2.56922342,  0.26948193, -1.84093422,
       -1.430461  ])]"
833,movej_fit,"[array([1063.92583511, -995.61798666,  945.03716513])]","[array([-0.12366289,  1.17092364, -2.56886435,  0.26974912, -1.84045851,
       -1.43271902])]"
1000,movej_fit,"[array([1066.32040284, -993.83166991,  941.04711957])]","[array([-0.12249995,  1.17173112, -2.56832366,  0.27021674, -1.83989975,
       -1.4349817 ])]"
1166,movej_fit,"[array([1069.0606444 , -991.84359836,  936.71915673])]","[array([-0.12122327,  1.17269108, -2.56765401,  0.27081633, -1.83928012,
       -1.43725252])]"
1333,movej_fit,"[array([1072.04698546, -989.70125851,  932.08381702])]","[array([-0.11986318,  1.17377123, -2.56688609,  0.27150512, -1.8386079 ,
       -1.43957124])]"
1500,movej_fit,"[array([1075.16116395, -987.471354  ,  927.23407144])]","[array([-0.11846229,  1.17493108, -2.56605461,  0.27224159, -1.83790023,
       -1.44193294])]"
1666,movej_fit,"[array([1078.3071979 , -985.20907094,  922.25491103])]","[array([-0.11705538,  1.17613578, -2.56518901,  0.27299289, -1.83717301,
       -1.4443287 ])]"
1833,movej_fit,"[array([1081.4674966 , -982.91705304,  917.12923001])]","[array([-0.11564433,  1.17737901, -2.56429718,  0.27374803, -1.83642695,
       -1.44679065])]"
2000,movej_fit,"[array([1084.58473761, -980.62946651,  911.91979094])]","[array([-0.11425052,  1.17863814, -2.56339776,  0.27448903, -1.83567411,
       -1.44930595])]"
2166,movej_fit,"[array([1087.61633676, -978.37282828,  906.68305167])]","[array([-0.1128901 ,  1.17989466, -2.56250559,  0.27520345, -1.83492512,
       -1.45185903])]"
2333,movej_fit,"[array([1090.58517524, -976.1268476 ,  901.37360098])]","[array([-0.11155093,  1.18115648, -2.56161613,  0.27589584, -1.83417563,
       -1.4544796 ])]"
2500,movej_fit,"[array([1093.46730642, -973.90742121,  896.03488611])]","[array([-0.11024263,  1.18241168, -2.56073841,  0.27656084, -1.8334336 ,
       -1.45715057])]"
2666,movej_fit,"[array([1096.24684948, -971.72633362,  890.70655985])]","[array([-0.10897195,  1.18365073, -2.5598792 ,  0.27719599, -1.83270581,
       -1.45985313])]"
2833,movej_fit,"[array([1098.9621266 , -969.55351737,  885.32840516])]","[array([-0.10772125,  1.18488816, -2.55902828,  0.27781182, -1.83198507,
       -1.46261716])]"
3000,movej_fit,"[array([1101.60377016, -967.39667437,  879.93387776])]","[array([-0.10649492,  1.18611726, -2.55818997,  0.27840833, -1.83127669,
       -1.46542361])]"
3166,movej_fit,"[array([1104.16576633, -965.26209673,  874.5550503 ])]","[array([-0.10529617,  1.18733231, -2.55736758,  0.27898655, -1.83058522,
       -1.46825236])]"
3333,movej_fit,"[array([1106.68889674, -963.11702986,  869.1256122 ])]","[array([-0.10410633,  1.18854997, -2.5565492 ,  0.27955814, -1.82990238,
       -1.47113455])]"
3500,movej_fit,"[array([1109.16756231, -960.96715735,  863.67581849])]","[array([-0.10292839,  1.18976513, -2.55573764,  0.28012431, -1.82923222,
       -1.47405035])]"
3666,movej_fit,"[array([1111.59681778, -958.8184377 ,  858.23626769])]","[array([-0.10176517,  1.19097274, -2.55493555,  0.28068619, -1.82857837,
       -1.47697923])]"
3833,movej_fit,"[array([1114.01476706, -956.63833924,  852.73938647])]","[array([-0.10059872,  1.1921894 , -2.55413126,  0.28125478, -1.82793268,
       -1.47995379])]"
4000,movej_fit,"[array([1116.41465867, -954.43356695,  847.21627428])]","[array([-0.09943245,  1.19340962, -2.55332783,  0.28183057, -1.82729888,
       -1.48295385])]"
4166,movej_fit,"[array([1118.78920357, -952.21195199,  841.69927391])]","[array([-0.09827005,  1.19462754, -2.55252858,  0.28241353, -1.82668056,
       -1.48595875])]"
4333,movej_fit,"[array([1121.17299371, -949.94165892,  836.12167401])]","[array([-0.09709457,  1.1958589 , -2.55172273,  0.28301375, -1.82607027,
       -1.48900227])]"
4500,movej_fit,"[array([1123.55678394, -947.63142153,  830.51716857])]","[array([-0.09591037,  1.19709712, -2.55091427,  0.28363052, -1.825472  ,
       -1.49206397])]"
4666,movej_fit,"[array([1125.93050437, -945.29142249,  824.92087488])]","[array([-0.0947223 ,  1.19833506, -2.55010757,  0.28426239, -1.82488958,
       -1.49512307])]"
