breakpoints,primitives,points,q_bp
6000,movel_fit,"[array([1030.94089821, -661.02782815,  975.61032266])]","[array([-0.77293237, -0.28850513,  0.62105081,  0.41801773,  1.30737369,
       -2.88438542])]"
6166,movel_fit,"[array([1031.52998897, -655.92849136,  976.23384654])]","[array([-0.77052216, -0.28981669,  0.62178877,  0.41949565,  1.30997603,
       -2.88474241])]"
6333,movel_fit,"[array([1032.15570488, -650.80027072,  976.8760946 ])]","[array([-0.76807713, -0.29111399,  0.62250948,  0.42100571,  1.31256762,
       -2.88510864])]"
6500,movel_fit,"[array([1032.81559286, -645.67456791,  977.53215952])]","[array([-0.7656115 , -0.29238744,  0.62320828,  0.42253905,  1.31513112,
       -2.88548179])]"
6666,movel_fit,"[array([1033.50625439, -640.58271004,  978.19679256])]","[array([-0.76314004, -0.29362807,  0.6238811 ,  0.42408622,  1.31764993,
       -2.8858593 ])]"
6833,movel_fit,"[array([1034.23672028, -635.4639921 ,  978.87678505])]","[array([-0.76063282, -0.29484935,  0.62453597,  0.42566566,  1.32015301,
       -2.88624538])]"
7000,movel_fit,"[array([1035.00346849, -630.34972144,  979.56693465])]","[array([-0.75810459, -0.29604233,  0.62516879,  0.42726782,  1.32262381,
       -2.88663739])]"
7166,movel_fit,"[array([1035.80190895, -625.27107187,  980.26178543])]","[array([-0.75557064, -0.29719885,  0.62577605,  0.42888248,  1.32504667,
       -2.88703247])]"
7333,movel_fit,"[array([1036.64176905, -620.1674154 ,  980.96846188])]","[array([-0.75300046, -0.29833168,  0.62636522,  0.43052855,  1.32744979,
       -2.88743484])]"
7500,movel_fit,"[array([1037.51822041, -615.06988816,  981.68154682])]","[array([-0.75040936, -0.29943276,  0.62693279,  0.43219569,  1.32981763,
       -2.88784154])]"
7666,movel_fit,"[array([1038.42531511, -610.00943866,  982.39547158])]","[array([-0.74781319, -0.30049495,  0.62747591,  0.43387291,  1.33213566,
       -2.88824944])]"
7833,movel_fit,"[array([1039.37335665, -604.92553511,  983.11759633])]","[array([-0.74518092, -0.30153037,  0.62800151,  0.43557948,  1.3344313 ,
       -2.88866274])]"
8000,movel_fit,"[array([1040.3561068 , -599.84907444,  983.84240021])]","[array([-0.7425284 , -0.30253202,  0.62850678,  0.43730428,  1.33669015,
       -2.8890782 ])]"
8166,movel_fit,"[array([1041.36625116, -594.81072681,  984.56431736])]","[array([-0.73987207, -0.30349392,  0.62898947,  0.43903564,  1.33889888,
       -2.88949253])]"
8333,movel_fit,"[array([1042.41459539, -589.75008044,  985.29086147])]","[array([-0.73718036, -0.30442753,  0.62945609,  0.44079312,  1.3410841 ,
       -2.88990985])]"
8500,movel_fit,"[array([1043.49355457, -584.69775352,  986.01652729])]","[array([-0.73446968, -0.30532704,  0.62990445,  0.44256494,  1.34323261,
       -2.8903268 ])]"
8666,movel_fit,"[array([1044.59460274, -579.68411753,  986.73586566])]","[array([-0.73175699, -0.30618764,  0.63033289,  0.44433888,  1.34533219,
       -2.89074   ])]"
8833,movel_fit,"[array([1045.72901302, -574.64891528,  987.45646483])]","[array([-0.72901018, -0.30702012,  0.6307475 ,  0.44613475,  1.34740862,
       -2.89115353])]"
9000,movel_fit,"[array([1046.88806428, -569.62248093,  988.17294423])]","[array([-0.72624617, -0.30781984,  0.63114666,  0.44794028,  1.34944978,
       -2.89156399])]"
9166,movel_fit,"[array([1048.06230098, -564.63490026,  988.88006851])]","[array([-0.72348235, -0.30858306,  0.63152917,  0.44974291,  1.35144448,
       -2.89196805])]"
9333,movel_fit,"[array([1049.26344049, -559.62611353,  989.58541877])]","[array([-0.72068611, -0.3093199 ,  0.63190075,  0.45156266,  1.35341759,
       -2.89236972])]"
9500,movel_fit,"[array([1050.48193392, -554.6261945 ,  990.28382738])]","[array([-0.71787478, -0.31002673,  0.63226021,  0.45338697,  1.35535791,
       -2.89276569])]"
9666,movel_fit,"[array([1051.70774534, -549.66497988,  990.97034492])]","[array([-0.71506606, -0.31070075,  0.63260669,  0.45520316,  1.3572551 ,
       -2.89315282])]"
9833,movel_fit,"[array([1052.95299524, -544.68265229,  991.65246122])]","[array([-0.71222688, -0.31135137,  0.63294558,  0.45703139,  1.35913305,
       -2.89353497])]"
10000,movel_fit,"[array([1054.20765332, -539.70906592,  992.32528453])]","[array([-0.70937487, -0.31197581,  0.63327597,  0.45885903,  1.36098132,
       -2.89390906])]"
10166,movel_fit,"[array([1055.46145971, -534.77385583,  992.98419751])]","[array([-0.70652799, -0.31257199,  0.63359719,  0.46067346,  1.36279022,
       -2.89427219])]"
10333,movel_fit,"[array([1056.72685673, -529.81748719,  993.63651465])]","[array([-0.70365269, -0.31314858,  0.63391433,  0.46249492,  1.36458265,
       -2.8946281 ])]"
10500,movel_fit,"[array([1057.99366413, -524.86964018,  994.27765895])]","[array([-0.70076685, -0.31370347,  0.63422667,  0.46431088,  1.36634874,
       -2.89497393])]"
10666,movel_fit,"[array([1059.25171498, -519.95979418,  994.90336852])]","[array([-0.69788857, -0.31423508,  0.63453355,  0.46610898,  1.36807924,
       -2.89530716])]"
10833,movel_fit,"[array([1060.51364268, -515.02872862,  995.52070211])]","[array([-0.69498392, -0.3147514 ,  0.63483988,  0.46790941,  1.36979609,
       -2.89563129])]"
11000,movel_fit,"[array([1061.76939712, -510.10599002,  996.1254164 ])]","[array([-0.69207091, -0.31525076,  0.63514494,  0.46969988,  1.37148984,
       -2.89594379])]"
11166,movel_fit,"[array([1063.00915413, -505.22093854,  996.71361068])]","[array([-0.68916775, -0.31573191,  0.63544803,  0.47146841,  1.37315157,
       -2.89624249])]"
11333,movel_fit,"[array([1064.24556126, -500.31469059,  997.29201488])]","[array([-0.68624015, -0.31620221,  0.63575392,  0.47323502,  1.37480227,
       -2.89653062])]"
11500,movel_fit,"[array([1065.46891044, -495.41668873,  997.85672353])]","[array([-0.68330623, -0.31666029,  0.63606182,  0.47498779,  1.3764328 ,
       -2.89680601])]"
11666,movel_fit,"[array([1066.66989588, -490.55619733,  998.40419122])]","[array([-0.68038425, -0.31710504,  0.63637091,  0.47671517,  1.37803447,
       -2.89706685])]"
11833,movel_fit,"[array([1067.8609682 , -485.6746857 ,  998.94075543])]","[array([-0.67743964, -0.31754333,  0.63668589,  0.47843689,  1.37962742,
       -2.89731603])]"
12000,movel_fit,"[array([1069.03290583, -480.80150999,  999.46284353])]","[array([-0.67449057, -0.31797395,  0.63700588,  0.48014142,  1.38120274,
       -2.89755174])]"
12166,movel_fit,"[array([1070.17703133, -475.9658492 ,  999.9672533 ])]","[array([-0.67155534, -0.31839581,  0.63732982,  0.48181773,  1.38275191,
       -2.89777252])]"
12333,movel_fit,"[array([1071.30537052, -471.10953886, 1000.45987685])]","[array([-0.66859915, -0.31881542,  0.63766249,  0.48348509,  1.3842943 ,
       -2.89798089])]"
12500,movel_fit,"[array([1072.40927854, -466.26185527, 1000.93746484])]","[array([-0.66564023, -0.31923161,  0.63800284,  0.48513243,  1.3858212 ,
       -2.89817535])]"
12666,movel_fit,"[array([1073.48076884, -461.45189197, 1001.39714444])]","[array([-0.66269686, -0.31964326,  0.63834956,  0.48674924,  1.38732424,
       -2.8983548 ])]"
12833,movel_fit,"[array([1074.53121541, -456.62186518, 1001.84432017])]","[array([-0.65973412, -0.32005666,  0.63870762,  0.48835418,  1.38882212,
       -2.89852133])]"
13000,movel_fit,"[array([1075.5526054 , -451.80096951, 1002.27605586])]","[array([-0.65677024, -0.3204706 ,  0.63907573,  0.48993668,  1.3903063 ,
       -2.89867377])]"
13166,movel_fit,"[array([1076.53767969, -447.01820503, 1002.68979577])]","[array([-0.65382352, -0.32088388,  0.63945233,  0.49148673,  1.39176855,
       -2.89881132])]"
13333,movel_fit,"[array([1077.49694906, -442.21618768, 1003.09042474])]","[array([-0.65085894, -0.32130268,  0.63984267,  0.49302231,  1.393227  ,
       -2.89893561])]"
13500,movel_fit,"[array([1078.42307266, -437.42402231, 1003.47531166])]","[array([-0.64789476, -0.32172575,  0.64024521,  0.49453331,  1.39467327,
       -2.89904579])]"
13666,movel_fit,"[array([1079.30954805, -432.6706019 , 1003.84220903])]","[array([-0.64494924, -0.32215169,  0.64065809,  0.49601025,  1.39609928,
       -2.89914134])]"
13833,movel_fit,"[array([1080.16583704, -427.89896753, 1004.19545915])]","[array([-0.64198736, -0.32258678,  0.64108694,  0.49747031,  1.39752264,
       -2.89922344])]"
14000,movel_fit,"[array([1080.98531065, -423.13812138, 1004.53273136])]","[array([-0.63902739, -0.32302962,  0.64152995,  0.49890387,  1.39893514,
       -2.8992915 ])]"
14166,movel_fit,"[array([1081.76225819, -418.41683102, 1004.85208209])]","[array([-0.63608751, -0.3234786 ,  0.64198495,  0.50030201,  1.40032882,
       -2.8993453 ])]"
14333,movel_fit,"[array([1082.50493662, -413.67859514, 1005.15729602])]","[array([-0.6331328 , -0.32394021,  0.64245801,  0.50168099,  1.40172087,
       -2.89938553])]"
14500,movel_fit,"[array([1083.2074775 , -408.95229581, 1005.44634247])]","[array([-0.63018147, -0.32441287,  0.64294702,  0.50303172,  1.40310321,
       -2.89941189])]"
14666,movel_fit,"[array([1083.86500779, -404.2665523 , 1005.71758189])]","[array([-0.62725165, -0.32489468,  0.64344947,  0.50434584,  1.404468  ,
       -2.89942442])]"
14833,movel_fit,"[array([1084.48445359, -399.56536007, 1005.9742328 ])]","[array([-0.62430853, -0.32539249,  0.64397195,  0.50563864,  1.40583203,
       -2.89942334])]"
15000,movel_fit,"[array([1085.06076571, -394.87745857, 1006.21456776])]","[array([-0.62137028, -0.32590444,  0.64451203,  0.50690159,  1.40718737,
       -2.89940863])]"
15166,movel_fit,"[array([1085.5899645 , -390.23129096, 1006.43725471])]","[array([-0.61845492, -0.32642832,  0.64506682,  0.50812692,  1.40852626,
       -2.89938058])]"
15333,movel_fit,"[array([1086.07754469, -385.57139437, 1006.64494279])]","[array([-0.61552784, -0.32697144,  0.64564349,  0.5093289 ,  1.40986512,
       -2.89933896])]"
15500,movel_fit,"[array([1086.51934136, -380.92633777, 1006.83621361])]","[array([-0.6126071 , -0.32753161,  0.64623923,  0.51049958,  1.41119613,
       -2.89928401])]"
15666,movel_fit,"[array([1086.91232728, -376.32435486, 1007.01004797])]","[array([-0.60971063, -0.32810626,  0.64685076,  0.51163181,  1.41251163,
       -2.8992163 ])]"
15833,movel_fit,"[array([1087.26048492, -371.7105744 , 1007.16852626])]","[array([-0.60680401, -0.32870322,  0.64748588,  0.5127388 ,  1.41382768,
       -2.89913514])]"
16000,movel_fit,"[array([1087.56059697, -367.11336134, 1007.31054569])]","[array([-0.60390521, -0.32931996,  0.64814138,  0.51381324,  1.41513654,
       -2.89904105])]"
16166,movel_fit,"[array([1087.81064231, -362.56070151, 1007.43540522])]","[array([-0.601032  , -0.32995347,  0.64881354,  0.51484861,  1.41643062,
       -2.89893486])]"
16333,movel_fit,"[array([1088.01302339, -357.99836975, 1007.54461966])]","[array([-0.59815026, -0.3306122 ,  0.64951084,  0.51585703,  1.41772566,
       -2.89881544])]"
16500,movel_fit,"[array([1088.1655235 , -353.45448851, 1007.63740712])]","[array([-0.59527779, -0.33129323,  0.65022963,  0.51683183,  1.41901398,
       -2.89868358])]"
16666,movel_fit,"[array([1088.26716777, -348.95675338, 1007.7133878 ])]","[array([-0.5924322 , -0.33199305,  0.65096575,  0.51776718,  1.42028805,
       -2.89854037])]"
16833,movel_fit,"[array([1088.31871791, -344.45164429, 1007.77351529])]","[array([-0.58957969, -0.33272087,  0.65172838,  0.51867407,  1.42156331,
       -2.89838427])]"
17000,movel_fit,"[array([1088.31899325, -339.9669995 , 1007.81733065])]","[array([-0.58673791, -0.33347327,  0.65251344,  0.5195465 ,  1.42283213,
       -2.89821632])]"
17166,movel_fit,"[array([1088.26808582, -335.5301796 , 1007.8447744 ])]","[array([-0.58392425, -0.33424625,  0.65331628,  0.52037933,  1.42408702,
       -2.89803785])]"
17333,movel_fit,"[array([1088.16505893, -331.08843408, 1007.85624324])]","[array([-0.5811053 , -0.33504983,  0.65414682,  0.52118238,  1.42534315,
       -2.89784694])]"
17500,movel_fit,"[array([1088.00978188, -326.66927408, 1007.85159844])]","[array([-0.57829851, -0.3358801 ,  0.65500053,  0.52195034,  1.42659295,
       -2.89764487])]"
17666,movel_fit,"[array([1087.80341284, -322.29968057, 1007.83109469])]","[array([-0.57552107, -0.33673251,  0.65587229,  0.52267874,  1.42782899,
       -2.8974332 ])]"
17833,movel_fit,"[array([1087.54326016, -317.92774332, 1007.79457535])]","[array([-0.57273998, -0.33761799,  0.65677279,  0.52337622,  1.42906617,
       -2.89720961])]"
18000,movel_fit,"[array([1087.23023592, -313.58060458, 1007.74221348])]","[array([-0.56997251, -0.33853211,  0.65769704,  0.52403812,  1.430297  ,
       -2.89697563])]"
18166,movel_fit,"[array([1086.86654501, -309.28482306, 1007.67456662])]","[array([-0.56723558, -0.33946977,  0.65863944,  0.52466069,  1.43151413,
       -2.896733  ])]"
18333,movel_fit,"[array([1086.44768558, -304.98940705, 1007.59092684])]","[array([-0.56449672, -0.34044288,  0.6596115 ,  0.52525128,  1.4327322 ,
       -2.89647907])]"
18500,movel_fit,"[array([1085.97558907, -300.72109092, 1007.49176559])]","[array([-0.56177295, -0.34144649,  0.66060776,  0.52580593,  1.43394382,
       -2.89621553])]"
18666,movel_fit,"[array([1085.45347561, -296.50597176, 1007.37792758])]","[array([-0.55908094, -0.34247491,  0.66162216,  0.52632152,  1.43514174,
       -2.89594432])]"
18833,movel_fit,"[array([1084.87498147, -292.29406273, 1007.24815446])]","[array([-0.55638878, -0.34354114,  0.66266705,  0.52680413,  1.43634036,
       -2.89566243])]"
19000,movel_fit,"[array([1084.24302581, -288.11165483, 1007.10319912])]","[array([-0.55371326, -0.34463967,  0.66373652,  0.52725043,  1.4375324 ,
       -2.89537174])]"
19166,movel_fit,"[array([1083.56180967, -283.98434724, 1006.94417562])]","[array([-0.55107077, -0.34576423,  0.66482405,  0.52765794,  1.43871075,
       -2.89507431])]"
19333,movel_fit,"[array([1082.82306271, -279.86325254, 1006.76927548])]","[array([-0.54843003, -0.34692899,  0.66594286,  0.52803141,  1.43988957,
       -2.89476682])]"
19500,movel_fit,"[array([1082.03066188, -275.77418548, 1006.57951519])]","[array([-0.54580757, -0.34812787,  0.66708658,  0.52836811,  1.44106171,
       -2.89445128])]"
19666,movel_fit,"[array([1081.18976156, -271.74221236, 1006.37626121])]","[array([-0.54321949, -0.34935401,  0.66824825,  0.52866618,  1.4422202 ,
       -2.89412987])]"
19833,movel_fit,"[array([1080.29015089, -267.71964743, 1006.15715578])]","[array([-0.5406352 , -0.35062279,  0.66944199,  0.52892902,  1.44337898,
       -2.89379897])]"
20000,movel_fit,"[array([1079.33664564, -263.73179634, 1005.92346355])]","[array([-0.53807096, -0.35192759,  0.67066098,  0.52915448,  1.44453104,
       -2.89346068])]"
20166,movel_fit,"[array([1078.33534115, -259.80315599, 1005.67679028])]","[array([-0.53554256, -0.35326089,  0.67189782,  0.52934131,  1.44566954,
       -2.89311732])]"
20333,movel_fit,"[array([1077.27406617, -255.8873506 , 1005.41423203])]","[array([-0.53302018, -0.35463942,  0.67316752,  0.52949149,  1.4468082 ,
       -2.89276494])]"
20500,movel_fit,"[array([1076.15857459, -252.00914034, 1005.13729155])]","[array([-0.53051976, -0.35605591,  0.67446282,  0.52960348,  1.44794015,
       -2.89240576])]"
20666,movel_fit,"[array([1074.9959103 , -248.19241075, 1004.84780763])]","[array([-0.52805676, -0.35750222,  0.67577587,  0.52967663,  1.44905869,
       -2.89204218])]"
20833,movel_fit,"[array([1073.77193855, -244.39220814, 1004.54233689])]","[array([-0.5256022 , -0.35899644,  0.6771226 ,  0.52971149,  1.45017729,
       -2.89166998])]"
21000,movel_fit,"[array([1072.493372  , -240.63270327, 1004.22261814])]","[array([-0.52317169, -0.36053067,  0.67849529,  0.52970713,  1.45128921,
       -2.89129149])]"
21166,movel_fit,"[array([1071.16823164, -236.93711885, 1003.89072538])]","[array([-0.52078029, -0.36209605,  0.6798856 ,  0.52966353,  1.45238787,
       -2.89090916])]"
