breakpoints,primitives,p_bp,q_bp
17500,movel_fit,"[array([1437.04312163, -858.58670117,  787.31381687])]","[array([-0.78947203,  0.48107634,  0.09247622, -2.57050806, -1.42163523,
       -2.44565017])]"
18000,movel_fit,"[array([1439.62165275, -852.62941918,  803.61042231])]","[array([-0.7866798 ,  0.47763679,  0.08491612, -2.56790164, -1.43574363,
       -2.45147981])]"
18500,movel_fit,"[array([1442.20118271, -846.73322611,  819.96228995])]","[array([-0.78379351,  0.47415967,  0.077196  , -2.56548685, -1.44956652,
       -2.45729257])]"
19000,movel_fit,"[array([1444.76799348, -840.89934489,  836.3356609 ])]","[array([-0.78081622,  0.47063248,  0.06933949, -2.56327035, -1.46308091,
       -2.46308754])]"
19500,movel_fit,"[array([1447.3122999 , -835.11925779,  852.70674491])]","[array([-0.77774959,  0.46704987,  0.06136141, -2.5612561 , -1.47627123,
       -2.46886622])]"
20000,movel_fit,"[array([1449.82038677, -829.37846241,  869.093923  ])]","[array([-0.77459024,  0.46339289,  0.05326622, -2.55945689, -1.48914417,
       -2.47462229])]"
20500,movel_fit,"[array([1452.28055553, -823.66426496,  885.51855153])]","[array([-0.7713351 ,  0.45965214,  0.04505536, -2.5578877 , -1.50170643,
       -2.48036105])]"
21000,movel_fit,"[array([1454.69338157, -817.97043603,  901.95530249])]","[array([-0.767977  ,  0.45583314,  0.03671939, -2.55657118, -1.51395811,
       -2.48609523])]"
21500,movel_fit,"[array([1457.05187534, -812.27147578,  918.39348189])]","[array([-0.76450494,  0.45193487,  0.02826294, -2.55553267, -1.52590286,
       -2.49184946])]"
22000,movel_fit,"[array([1459.34580117, -806.55711094,  934.83477708])]","[array([-0.76090549,  0.44795643,  0.01966241, -2.55480629, -1.5375678 ,
       -2.49763823])]"
22500,movel_fit,"[array([1461.56420386, -800.8179929 ,  951.28179434])]","[array([-0.75717281,  0.44390609,  0.01090816, -2.55441956, -1.54896861,
       -2.5034933 ])]"
23000,movel_fit,"[array([1463.67811252, -795.03768122,  967.7229177 ])]","[array([-7.53290283e-01,  4.39779632e-01,  2.00264045e-03, -2.55441450e+00,
       -1.56011109e+00, -2.50944340e+00])]"
23500,movel_fit,"[array([1465.65570214, -789.25246832,  984.1746744 ])]","[array([-0.74927153,  0.43557536, -0.00708541, -2.55483064, -1.57103071,
       -2.51550896])]"
24000,movel_fit,"[array([1467.55719633, -783.40151463, 1000.60933932])]","[array([-0.74507863,  0.43129316, -0.0163404 , -2.55567579, -1.58169017,
       -2.52168607])]"
24500,movel_fit,"[array([1469.35228981, -777.47353464, 1017.04167389])]","[array([-0.74070498,  0.42690927, -0.02575124, -2.55698701, -1.59208373,
       -2.52797693])]"
25000,movel_fit,"[array([1471.01025891, -771.45561278, 1033.46602574])]","[array([-0.73614172,  0.42237858, -0.03528676, -2.55879094, -1.60219155,
       -2.53436614])]"
25500,movel_fit,"[array([1472.52040169, -765.35203756, 1049.83719891])]","[array([-0.73139151,  0.41768233, -0.04489507, -2.56111267, -1.61194914,
       -2.54085996])]"
26000,movel_fit,"[array([1473.87482063, -759.12801039, 1066.20203576])]","[array([-0.72643742,  0.41275696, -0.05454776, -2.56397727, -1.62133271,
       -2.54741115])]"
26500,movel_fit,"[array([1475.05279761, -752.78118587, 1082.54293864])]","[array([-0.72127717,  0.40756297, -0.06419165, -2.56741624, -1.63028274,
       -2.55400828])]"
27000,movel_fit,"[array([1476.03758873, -746.32248588, 1098.81137012])]","[array([-0.71590781,  0.40206398, -0.07377113, -2.57146329, -1.63873415,
       -2.56064481])]"
27500,movel_fit,"[array([1476.82946157, -739.70350989, 1115.0718036 ])]","[array([-0.7103032 ,  0.39620326, -0.08326203, -2.57615471, -1.64666573,
       -2.56728224])]"
28000,movel_fit,"[array([1477.41833751, -732.91131282, 1131.25470175])]","[array([-0.70444806,  0.38995148, -0.09260919, -2.58153381, -1.65401774,
       -2.57392838])]"
28500,movel_fit,"[array([1477.78671262, -725.92944752, 1147.35031457])]","[array([-0.69832117,  0.38327479, -0.10177498, -2.587652  , -1.66076163,
       -2.58058934])]"
29000,movel_fit,"[array([1477.91306453, -718.75764616, 1163.36933687])]","[array([-0.69190704,  0.37614787, -0.11073201, -2.59457205, -1.66687166,
       -2.58728296])]"
29500,movel_fit,"[array([1477.75936778, -711.42213251, 1179.315743  ])]","[array([-0.68518546,  0.36853491, -0.1194689 , -2.6023504 , -1.67235219,
       -2.59401123])]"
30000,movel_fit,"[array([1477.3129003 , -703.89177742, 1195.17851975])]","[array([-0.67812477,  0.36040893, -0.12793041, -2.61105732, -1.67715546,
       -2.6008001 ])]"
30500,movel_fit,"[array([1476.58227834, -696.13614431, 1210.90106127])]","[array([-0.67069323,  0.35174574, -0.13605847, -2.62073607, -1.6812382 ,
       -2.60765829])]"
