breakpoints,primitives,points,q_bp
36000,movel_fit,"[array([1015.25106895,  156.22100175,  932.52971735])]","[array([-0.10077334, -0.02675573,  0.55304253, -2.67007846, -1.73204903,
        1.00006418])]"
37000,movel_fit,"[array([1014.52833022,  169.95828538,  947.19257344])]","[array([-0.09140724, -0.04390497,  0.55068584, -2.66369144, -1.73223781,
        0.99547961])]"
38000,movel_fit,"[array([1016.57957235,  182.11098167,  968.86995144])]","[array([-0.084423  , -0.06885525,  0.54540164, -2.65596747, -1.73030759,
        0.98788925])]"
39000,movel_fit,"[array([1022.86249987,  193.99637659,  996.49259843])]","[array([-0.07915803, -0.09916118,  0.53664145, -2.64584481, -1.72458567,
        0.97727106])]"
40000,movel_fit,"[array([1034.41526571,  207.42780968, 1027.83651553])]","[array([-0.07404742, -0.13107411,  0.52449383, -2.63290143, -1.71329524,
        0.96405384])]"
41000,movel_fit,"[array([1050.52102904,  223.68354177, 1059.4749902 ])]","[array([-0.0670741 , -0.16045263,  0.51030437, -2.61840469, -1.69598423,
        0.94949129])]"
42000,movel_fit,"[array([1068.05234948,  242.46842047, 1087.90077888])]","[array([-0.05716945, -0.18454346,  0.49644682, -2.60481759, -1.67499559,
        0.93548928])]"
43000,movel_fit,"[array([1082.87800788,  262.37055726, 1110.9090786 ])]","[array([-0.04486102, -0.20272852,  0.48510586, -2.59383258, -1.65478381,
        0.92382367])]"
44000,movel_fit,"[array([1091.8783609 ,  282.13961179, 1127.74730254])]","[array([-0.03133209, -0.21556743,  0.47740509, -2.58558091, -1.63958594,
        0.91562385])]"
45000,movel_fit,"[array([1093.34404724,  300.99398282, 1138.19914888])]","[array([-0.01758162, -0.22352806,  0.47368259, -2.57945806, -1.6323711 ,
        0.91157197])]"
46000,movel_fit,"[array([1086.35235703,  318.07447258, 1141.85799183])]","[array([-0.00443812, -0.22652855,  0.474165  , -2.57502102, -1.63512195,
        0.91219472])]"
47000,movel_fit,"[array([1070.47684553,  332.40316529, 1138.27792244])]","[array([ 0.00756469, -0.22432315,  0.47926895, -2.57234133, -1.64869332,
        0.9177163 ])]"
48000,movel_fit,"[array([1045.87625484,  343.61890722, 1127.21057837])]","[array([ 0.01881758, -0.21658934,  0.48951446, -2.57198441, -1.67236875,
        0.92796268])]"
49000,movel_fit,"[array([1014.22976849,  352.66956826, 1108.60449956])]","[array([ 0.03101406, -0.20234389,  0.50491449, -2.57462284, -1.70307594,
        0.94235631])]"
50000,movel_fit,"[array([ 980.65487407,  362.3770615 , 1083.35085466])]","[array([ 0.04664587, -0.18007722,  0.52357665, -2.57965777, -1.73407578,
        0.95934453])]"
