breakpoints,primitives,p_bp,q_bp
17500,movel_fit,"[array([ 286.37331686, -802.4965267 , 1015.67583071])]","[array([-0.54427228, -0.48976408,  0.97219205,  2.22905244, -1.55535706,
       -2.89924423])]"
18000,movel_fit,"[array([ 289.87261045, -810.06934653, 1009.67268538])]","[array([-0.54649257, -0.47803308,  0.97430787,  2.22290192, -1.54641602,
       -2.90091377])]"
18500,movel_fit,"[array([ 293.34434308, -817.73629477, 1003.77490343])]","[array([-0.5494906 , -0.46629241,  0.97551104,  2.21764004, -1.53729975,
       -2.90200152])]"
19000,movel_fit,"[array([ 296.78870652, -825.50895428,  997.99946255])]","[array([-0.55329824, -0.45459188,  0.97573777,  2.21334832, -1.5279911 ,
       -2.9024629 ])]"
19500,movel_fit,"[array([ 300.20314912, -833.39349489,  992.36664486])]","[array([-0.55794669, -0.44299208,  0.97492671,  2.21011734, -1.51847749,
       -2.90225101])]"
20000,movel_fit,"[array([ 303.58573001, -841.39851689,  986.8932837 ])]","[array([-0.56347149, -0.43155068,  0.97301983,  2.20804346, -1.50874089,
       -2.90131662])]"
20500,movel_fit,"[array([ 306.9343858 , -849.53410571,  981.59299904])]","[array([-0.56991499, -0.42032222,  0.96996072,  2.2072331 , -1.49875843,
       -2.89960607])]"
21000,movel_fit,"[array([ 310.24534402, -857.80864299,  976.4776732 ])]","[array([-0.57732639, -0.40936059,  0.96569474,  2.20780634, -1.48850597,
       -2.89706029])]"
21500,movel_fit,"[array([ 313.5103585 , -866.22196096,  971.5604148 ])]","[array([-0.58575613, -0.39872479,  0.96017443,  2.20989614, -1.47796682,
       -2.89361731])]"
22000,movel_fit,"[array([ 316.71993994, -874.77322112,  966.84935605])]","[array([-0.59526275, -0.38846459,  0.95335817,  2.21364741, -1.46712293,
       -2.88921096])]"
22500,movel_fit,"[array([ 319.86322831, -883.46080468,  962.34721356])]","[array([-0.60591443, -0.37861774,  0.94521055,  2.219218  , -1.45595626,
       -2.88377056])]"
23000,movel_fit,"[array([ 322.92721934, -892.28005904,  958.05205431])]","[array([-0.61778674, -0.36920948,  0.93570584,  2.22677679, -1.44445396,
       -2.87722301])]"
23500,movel_fit,"[array([ 325.89782829, -901.2257653 ,  953.95580212])]","[array([-0.63096501, -0.36024666,  0.92482817,  2.2365027 , -1.43260834,
       -2.8694931 ])]"
24000,movel_fit,"[array([ 328.75909265, -910.28889573,  950.04580806])]","[array([-0.64553741, -0.3517182 ,  0.91257894,  2.24857659, -1.42042539,
       -2.86050942])]"
24500,movel_fit,"[array([ 331.49520841, -919.46155653,  946.30293601])]","[array([-0.66159797, -0.3435878 ,  0.89897549,  2.26317895, -1.40792339,
       -2.85020499])]"
25000,movel_fit,"[array([ 334.08961935, -928.73247078,  942.70410856])]","[array([-0.67923236, -0.33579644,  0.8840631 ,  2.28047244, -1.39514488,
       -2.83852864])]"
25500,movel_fit,"[array([ 336.52641046, -938.08912527,  939.22207879])]","[array([-0.69851023, -0.32825966,  0.86791956,  2.30058753, -1.38215981,
       -2.82545285])]"
26000,movel_fit,"[array([ 338.79180911, -947.52087671,  935.82526214])]","[array([-0.71947795, -0.32086631,  0.85065672,  2.32360903, -1.36906639,
       -2.81098061])]"
26500,movel_fit,"[array([ 340.87356457, -957.01325428,  932.48087495])]","[array([-0.74212935, -0.3134867 ,  0.83243653,  2.34953863, -1.35600168,
       -2.79516661])]"
27000,movel_fit,"[array([ 342.76321275, -966.55334181,  929.15405821])]","[array([-0.76639816, -0.30597524,  0.81346489,  2.37828048, -1.34313264,
       -2.77812219])]"
27500,movel_fit,"[array([ 344.45581608, -976.12361367,  925.8111993 ])]","[array([-0.79212463, -0.29818581,  0.79400208,  2.40959846, -1.33065659,
       -2.76003624])]"
28000,movel_fit,"[array([ 345.9524854 , -985.70925707,  922.4185523 ])]","[array([-0.81906128, -0.28997995,  0.77433994,  2.44312118, -1.31877604,
       -2.741166  ])]"
28500,movel_fit,"[array([ 347.26036975, -995.29257192,  918.94537285])]","[array([-0.84685577, -0.28124685,  0.75479766,  2.47832207, -1.30768422,
       -2.72184157])]"
