breakpoints,primitives,points
0,movej_fit,"[array([-0.85001179, -0.24019815,  0.58220603,  0.38008423,  1.20849546,
       -2.87915442])]"
735,movel_fit,"[array([1018.90475119, -817.42501309,  963.22175705])]"
1463,movel_fit,"[array([1016.18510532, -793.47939074,  954.663947  ])]"
2188,movel_fit,"[array([1014.13973069, -769.2610512 ,  947.0605039 ])]"
2915,movel_fit,"[array([1012.75604867, -744.65184257,  940.37684803])]"
3646,movel_fit,"[array([1012.03470053, -719.63772838,  934.61941049])]"
4385,movel_fit,"[array([1011.9743595 , -694.13377265,  929.77929451])]"
5135,movel_fit,"[array([1012.57977779, -668.08843075,  925.86443008])]"
5899,movel_fit,"[array([1013.85640187, -641.44891068,  922.88490144])]"
6681,movel_fit,"[array([1015.81400119, -614.126518  ,  920.85242846])]"
7487,movel_fit,"[array([1018.47294881, -585.96147601,  919.78416994])]"
8324,movel_fit,"[array([1021.86660455, -556.75898728,  919.71429424])]"
9199,movel_fit,"[array([1026.03680074, -526.32552439,  920.69509667])]"
10118,movel_fit,"[array([1031.02487293, -494.50390477,  922.79089059])]"
11087,movel_fit,"[array([1036.87073522, -461.13719593,  926.07155498])]"
12119,movel_fit,"[array([1043.65626247, -425.82758287,  930.64158691])]"
13237,movel_fit,"[array([1051.53904603, -387.84043774,  936.68748401])]"
14469,movel_fit,"[array([1060.72114671, -346.28079208,  944.47627406])]"
15861,movel_fit,"[array([1071.53146801, -299.65523883,  954.44353036])]"
17518,movel_fit,"[array([1084.72568095, -244.51001585,  967.54922016])]"
19665,movel_fit,"[array([1101.85140873, -173.40411906,  985.87463676])]"
21725,movel_fit,"[array([1117.67230489, -105.24226485, 1004.20051531])]"
23450,movel_fit,"[array([1129.94306385,  -47.90332574, 1019.37788059])]"
24869,movel_fit,"[array([ 1.13909117e+03, -4.29118092e-01,  1.03142722e+03])]"
26109,movel_fit,"[array([1146.17967796,   41.36212184, 1041.37700406])]"
27226,movel_fit,"[array([1151.6745287 ,   79.29241391, 1049.69724166])]"
28251,movel_fit,"[array([1155.84298841,  114.35592951, 1056.6390978 ])]"
29205,movel_fit,"[array([1158.8571255 ,  147.2154588 , 1062.37478484])]"
30102,movel_fit,"[array([1160.83195521,  178.30033518, 1067.01334407])]"
30952,movel_fit,"[array([1161.84890242,  207.90408055, 1070.63252013])]"
31762,movel_fit,"[array([1161.97002269,  236.21701767, 1073.28780197])]"
32541,movel_fit,"[array([1161.24324523,  263.50002164, 1075.03284057])]"
33291,movel_fit,"[array([1159.70748654,  289.76980549, 1075.893773  ])]"
34022,movel_fit,"[array([1157.38225613,  315.32349666, 1075.90550952])]"
34738,movel_fit,"[array([1154.27661603,  340.24769791, 1075.07518421])]"
35441,movel_fit,"[array([1150.4092586 ,  364.55908837, 1073.41424901])]"
36135,movel_fit,"[array([1145.78499792,  388.34409027, 1070.92757532])]"
36823,movel_fit,"[array([1140.40843737,  411.65342359, 1067.61721883])]"
37511,movel_fit,"[array([1134.25289524,  434.63666928, 1063.46314112])]"
38199,movel_fit,"[array([1127.33461354,  457.23773878, 1058.47049018])]"
38893,movel_fit,"[array([1119.6137047 ,  479.59826838, 1052.60597092])]"
39597,movel_fit,"[array([1111.05439107,  501.78405851, 1045.83347959])]"
40313,movel_fit,"[array([1101.6433493 ,  523.79465745, 1038.13409625])]"
41045,movel_fit,"[array([1091.33879757,  545.68979644, 1029.46498055])]"
41795,movel_fit,"[array([1080.12228499,  567.46657759, 1019.80120838])]"
42567,movel_fit,"[array([1067.94433707,  589.18163195, 1009.09068161])]"
43365,movel_fit,"[array([1054.74737336,  610.88481192,  997.27175882])]"
44191,movel_fit,"[array([1040.50296581,  632.56603231,  984.30809214])]"
45048,movel_fit,"[array([1025.16603376,  654.23872805,  970.14862675])]"
45940,movel_fit,"[array([1008.67353399,  675.93740145,  954.7245699 ])]"
46874,movel_fit,"[array([990.90321852, 697.76351007, 937.90869962])]"
47849,movel_fit,"[array([971.87478329, 719.6212976 , 919.706348  ])]"
48874,movel_fit,"[array([951.41365855, 741.6452922 , 899.93939626])]"
49952,movel_fit,"[array([929.46640904, 763.8148271 , 878.5445485 ])]"
50000,movel_fit,"[array([928.43545466, 764.65838876, 877.51137525])]"
