timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
0.000000000000000000e+00,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
2.000000094994902611e-03,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
6.000000052154064178e-03,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
8.000000379979610443e-03,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
1.099999994039535522e-02,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
1.600000075995922089e-02,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
1.999999955296516418e-02,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
2.400000020861625671e-02,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
2.800000086426734924e-02,-1.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
3.200000151991844177e-02,2.000000000000000000e+00,-1.950270080566406250e+01,-5.597745895385742188e+00,5.050156021118164062e+01,9.463220214843750000e+01,8.545595550537109375e+01,1.355934906005859375e+02,2.811461210250854492e+00,-3.304811477661132812e+01,-1.849477386474609375e+02,3.599848937988281250e+01,2.110325431823730469e+01,3.341813659667968750e+01
