breakpoints,primitives,points,q_bp
17964,movel_fit,"[array([ 896.80627448, -139.24589875,  764.12239328])]","[array([-0.53147443, -0.44610888, -0.6153997 , -0.61204978, -1.446331  ,
        2.37260064])]"
18463,movel_fit,"[array([ 896.1265042 , -129.01543592,  763.86016356])]","[array([-0.52655839, -0.46263155, -0.62914075, -0.62224931, -1.43525244,
        2.35959677])]"
18962,movel_fit,"[array([ 895.59832402, -118.77362528,  763.65375334])]","[array([-0.5208133 , -0.47823208, -0.64188251, -0.63179995, -1.42434744,
        2.34313586])]"
19461,movel_fit,"[array([ 895.23919462, -108.52712735,  763.51352257])]","[array([-0.5141143 , -0.49274993, -0.65346491, -0.64049713, -1.4136225 ,
        2.32304026])]"
19960,movel_fit,"[array([895.06565772, -98.27887033, 763.44846892])]","[array([-0.50632387, -0.50600206, -0.66371073, -0.6481066 , -1.40309621,
        2.29916294])]"
20459,movel_fit,"[array([895.09325965, -88.02864868, 763.46572517])]","[array([-0.49729435, -0.51777334, -0.67242017, -0.65436409, -1.3928102 ,
        2.27139029])]"
20958,movel_fit,"[array([895.33634458, -77.77686518, 763.56999539])]","[array([-0.48687627, -0.52780439, -0.67936471, -0.6589773 , -1.38284522,
        2.23965629])]"
21457,movel_fit,"[array([895.80711699, -67.53273799, 763.76270941])]","[array([-0.47493822, -0.53578161, -0.68428502, -0.66163615, -1.37334209,
        2.20398186])]"
21956,movel_fit,"[array([896.5149696 , -57.3045285 , 764.04137135])]","[array([-0.46137276, -0.54135061, -0.68690612, -0.66203979, -1.36450451,
        2.16445992])]"
22455,movel_fit,"[array([897.46627656, -47.09803664, 764.39920753])]","[array([-0.44610881, -0.54412152, -0.68694537, -0.65992141, -1.35660866,
        2.12125347])]"
22954,movel_fit,"[array([898.66373737, -36.92075847, 764.82480114])]","[array([-0.42913272, -0.54367871, -0.68412361, -0.65507884, -1.3500125 ,
        2.07461609])]"
23453,movel_fit,"[array([900.10660556, -26.77684736, 765.30225092])]","[array([-0.41049445, -0.53960029, -0.67818011, -0.64740587, -1.34515008,
        2.02487328])]"
23952,movel_fit,"[array([901.7898924 , -16.67240423, 765.81118452])]","[array([-0.39032625, -0.53148366, -0.66889209, -0.6369258 , -1.34252195,
        1.97244793])]"
24451,movel_fit,"[array([903.70528151,  -6.60897543, 766.32755881])]","[array([-0.36883402, -0.51897223, -0.65608977, -0.62381002, -1.34266713,
        1.91782692])]"
24950,movel_fit,"[array([905.84048206,   3.41153696, 766.82416134])]","[array([-0.3463022 , -0.50179079, -0.63967983, -0.6083937 , -1.34612702,
        1.86158127])]"
25449,movel_fit,"[array([908.17923863,  13.38706863, 767.27158828])]","[array([-0.32308171, -0.47978292, -0.61966846, -0.59117256, -1.35339292,
        1.80435789])]"
25948,movel_fit,"[array([910.7031491 ,  23.32198871, 767.63967971])]","[array([-0.29955415, -0.45292765, -0.5961666 , -0.57276681, -1.36485448,
        1.74682693])]"
26447,movel_fit,"[array([913.38966682,  33.21737769, 767.8983589 ])]","[array([-0.27612851, -0.42138725, -0.56942522, -0.55389496, -1.3807359 ,
        1.6897181 ])]"
26946,movel_fit,"[array([916.21412522,  43.07829886, 768.01931451])]","[array([-0.25319563, -0.38550718, -0.53982915, -0.53530397, -1.40105475,
        1.63375668])]"
27445,movel_fit,"[array([919.14806262,  52.90672235, 767.97734763])]","[array([-0.23111684, -0.34584314, -0.50791567, -0.51771933, -1.42558042,
        1.57968359])]"
27944,movel_fit,"[array([922.16156254,  62.70879139, 767.7520024 ])]","[array([-0.21018364, -0.30311857, -0.47433576, -0.50177238, -1.45384849,
        1.52820039])]"
28443,movel_fit,"[array([925.22166907,  72.48845862, 767.32908501])]","[array([-0.19061669, -0.25821035, -0.43983881, -0.48796771, -1.48517899,
        1.48000162])]"
28942,movel_fit,"[array([928.29471421,  82.25416531, 766.70187231])]","[array([-0.17254632, -0.21205883, -0.40519757, -0.47665074, -1.51876123,
        1.43574864])]"
29441,movel_fit,"[array([931.34315972,  92.0078771 , 765.8730198 ])]","[array([-0.15603741, -0.1656451 , -0.37118559, -0.46802191, -1.55370323,
        1.39613482])]"
29940,movel_fit,"[array([934.33131774, 101.76257363, 764.85429776])]","[array([-0.1410696 , -0.11983282, -0.33845597, -0.46213803, -1.58918465,
        1.36182459])]"
30439,movel_fit,"[array([937.22235694, 111.53271008, 763.66761506])]","[array([-0.12757261, -0.07535401, -0.30753277, -0.45895806, -1.62450292,
        1.33351644])]"
30938,movel_fit,"[array([939.97549689, 121.32438404, 762.3468748 ])]","[array([-0.11545194, -0.03281704, -0.27881726, -0.45837288, -1.65908856,
        1.31196584])]"
31437,movel_fit,"[array([942.55127985, 131.1530449 , 760.93587068])]","[array([-0.10457374,  0.00738436, -0.25252911, -0.4602202 , -1.69259098,
        1.29791943])]"
31936,movel_fit,"[array([944.9076265 , 141.02992054, 759.48947978])]","[array([-0.09478645,  0.04499307, -0.22876486, -0.46429517, -1.72481937,
        1.29212259])]"
32435,movel_fit,"[array([947.00187486, 150.96955931, 758.07152044])]","[array([-0.08590913,  0.07988142, -0.20750529, -0.47034124, -1.7557302 ,
        1.29525692])]"
32934,movel_fit,"[array([948.78926573, 160.98297752, 756.75378213])]","[array([-0.07773152,  0.11196883, -0.18866694, -0.47802364, -1.78534156,
        1.30786837])]"
33433,movel_fit,"[array([950.22323966, 171.07383158, 755.61322355])]","[array([-0.07000995,  0.14114435, -0.17214393, -0.48689264, -1.81363704,
        1.33023583])]"
33932,movel_fit,"[array([951.2573601 , 181.23874868, 754.72673249])]","[array([-0.06246926,  0.16719495, -0.15784509, -0.49635888, -1.84046237,
        1.36220903])]"
34431,movel_fit,"[array([951.84748427, 191.4617824 , 754.16442876])]","[array([-0.05482795,  0.18971986, -0.14574521, -0.5056963 , -1.86539966,
        1.4030294 ])]"
34930,movel_fit,"[array([951.95604738, 201.70738326, 753.98050271])]","[array([-0.04684754,  0.20807928, -0.1359324 , -0.5141003 , -1.88767284,
        1.45118793])]"
35429,movel_fit,"[array([951.55681771, 211.94793597, 754.20351469])]","[array([-0.03836732,  0.2214596 , -0.12861372, -0.52083202, -1.90620446,
        1.50460198])]"
35928,movel_fit,"[array([950.63717375, 222.14214802, 754.83095049])]","[array([-0.0293613 ,  0.22890928, -0.12414904, -0.52533742, -1.91966433,
        1.56076379])]"
36427,movel_fit,"[array([949.20098761, 232.24739411, 755.82614821])]","[array([-0.01992928,  0.22950143, -0.12301249, -0.5273579 , -1.92669084,
        1.61715941])]"
