primitives,p_bp,q_bp
moveabsj_fit,"[array([ 1458.35368701, -1301.84871533,   234.08245722])]","[array([-0.84800858,  0.66900074,  0.18971137, -2.73746185, -0.63665824,
       -2.16078909])]"
movec_fit,"[array([ 1420.73090332, -1177.19414464,   305.83514962]), array([ 1403.38577034, -1083.67880417,   385.69263279])]","[array([-0.84962731,  0.63110011,  0.20066907, -2.68833061, -0.82763222,
       -2.25829769]), array([-0.83234105,  0.56908466,  0.23194537, -2.68474989, -0.92275457,
       -2.26467253])]"
movec_fit,"[array([ 1400.46770357, -1048.42168189,   426.13053164]), array([ 1400.3708259 , -1020.0143332 ,   461.83891168])]","[array([-0.82862503,  0.56054542,  0.21771123, -2.67594022, -0.99663207,
       -2.30023726]), array([-0.82537819,  0.55273081,  0.20681616, -2.66506035, -1.05520344,
       -2.31642993])]"
movec_fit,"[array([ 1400.4845155 , -1000.71701507,   489.79117508]), array([1402.03718958, -982.98465204,  518.61002539])]","[array([-0.82394015,  0.54613233,  0.19949839, -2.65403836, -1.09613545,
       -2.33316247]), array([-0.82214164,  0.54051904,  0.19007212, -2.64350632, -1.13685819,
       -2.34771232])]"
movec_fit,"[array([1404.22420784, -965.71361391,  547.44948943]), array([1407.05283689, -949.68652779,  576.81968484])]","[array([-0.81984923,  0.53330284,  0.18259918, -2.63276592, -1.17312606,
       -2.35884812]), array([-0.81737167,  0.52699554,  0.17335053, -2.62270413, -1.20951906,
       -2.3685178 ])]"
movec_fit,"[array([1410.42262595, -934.46750605,  606.81296766]), array([1414.25745896, -920.1387444 ,  637.04315884])]","[array([-0.81442933,  0.51978971,  0.16421467, -2.61297268, -1.24321163,
       -2.38071935]), array([-0.81124008,  0.51344986,  0.15355883, -2.60384516, -1.2768936 ,
       -2.39170341])]"
movec_fit,"[array([1418.39164318, -906.69842674,  666.81398285]), array([1422.82182958, -893.96040229,  696.85465474])]","[array([-0.80750528,  0.50656152,  0.1430557 , -2.59592213, -1.30747257,
       -2.40276706]), array([-0.80357881,  0.50041172,  0.13114968, -2.58847322, -1.33814074,
       -2.41288648])]"
movec_fit,"[array([1426.91843385, -883.04324379,  723.97603412]), array([1431.16685906, -872.46493301,  751.16911832])]","[array([-0.79969952,  0.49442506,  0.12024591, -2.58250743, -1.36395859,
       -2.423124  ]), array([-0.79561302,  0.488888  ,  0.10847247, -2.57691083, -1.38961382,
       -2.43269369])]"
movec_fit,"[array([1439.30252459, -853.3544485 ,  802.04577427]), array([1444.84766773, -840.77482629,  837.71240724])]","[array([-0.78703184,  0.47785261,  0.08569947, -2.56824197, -1.43421828,
       -2.45118176]), array([-0.78097268,  0.47098876,  0.06821553, -2.56262835, -1.46516225,
       -2.46335273])]"
movec_fit,"[array([1449.5717615 , -830.03287301,  868.4577946 ]), array([1454.12607296, -819.34750911,  899.12236999])]","[array([-0.77498936,  0.46372116,  0.05336076, -2.55952694, -1.48886156,
       -2.47446559]), array([-0.76885229,  0.456733  ,  0.03792969, -2.55671613, -1.51218687,
       -2.48516342])]"
