breakpoints,primitives,points,q_bp
18000,movel_fit,"[array([1088.58834132, -228.54749894,  971.65293443])]","[array([-0.49156319, -0.16815893,  0.58279696,  0.50603876,  1.5902205 ,
       -2.76134517])]"
18500,movel_fit,"[array([1092.57940436, -211.97916609,  975.88299983])]","[array([-0.477075  , -0.16482993,  0.57783015,  0.50801115,  1.59727231,
       -2.75550636])]"
19000,movel_fit,"[array([1096.55564603, -195.42395343,  980.1756579 ])]","[array([-0.46237127, -0.16138501,  0.57258635,  0.50972152,  1.60417945,
       -2.74943023])]"
19500,movel_fit,"[array([1100.50822656, -178.87709194,  984.51965818])]","[array([-0.44745305, -0.15782838,  0.56707225,  0.5111589 ,  1.61094048,
       -2.74311696])]"
20000,movel_fit,"[array([1104.42829372, -162.33370482,  988.90382686])]","[array([-0.43231901, -0.15415909,  0.5612909 ,  0.51230919,  1.61755902,
       -2.73656172])]"
20500,movel_fit,"[array([1108.30694377, -145.78882911,  993.31702033])]","[array([-0.41696558, -0.15036945,  0.55524088,  0.51315532,  1.62404547,
       -2.72975403])]"
21000,movel_fit,"[array([1112.13518093, -129.2374434 ,  997.74807699])]","[array([-0.40138713, -0.14644447,  0.5489163 ,  0.51367777,  1.63041763,
       -2.72267784])]"
21500,movel_fit,"[array([1115.90387553, -112.67450182, 1002.18576814])]","[array([-0.38557639, -0.14236263,  0.54230745,  0.51385523,  1.63670025,
       -2.7153125 ])]"
22000,movel_fit,"[array([1119.60372154,  -96.09497372, 1006.61874817])]","[array([-0.369525  , -0.13809779,  0.53540222,  0.51366545,  1.64292316,
       -2.70763436])]"
22500,movel_fit,"[array([1123.22519411,  -79.49388761, 1011.03550481])]","[array([-0.35322395, -0.1336222 ,  0.52818808,  0.51308597,  1.64911847,
       -2.69961892])]"
23000,movel_fit,"[array([1126.75850785,  -62.8663775 , 1015.42430974])]","[array([-0.33666401, -0.12891   ,  0.52065427,  0.51209456,  1.65531704,
       -2.69124318])]"
23500,movel_fit,"[array([1130.19357655,  -46.20772975, 1019.77317006])]","[array([-0.31983594, -0.12394068,  0.51279383,  0.51066939,  1.66154488,
       -2.68248773])]"
24000,movel_fit,"[array([1133.51997507,  -29.51342863, 1024.06978068])]","[array([-0.30273051, -0.11870191,  0.50460524,  0.50878879,  1.66782017,
       -2.67333832])]"
24500,movel_fit,"[array([1136.72690384,  -12.77919968, 1028.30147794])]","[array([-0.28533828, -0.11319095,  0.49609316,  0.50643068,  1.67415145,
       -2.66378648])]"
