breakpoints,primitives,p_bp,q_bp
29150,movel_fit,"[array([1388.03842201, -443.10505522,  868.74449542])]","[array([-0.76725369,  0.38318438,  0.56153434,  1.22388208,  1.56024512,
       -0.32300975])]"
29695,movel_fit,"[array([1395.57575448, -442.61775139,  860.45413113])]","[array([-0.76957951,  0.40615258,  0.57655518,  1.26096685,  1.57434728,
       -0.30363583])]"
30243,movel_fit,"[array([1403.19883873, -441.86374546,  852.17363189])]","[array([-0.77055504,  0.42918223,  0.5907818 ,  1.29674165,  1.58909226,
       -0.28483186])]"
30791,movel_fit,"[array([1410.94813169, -440.78042251,  844.02422728])]","[array([-0.77012925,  0.4517751 ,  0.60360946,  1.33036285,  1.60393585,
       -0.2671319 ])]"
31323,movel_fit,"[array([1418.59017258, -439.61615391,  836.27503737])]","[array([-0.76855121,  0.47296656,  0.61427227,  1.36038659,  1.61800043,
       -0.25133913])]"
31820,movel_fit,"[array([1425.89503371, -438.42049981,  829.19216136])]","[array([-0.76614672,  0.49187051,  0.62236611,  1.38579134,  1.63038668,
       -0.23811886])]"
32274,movel_fit,"[array([1432.59094013, -437.37200875,  822.73860443])]","[array([-0.76339365,  0.50825239,  0.6280934 ,  1.4065641 ,  1.64077512,
       -0.2275957 ])]"
32690,movel_fit,"[array([1439.0202936 , -436.28571332,  817.16124968])]","[array([-0.76036472,  0.52228068,  0.63192   ,  1.42377762,  1.64935446,
       -0.21916949])]"
33776,movel_fit,"[array([1456.55027077, -433.86463796,  803.39462212])]","[array([-0.75135574,  0.55383862,  0.63426767,  1.45817278,  1.66539241,
       -0.20373537])]"
34721,movel_fit,"[array([1473.00295091, -433.018425  ,  792.83413926])]","[array([-0.74334326,  0.57410268,  0.62635632,  1.47431722,  1.66961029,
       -0.19864286])]"
35620,movel_fit,"[array([1489.50465776, -433.50235691,  784.23449769])]","[array([-0.73631435,  0.58624898,  0.6101599 ,  1.47680555,  1.66363403,
       -0.20201503])]"
36541,movel_fit,"[array([1507.18767699, -435.59195205,  777.32370238])]","[array([-0.72980831,  0.59086863,  0.58426534,  1.46472674,  1.64653875,
       -0.2141769 ])]"
37562,movel_fit,"[array([1527.32273617, -439.12797599,  771.94248172])]","[array([-0.72235258,  0.58674236,  0.54451259,  1.43211068,  1.61492205,
       -0.23846292])]"
38327,movel_fit,"[array([1542.63852992, -441.95245118,  769.13959666])]","[array([-0.71525094,  0.57814573,  0.50741358,  1.39384237,  1.58384224,
       -0.26422018])]"
38730,movel_fit,"[array([1550.80475585, -443.34823164,  768.14589687])]","[array([-0.71053887,  0.57204373,  0.48561852,  1.36912459,  1.56561796,
       -0.28015562])]"
39137,movel_fit,"[array([1559.11479819, -444.56485043,  767.46551527])]","[array([-0.70487625,  0.5650299 ,  0.46228237,  1.34121657,  1.54635397,
       -0.29772162])]"
39544,movel_fit,"[array([1567.47466516, -445.55929199,  766.925692  ])]","[array([-0.69819337,  0.5574636 ,  0.4378543 ,  1.31056089,  1.52657292,
       -0.31661504])]"
39950,movel_fit,"[array([1575.82883251, -446.28858063,  766.51714315])]","[array([-0.69043937,  0.54961905,  0.41271761,  1.27766745,  1.5067466 ,
       -0.33644509])]"
40354,movel_fit,"[array([1584.22154728, -446.64154148,  766.2733188 ])]","[array([-0.68158969,  0.54177818,  0.38730226,  1.24319892,  1.48729879,
       -0.35673833])]"
40757,movel_fit,"[array([1592.5599837 , -446.6544001 ,  766.24228158])]","[array([-0.67180044,  0.53416499,  0.36211387,  1.20787812,  1.46866646,
       -0.37710597])]"
41161,movel_fit,"[array([1600.92407035, -446.42039126,  766.05085092])]","[array([-0.66118928,  0.52720201,  0.33737139,  1.17227944,  1.45102601,
       -0.39733015])]"
