primitives,points,q_bp
moveabsj_fit,"[array([ 121.52069893, -454.9488095 , 1281.25002344])]","[array([-0.51327106, -0.8639536 ,  0.73585657,  2.50920241, -1.98916356,
       -2.8105548 ])]"
movel_fit,"[array([ 158.22093841, -542.09455558, 1222.59919753])]","[array([-0.58798094, -0.79709315,  0.77173944,  2.50189858, -1.8661207 ,
       -2.79568289])]"
movec_fit,"[array([ 174.28821962, -578.69105606, 1197.25446426]), array([ 190.53996776, -614.89140706, 1171.52674192])]","[array([-0.60507651, -0.76470678,  0.78891208,  2.49041216, -1.81694388,
       -2.79375245]), array([-0.61735237, -0.7299403 ,  0.80594009,  2.47537749, -1.76952814,
       -2.78799707])]"
movel_fit,"[array([ 197.08870928, -626.5542067 , 1162.2560706 ])]","[array([-0.60575806, -0.71886321,  0.81921041,  2.45754822, -1.75672444,
       -2.80123952])]"
movec_fit,"[array([ 209.30955455, -651.69816711, 1142.94211807]), array([ 221.67351709, -676.57708612, 1123.39788148])]","[array([-0.59942807, -0.69276516,  0.83852788,  2.43312474, -1.72655643,
       -2.81084937]), array([-0.59210279, -0.66567817,  0.85827023,  2.40646342, -1.69678313,
       -2.81870884])]"
movec_fit,"[array([ 231.60751687, -694.69943873, 1108.06031318]), array([ 241.30919495, -712.73592804, 1092.60143547])]","[array([-0.57762288, -0.64380982,  0.87892117,  2.37708876, -1.67723226,
       -2.83410242]), array([-0.56500952, -0.62169397,  0.89924752,  2.34805286, -1.65713444,
       -2.84899478])]"
movel_fit,"[array([ 248.26381631, -726.76384393, 1080.79076655])]","[array([-0.55936644, -0.60288741,  0.91249078,  2.32847271, -1.64153646,
       -2.85721088])]"
movel_fit,"[array([ 259.36823294, -747.22303913, 1062.58567259])]","[array([-0.54829874, -0.57418278,  0.93444521,  2.29581482, -1.6186381 ,
       -2.87250334])]"
movel_fit,"[array([ 268.47674716, -765.3183071 , 1046.79597155])]","[array([-0.54337375, -0.54710933,  0.9503279 ,  2.27062778, -1.59830746,
       -2.88326646])]"
movel_fit,"[array([ 275.91172241, -780.07336314, 1033.9545171 ])]","[array([-0.5412875 , -0.52442251,  0.9615264 ,  2.25162005, -1.58136162,
       -2.89106749])]"
movel_fit,"[array([ 281.84600707, -792.35365838, 1023.59498667])]","[array([-0.54191297, -0.50518035,  0.96845956,  2.23820066, -1.56713415,
       -2.89592628])]"
movel_fit,"[array([ 286.96809689, -803.17910618, 1014.71712453])]","[array([-0.54387795, -0.48826809,  0.97295719,  2.22792954, -1.55441601,
       -2.89921179])]"
movel_fit,"[array([ 291.53740519, -813.09629283, 1006.86664889])]","[array([-0.54706795, -0.47287653,  0.97540035,  2.22023286, -1.54267233,
       -2.90109617])]"
