breakpoints,primitives,points,q_bp
17500,movel_fit,"[array([1358.21561163,   28.06183061,  517.64934707])]","[array([ 0.24843379, -0.08614193,  0.95265486,  2.0721106 , -0.49905854,
       -2.36267771])]"
18000,movel_fit,"[array([1368.46415703,   28.73671293,  517.27206033])]","[array([ 0.24987761, -0.07308855,  0.94272108,  2.06542954, -0.5029013 ,
       -2.36727154])]"
18500,movel_fit,"[array([1378.72195994,   29.2834728 ,  516.95982501])]","[array([ 0.25061188, -0.06073059,  0.93291568,  2.05990392, -0.5058245 ,
       -2.37097651])]"
19000,movel_fit,"[array([1388.98920762,   29.68643892,  516.72593843])]","[array([ 0.25057514, -0.04913738,  0.92326847,  2.05557224, -0.50767282,
       -2.37374163])]"
19500,movel_fit,"[array([1399.25922145,   29.92982431,  516.58312615])]","[array([ 0.24970703, -0.03837864,  0.91381337,  2.05248917, -0.50829429,
       -2.37550817])]"
20000,movel_fit,"[array([1409.52924983,   29.99853792,  516.5425957 ])]","[array([ 0.24794834, -0.02850977,  0.90457762,  2.05072416, -0.50754382,
       -2.376211  ])]"
20500,movel_fit,"[array([1419.79934883,   29.87818701,  516.61352304])]","[array([ 0.24523937, -0.01957223,  0.89558253,  2.05036838, -0.50528237,
       -2.37577423])]"
21000,movel_fit,"[array([1430.06858332,   29.55527132,  516.80242064])]","[array([ 0.24152008, -0.01159511,  0.88684617,  2.05154149, -0.50137871,
       -2.37410766])]"
21500,movel_fit,"[array([1440.32719997,   29.01809327,  517.11210889])]","[array([ 0.23673509, -0.00459648,  0.87838846,  2.0543945 , -0.49571917,
       -2.37110711])]"
22000,movel_fit,"[array([1450.56715373,   28.25718732,  517.54105674])]","[array([ 2.30833506e-01,  1.43035416e-03,  8.70219986e-01,  2.05911489e+00,
       -4.88213752e-01, -2.36665247e+00])]"
22500,movel_fit,"[array([1460.78216576,   27.26553909,  518.08297616])]","[array([ 0.22377106,  0.00652058,  0.86233974,  2.06593561, -0.47880548,
       -2.36060434])]"
23000,movel_fit,"[array([1470.96536456,   26.03907067,  518.72644487])]","[array([ 0.21551612,  0.01074142,  0.85473369,  2.07514313, -0.46748728,
       -2.3528029 ])]"
23500,movel_fit,"[array([1481.11226851,   24.57658292,  519.45503516])]","[array([ 0.20605417,  0.01419903,  0.84736779,  2.08709038, -0.45432018,
       -2.34306452])]"
24000,movel_fit,"[array([1491.2172437 ,   22.88040024,  520.2473158 ])]","[array([ 0.19540023,  0.01704275,  0.84018389,  2.10220497, -0.43946636,
       -2.33118474])]"
24500,movel_fit,"[array([1501.27898265,   20.95563086,  521.07777102])]","[array([ 0.18360521,  0.01947233,  0.83308633,  2.12100956, -0.42321916,
       -2.31693512])]"
25000,movel_fit,"[array([1511.29538755,   18.81100391,  521.91718634])]","[array([ 0.17077494,  0.0217408 ,  0.82593223,  2.1441275 , -0.40605702,
       -2.30007635])]"
25500,movel_fit,"[array([1521.26576853,   16.45855123,  522.7338198 ])]","[array([ 0.15708142,  0.02415772,  0.81851154,  2.1722944 , -0.38869401,
       -2.28037327])]"
26000,movel_fit,"[array([1531.1939125 ,   13.91272295,  523.4948439 ])]","[array([ 0.14276638,  0.0270893 ,  0.81052089,  2.20636942, -0.37212734,
       -2.25762102])]"
26500,movel_fit,"[array([1541.08170638,   11.19182786,  524.16715541])]","[array([ 0.1281436 ,  0.03095203,  0.80154063,  2.24729783, -0.35768386,
       -2.23171916])]"
27000,movel_fit,"[array([1550.93463061,    8.31660113,  524.71923372])]","[array([ 0.11355746,  0.03620342,  0.79100707,  2.29606939, -0.34699707,
       -2.20276512])]"
27500,movel_fit,"[array([1560.75501475,    5.31205742,  525.12226423])]","[array([ 0.09931748,  0.04331746,  0.77822089,  2.35355402, -0.34189939,
       -2.17123194])]"
28000,movel_fit,"[array([1570.54939848,    2.20530629,  525.35213213])]","[array([ 0.08557122,  0.05274746,  0.76240491,  2.42028704, -0.34414014,
       -2.13813723])]"
28500,movel_fit,"[array([ 1.58032244e+03, -9.72694363e-01,  5.25390688e+02])]","[array([ 0.07219565,  0.06484736,  0.74288635,  2.49604826, -0.35494383,
       -2.10518002])]"
29000,movel_fit,"[array([1590.08170327,   -4.18870734,  525.22731034])]","[array([ 0.05876725,  0.07976554,  0.71937265,  2.57945604, -0.37451275,
       -2.07458136])]"
29500,movel_fit,"[array([1599.83135412,   -7.40526835,  524.86025591])]","[array([ 0.04473722,  0.09733011,  0.69223327,  2.66770769, -0.40175219,
       -2.04856907])]"
30000,movel_fit,"[array([1609.58488479,  -10.58495222,  524.29723215])]","[array([ 0.02972452,  0.11705252,  0.6624971 ,  2.75704149, -0.43453086,
       -2.02862638])]"
30500,movel_fit,"[array([1619.35533247,  -13.68711083,  523.55613186])]","[array([ 0.01376855,  0.13821747,  0.63158917,  2.84350583, -0.47027883,
       -2.01511755])]"
