breakpoints,primitives,points
0,movej_fit,"[array([-0.58339167, -0.02791029,  0.40042942, -2.79519577, -1.62035229,
        0.96316068])]"
5017,movel_fit,"[array([1086.82617045, -403.69145334,  994.06439219])]"
10171,movel_fit,"[array([1076.84121845, -298.19406311,  994.0105115 ])]"
16240,movel_fit,"[array([1060.43172988, -174.56931156,  990.60089825])]"
19209,movel_fit,"[array([1055.77662071, -113.74866008,  988.24358803])]"
21702,movel_fit,"[array([1056.38448888,  -62.5069842 ,  988.78724791])]"
24140,movel_fit,"[array([1062.75034096,  -12.80545769,  990.91293057])]"
26731,movel_fit,"[array([1075.3599023 ,   38.90588051,  993.31301381])]"
29318,movel_fit,"[array([1091.40716803,   89.60429874,  991.59216747])]"
31863,movel_fit,"[array([1105.79951283,  139.45435715,  984.81044514])]"
33719,movel_fit,"[array([1111.97552592,  176.79406525,  979.73325881])]"
35267,movel_fit,"[array([1112.89943363,  208.6224583 ,  978.79359932])]"
36812,movel_fit,"[array([1108.91321788,  240.05331501,  981.53437408])]"
38641,movel_fit,"[array([1098.50974233,  275.70603047,  987.64699687])]"
40548,movel_fit,"[array([1082.79587912,  311.34623056,  992.32951317])]"
42541,movel_fit,"[array([1065.29140366,  348.42044175,  991.62907952])]"
44078,movel_fit,"[array([1054.87801223,  378.09288937,  988.26949892])]"
45328,movel_fit,"[array([1051.21814949,  403.54642208,  986.88465746])]"
46512,movel_fit,"[array([1053.30534234,  427.83134024,  987.69662411])]"
47928,movel_fit,"[array([1062.11657006,  455.4893377 ,  990.55653626])]"
49563,movel_fit,"[array([1077.42487815,  485.40383062,  992.18744423])]"
50000,movel_fit,"[array([1081.92003421,  493.17254577,  991.05191064])]"
