breakpoints,primitives,points,q_bp
0,movej_fit,"[array([413.49140291, 506.82332718, 968.91080438])]","[array([ 1.66901873e-02, -4.84940938e-02,  5.33993138e-02,  1.58524653e-03,
       -1.72005233e+00, -1.57928563e+00])]"
1666,movel_fit,"[array([406.17069725, 513.7272716 , 967.10569869])]","[array([ 0.03186758, -0.0495223 ,  0.04932292, -0.00698484, -1.72188325,
       -1.58268391])]"
3333,movel_fit,"[array([396.42226447, 520.4784882 , 967.78015556])]","[array([ 0.04738037, -0.05308847,  0.04265398, -0.01499212, -1.72764593,
       -1.5858855 ])]"
5000,movel_fit,"[array([384.28184225, 526.93730363, 970.89473927])]","[array([ 0.06312808, -0.059197  ,  0.03338172, -0.02250125, -1.73725283,
       -1.58888349])]"
6666,movel_fit,"[array([369.87212391, 532.95135355, 976.31916311])]","[array([ 0.07896537, -0.06777468,  0.02154851, -0.0295903 , -1.75048783,
       -1.59174185])]"
8333,movel_fit,"[array([353.43437559, 538.3784348 , 983.77975748])]","[array([ 0.09472075, -0.07861548,  0.00730501, -0.03638019, -1.76694281,
       -1.59457028])]"
10000,movel_fit,"[array([335.42555737, 543.10221691, 992.76513583])]","[array([ 0.11017553, -0.09126627, -0.00894629, -0.04303308, -1.785874  ,
       -1.59745595])]"
11666,movel_fit,"[array([ 316.50180091,  547.09036883, 1002.49747833])]","[array([ 0.12516234, -0.10498801, -0.02647852, -0.04975415, -1.80617718,
       -1.60038441])]"
13333,movel_fit,"[array([ 297.4329028 ,  550.43387448, 1011.99809465])]","[array([ 0.13967372, -0.11880898, -0.04424623, -0.05673991, -1.82648194,
       -1.60317693])]"
15000,movel_fit,"[array([ 279.09603127,  553.33584985, 1020.16850758])]","[array([ 0.15385554, -0.13156988, -0.06087183, -0.06406644, -1.84520556,
       -1.60548194])]"
16666,movel_fit,"[array([ 262.37310271,  556.09448979, 1025.93830228])]","[array([ 0.16801784, -0.14206639, -0.07479234, -0.07165753, -1.86073137,
       -1.60686114])]"
18333,movel_fit,"[array([ 248.10130291,  559.07502675, 1028.31126622])]","[array([ 0.18258566, -0.14911362, -0.08436251, -0.07933441, -1.87147317,
       -1.60687676])]"
20000,movel_fit,"[array([ 237.11903233,  562.6849093 , 1026.25539436])]","[array([ 0.19797943, -0.15147453, -0.08778841, -0.0868792 , -1.87572958,
       -1.60509037])]"
21666,movel_fit,"[array([ 230.11291404,  567.37570203, 1018.53582877])]","[array([ 0.21463977, -0.14784807, -0.08308372, -0.09418549, -1.87157051,
       -1.60095118])]"
23333,movel_fit,"[array([ 227.36956225,  573.61113718, 1003.47950775])]","[array([ 0.23304687, -0.1368786 , -0.06802769, -0.10152702, -1.85670795,
       -1.59361557])]"
25000,movel_fit,"[array([228.55632369, 581.69203892, 978.96583046])]","[array([ 0.25341644, -0.11734064, -0.04057362, -0.11012558, -1.82871988,
       -1.58208931])]"
26666,movel_fit,"[array([232.99232803, 591.4073516 , 943.21630255])]","[array([ 2.74814069e-01, -8.86727834e-02, -2.67998011e-04, -1.22841276e-01,
       -1.78607593e+00, -1.56658903e+00])]"
28333,movel_fit,"[array([240.88387748, 601.75577496, 897.45612513])]","[array([ 0.29401947, -0.05230835,  0.04904983, -0.14262198, -1.7305759 ,
       -1.5516919 ])]"
30000,movel_fit,"[array([253.20074456, 611.46283185, 848.94982446])]","[array([ 0.30724491, -0.01325394,  0.09785613, -0.16650963, -1.67031442,
       -1.54597007])]"
31666,movel_fit,"[array([266.75981031, 619.91095653, 807.28588441])]","[array([ 0.31594249,  0.02125933,  0.13659237, -0.18636215, -1.61757462,
       -1.55136445])]"
33333,movel_fit,"[array([271.17916877, 627.0834496 , 777.33081448])]","[array([ 0.32810736,  0.0442891 ,  0.16240763, -0.20143274, -1.58320261,
       -1.55851272])]"
35000,movel_fit,"[array([252.00267849, 632.41037454, 759.08314731])]","[array([ 0.35420713,  0.04914531,  0.17816991, -0.22072666, -1.57586579,
       -1.55414063])]"
36666,movel_fit,"[array([197.72141494, 631.85025282, 752.2577981 ])]","[array([ 0.40209594,  0.03001583,  0.18676525, -0.25025759, -1.60337654,
       -1.52691015])]"
38333,movel_fit,"[array([113.89734872, 618.19384627, 760.08019593])]","[array([ 0.46913864, -0.01317486,  0.18455132, -0.27622279, -1.66958289,
       -1.4766841 ])]"
40000,movel_fit,"[array([ 32.52130446, 595.06324064, 786.54241291])]","[array([ 0.53605567, -0.0697629 ,  0.16061918, -0.27142182, -1.76674701,
       -1.43165172])]"
41666,movel_fit,"[array([-15.30823135, 580.6585749 , 825.64384688])]","[array([ 0.57932234, -0.12226831,  0.11291071, -0.24389002, -1.86774164,
       -1.42919293])]"
43333,movel_fit,"[array([-42.76599246, 572.90584707, 858.1984642 ])]","[array([ 0.60542433, -0.16167702,  0.06692511, -0.22712272, -1.94384991,
       -1.44559812])]"
45000,movel_fit,"[array([-74.7947551 , 560.0288537 , 868.49927917])]","[array([ 0.63815075, -0.18878786,  0.05367924, -0.22158079, -1.98165574,
       -1.43966282])]"
46666,movel_fit,"[array([-124.33422662,  531.91799169,  849.53968089])]","[array([ 0.69315441, -0.20722234,  0.09336326, -0.22015465, -1.97240377,
       -1.388681  ])]"
48333,movel_fit,"[array([-206.10356391,  455.80321104,  800.83478036])]","[array([ 0.78435371, -0.23034142,  0.19873843, -0.23469781, -1.90755386,
       -1.25453367])]"
50000,movel_fit,"[array([-276.83519536,  334.85204444,  759.6093335 ])]","[array([ 0.87678145, -0.25644056,  0.31974052, -0.30377107, -1.7806804 ,
       -1.06778824])]"
