breakpoints,primitives,p_bp,q_bp
14678,movel_fit,"[array([ 933.89030781, -367.28895205, 1037.35843468])]","[array([-0.60169228,  1.61904835,  2.15952592,  2.61171826, -1.90673659,
       -1.88242964])]"
15082,movel_fit,"[array([ 937.02495556, -365.77702201, 1044.89889753])]","[array([-0.61080459,  1.58990828,  2.14262352,  2.66346976, -1.92850168,
       -1.8810788 ])]"
15485,movel_fit,"[array([ 940.09186511, -364.04047378, 1052.39693051])]","[array([-0.61925219,  1.56071192,  2.12702935,  2.71642859, -1.95165889,
       -1.87781839])]"
15889,movel_fit,"[array([ 943.14136703, -362.06614699, 1059.86393856])]","[array([-0.6267702 ,  1.5316946 ,  2.11267611,  2.76998625, -1.97573471,
       -1.87270548])]"
16296,movel_fit,"[array([ 946.2274139 , -359.84729782, 1067.3158471 ])]","[array([-0.63314043,  1.503067  ,  2.09938249,  2.82354761, -2.00018703,
       -1.86588936])]"
16703,movel_fit,"[array([ 949.36921553, -357.41473679, 1074.67963798])]","[array([-0.6381467 ,  1.47534856,  2.08701464,  2.87589772, -2.02414068,
       -1.85768638])]"
17110,movel_fit,"[array([ 952.60913529, -354.80063086, 1081.93700129])]","[array([-0.6417277 ,  1.4487888 ,  2.07525192,  2.92629963, -2.04690371,
       -1.84841608])]"
17514,movel_fit,"[array([ 955.96861831, -352.06718238, 1089.02364785])]","[array([-0.64389867,  1.42373387,  2.06380504,  2.97380977, -2.06772479,
       -1.83845494])]"
17899,movel_fit,"[array([ 959.34871185, -349.38277535, 1095.65676291])]","[array([-0.64476724,  1.40117514,  2.05275691,  3.0162747 , -2.08543356,
       -1.82849594])]"
18258,movel_fit,"[array([ 962.69692508, -346.86030371, 1101.73055797])]","[array([-0.64463807,  1.38132845,  2.04204959,  3.05313715, -2.09974382,
       -1.81894801])]"
18587,movel_fit,"[array([ 965.96430995, -344.5778806 , 1107.19412754])]","[array([-0.64382659,  1.36416739,  2.03167545,  3.08437256, -2.11075803,
       -1.81008057])]"
18893,movel_fit,"[array([ 969.19825422, -342.5200687 , 1112.18137223])]","[array([-0.64256952,  1.34908407,  2.02138897,  3.11110313, -2.11905162,
       -1.80179829])]"
19175,movel_fit,"[array([ 972.36638739, -340.71354357, 1116.68797603])]","[array([-0.64105026,  1.33594654,  2.01124   ,  3.13358501, -2.12489222,
       -1.79419666])]"
19442,movel_fit,"[array([ 975.54285772, -339.11104658, 1120.86699017])]","[array([-0.63935427,  1.32418098,  2.00096318,  3.15287055, -2.12875401,
       -1.78707602])]"
19698,movel_fit,"[array([ 978.76192554, -337.69843168, 1124.78326737])]","[array([-0.63753756,  1.31353103,  1.99042799,  3.16938611, -2.13083816,
       -1.78037564])]"
19945,movel_fit,"[array([ 982.03347679, -336.4710324 , 1128.46722523])]","[array([-0.63564755,  1.30384989,  1.97958786,  3.18337807, -2.13128758,
       -1.77408557])]"
20185,movel_fit,"[array([ 985.37024832, -335.42231527, 1131.94668231])]","[array([-0.63371243,  1.29501487,  1.96838806,  3.19502855, -2.1302016 ,
       -1.76820182])]"
20420,movel_fit,"[array([ 988.78516653, -334.54487647, 1135.24613779])]","[array([-0.63174779,  1.28692236,  1.95677309,  3.20447545, -2.12764916,
       -1.76272741])]"
20654,movel_fit,"[array([ 992.324432  , -333.8249162 , 1138.41494085])]","[array([-0.62974012,  1.27942153,  1.9445697 ,  3.21186536, -2.12362516,
       -1.75763113])]"
