breakpoints,primitives,points
0,movej_fit,"[array([-0.85076263, -0.24055095,  0.58283883,  0.38149572,  1.20809087,
       -2.88127054])]"
1037,movel_fit,"[array([1017.64075268, -807.57780161,  959.48652176])]"
2065,movel_fit,"[array([1014.38404246, -773.42118364,  948.2062451 ])]"
3094,movel_fit,"[array([1012.4620061 , -738.57273021,  938.79784732])]"
4132,movel_fit,"[array([1011.8654217 , -702.90141676,  931.24437936])]"
5191,movel_fit,"[array([1012.59627192, -666.14868923,  925.52837567])]"
6282,movel_fit,"[array([1014.68145415, -628.07425477,  921.67852312])]"
7417,movel_fit,"[array([1018.16469468, -588.40406281,  919.75109724])]"
8610,movel_fit,"[array([1023.11249163, -546.79088606,  919.83469951])]"
9877,movel_fit,"[array([1029.61336645, -502.81992382,  922.05629708])]"
11245,movel_fit,"[array([1037.82909902, -455.69779004,  926.61558971])]"
12754,movel_fit,"[array([1048.03127783, -404.19606815,  933.85739028])]"
14463,movel_fit,"[array([1060.63960838, -346.45713182,  944.34634315])]"
16504,movel_fit,"[array([1076.60110514, -278.18966909,  959.29739628])]"
19264,movel_fit,"[array([1098.68993884, -186.64539987,  982.27289653])]"
22021,movel_fit,"[array([1119.94362388,  -95.45245431, 1006.85227968])]"
24271,movel_fit,"[array([1135.44107724,  -20.50524096, 1026.46348705])]"
26073,movel_fit,"[array([1146.06518369,   40.11837172, 1041.15560419])]"
27626,movel_fit,"[array([1153.48424146,   92.92383751, 1052.55345072])]"
29014,movel_fit,"[array([1158.40019529,  140.60168276, 1061.35333758])]"
30281,movel_fit,"[array([1161.19091858,  184.51074253, 1067.90780574])]"
31458,movel_fit,"[array([1162.09844876,  225.57440045, 1072.4561033 ])]"
32567,movel_fit,"[array([1161.27544741,  264.4098117 , 1075.14618465])]"
33623,movel_fit,"[array([1158.82566466,  301.3904073 , 1076.07435524])]"
34640,movel_fit,"[array([1154.81941358,  336.85620449, 1075.30976707])]"
35633,movel_fit,"[array([1149.27829565,  371.18158048, 1072.88274952])]"
36611,movel_fit,"[array([1142.2148916 ,  404.52780945, 1068.79826204])]"
37585,movel_fit,"[array([1133.60903846,  437.11820818, 1063.03645905])]"
38563,movel_fit,"[array([1123.43767994,  469.06160873, 1055.56598557])]"
39555,movel_fit,"[array([1111.64362299,  500.51952081, 1046.32744037])]"
40572,movel_fit,"[array([1098.12971577,  531.66387857, 1035.22206967])]"
41620,movel_fit,"[array([1082.84826726,  562.50069637, 1022.18642552])]"
42713,movel_fit,"[array([1065.62458625,  593.26973574, 1007.04497307])]"
43859,movel_fit,"[array([1046.34267392,  624.01166213,  989.66269534])]"
45063,movel_fit,"[array([1024.93654171,  654.67996844,  969.95103161])]"
46342,movel_fit,"[array([1001.12458269,  685.515105  ,  947.62022384])]"
47702,movel_fit,"[array([974.81025965, 716.46103584, 922.54202913])]"
49156,movel_fit,"[array([945.74654588, 747.62104328, 894.44792557])]"
50000,movel_fit,"[array([928.44328771, 764.6897476 , 877.52630273])]"
