primitives,points,q_bp
moveabsj,"[array([1689.152039  , -790.92749817, 1268.85522799])]","[array([-0.80579047,  0.22074609,  0.48876237,  1.70537874,  1.46753399,
        2.30387326])]"
moveabsj,"[array([1731.03142678, -508.52292245, 1287.94549054])]","[array([-0.66526817,  0.1603319 ,  0.55855214,  1.7285151 ,  1.4786109 ,
        2.28938479])]"
moveabsj,"[array([1732.04068301, -481.39832833, 1293.85615129])]","[array([-0.65186593,  0.15348199,  0.56483554,  1.73284705,  1.48208055,
        2.2853935 ])]"
moveabsj,"[array([1732.09463288, -454.7449703 , 1303.89649237])]","[array([-0.63876699,  0.14580971,  0.57048968,  1.73927688,  1.48788967,
        2.27887834])]"
moveabsj,"[array([1731.25202002, -428.46560048, 1317.7782057 ])]","[array([-0.62584672,  0.13728954,  0.57558459,  1.74774229,  1.49567826,
        2.270135  ])]"
moveabsj,"[array([1729.7764609 , -402.29313792, 1334.96854757])]","[array([-0.61282989,  0.128298  ,  0.58001265,  1.75814327,  1.50527386,
        2.25928266])]"
moveabsj,"[array([1727.86758359, -376.00004681, 1354.58939793])]","[array([-0.59949033,  0.11919847,  0.58378352,  1.77015988,  1.51628522,
        2.24671521])]"
moveabsj,"[array([1725.72751301, -349.35242314, 1375.31318143])]","[array([-0.58563579,  0.11038651,  0.58699508,  1.78312938,  1.52807389,
        2.23315837])]"
moveabsj,"[array([1723.44334161, -322.17577656, 1395.51236939])]","[array([-0.57119618,  0.10219824,  0.58994768,  1.79616879,  1.53994202,
        2.21946674])]"
moveabsj,"[array([1720.96511263, -294.53922224, 1413.43394652])]","[array([-0.55635465,  0.09471173,  0.59305373,  1.80802462,  1.5509312 ,
        2.20696662])]"
moveabsj,"[array([1718.06391225, -266.71935734, 1427.37784612])]","[array([-0.54148674,  0.08793824,  0.59700815,  1.81767533,  1.56039495,
        2.19652237])]"
moveabsj,"[array([1714.33456348, -239.13669382, 1435.81977187])]","[array([-0.52713746,  0.0815286 ,  0.60265035,  1.82401824,  1.56753308,
        2.18920764])]"
moveabsj,"[array([1709.3278641 , -212.34238669, 1437.42470542])]","[array([-0.51394048,  0.07510763,  0.6107746 ,  1.82602332,  1.57167703,
        2.18603259])]"
moveabsj,"[array([1702.67788222, -186.84656864, 1431.08602577])]","[array([-0.50251619,  0.06777592,  0.62191733,  1.82222982,  1.57121963,
        2.18933766])]"
moveabsj,"[array([1694.20430236, -163.02798663, 1414.59212394])]","[array([-0.49325744,  0.05995383,  0.63677998,  1.81157855,  1.56560255,
        2.19980209])]"
moveabsj,"[array([1684.40235238, -140.57902804, 1385.51669235])]","[array([-0.48584333,  0.05230556,  0.65540174,  1.79283733,  1.55308372,
        2.21918197])]"
moveabsj,"[array([1674.73171131, -118.04957601, 1342.85694524])]","[array([-0.47865263,  0.04617665,  0.67617584,  1.76557158,  1.53176558,
        2.24937142])]"
moveabsj,"[array([1667.24457683,  -93.07659483, 1289.40786384])]","[array([-0.46875805,  0.0436425 ,  0.69609131,  1.73261436,  1.50212832,
        2.28861526])]"
moveabsj,"[array([1663.06602104,  -64.46763863, 1234.96524646])]","[array([-0.45415362,  0.04488478,  0.71175322,  1.70056659,  1.46888733,
        2.33046919])]"
moveabsj,"[array([1660.27274255,  -33.914648  , 1191.4852728 ])]","[array([-0.43652835,  0.04709218,  0.72276235,  1.67599105,  1.44071043,
        2.36538256])]"
moveabsj,"[array([1654.99988784,   -4.40802036, 1165.07143056])]","[array([-0.4197606 ,  0.04579221,  0.73181482,  1.66033074,  1.42345848,
        2.38821305])]"
moveabsj,"[array([1644.16258692,   21.34239375, 1157.46699809])]","[array([-0.40713809,  0.03751403,  0.74171941,  1.6528128 ,  1.41969572,
        2.3975802 ])]"
moveabsj,"[array([1626.76862897,   41.03698282, 1169.25298751])]","[array([-0.40079863,  0.02355206,  0.75522383,  1.65785076,  1.43491253,
        2.38413647])]"
moveabsj,"[array([1604.63337724,   54.56024956, 1205.5032596 ])]","[array([-3.99767071e-01,  1.87056893e-03,  7.68873915e-01,  1.67581661e+00,
        1.46733234e+00,  2.35190466e+00])]"
moveabsj,"[array([1583.2773141 ,   65.62069706, 1266.88311277])]","[array([-0.39835701, -0.02240709,  0.77805077,  1.71210574,  1.51452998,
        2.29937109])]"
moveabsj,"[array([1569.21242183,   80.5479747 , 1339.13328874])]","[array([-0.38873404, -0.04180844,  0.77820873,  1.76076145,  1.56185835,
        2.24125266])]"
moveabsj,"[array([1561.542438  ,  101.34163261, 1394.70669854])]","[array([-0.37189578, -0.05321003,  0.77412424,  1.80155169,  1.59383565,
        2.19860041])]"
moveabsj,"[array([1551.52185486,  124.48651787, 1419.35566875])]","[array([-0.35595667, -0.06138047,  0.7774484 ,  1.82186931,  1.61097231,
        2.17678479])]"
moveabsj,"[array([1533.26183186,  144.5284028 , 1408.69651977])]","[array([-0.34863105, -0.07393339,  0.79402358,  1.81249166,  1.61113166,
        2.1841915 ])]"
moveabsj,"[array([1509.86007835,  160.58223488, 1359.0597765 ])]","[array([-0.34944314, -0.08707941,  0.82274255,  1.77383816,  1.59209614,
        2.22105431])]"
moveabsj,"[array([1466.00250636,  200.24704491, 1185.16850051])]","[array([-0.34240537, -0.09954419,  0.88436697,  1.65105003,  1.495051  ,
        2.3634593 ])]"
