primitives,p_bp,q_bp
moveabsj,"[array([1534.92328584,  333.75910166, 1482.01360953])]","[array([ 0.54967019, -0.15340977,  0.92186114, -2.30170851,  1.37346333,
        0.00238426])]"
moveabsj,"[array([1837.6488551 ,  481.51242659, 1349.93586488])]","[array([ 0.50378858,  0.12867345,  0.70917507, -2.387597  ,  1.2430994 ,
       -0.00810591])]"
moveabsj,"[array([1858.76449071,  494.96292528, 1339.3461827 ])]","[array([ 0.50163301,  0.14853599,  0.69295459, -2.3966434 ,  1.23372812,
       -0.01015939])]"
moveabsj,"[array([1879.07941088,  511.7705556 , 1331.20791542])]","[array([ 0.50062203,  0.16771565,  0.67617065, -2.40809332,  1.22495031,
       -0.01341627])]"
moveabsj,"[array([1898.76796559,  531.47338484, 1325.52240847])]","[array([ 0.50042435,  0.1860343 ,  0.65879541, -2.42186895,  1.21619826,
       -0.01804245])]"
moveabsj,"[array([1917.95303718,  553.59121212, 1322.01962109])]","[array([ 0.50077287,  0.20365457,  0.64083798, -2.43785963,  1.20747563,
       -0.02397541])]"
moveabsj,"[array([1936.8293905 ,  577.19458861, 1320.18027021])]","[array([ 0.50122292,  0.22081763,  0.62240291, -2.45590467,  1.19887803,
       -0.03087901])]"
moveabsj,"[array([1955.49412312,  601.40528362, 1319.39998764])]","[array([ 0.50154397,  0.23757846,  0.6035821 , -2.47520867,  1.1901346 ,
       -0.03855116])]"
moveabsj,"[array([1973.92648641,  625.11457684, 1318.69483694])]","[array([ 0.50146108,  0.25414725,  0.58479334, -2.49513233,  1.18150368,
       -0.04630847])]"
moveabsj,"[array([1991.89136689,  647.63126839, 1317.11731151])]","[array([ 0.50113505,  0.2704819 ,  0.56641063, -2.51423245,  1.17283745,
       -0.05368558])]"
moveabsj,"[array([2008.8593816 ,  668.6009334 , 1313.54515876])]","[array([ 0.50103652,  0.28652825,  0.5490062 , -2.53077713,  1.16421254,
       -0.06013155])]"
moveabsj,"[array([2024.38736906,  687.8258006 , 1306.76315207])]","[array([ 0.50138551,  0.30235357,  0.53336597, -2.5442084 ,  1.15589997,
       -0.06480485])]"
moveabsj,"[array([2038.02802227,  705.06605173, 1295.50839896])]","[array([ 0.50261784,  0.31792111,  0.52007524, -2.55291861,  1.14772263,
       -0.06713504])]"
moveabsj,"[array([2049.4054115 ,  719.64030982, 1278.17324972])]","[array([ 0.50492086,  0.33331879,  0.50988777, -2.555485  ,  1.13961476,
       -0.06637463])]"
moveabsj,"[array([2058.57665783,  730.070013  , 1253.08559217])]","[array([ 0.50792525,  0.34871554,  0.50342514, -2.55088714,  1.13116995,
       -0.06170418])]"
moveabsj,"[array([2066.33596489,  734.08795001, 1218.70302821])]","[array([ 0.51079289,  0.36498147,  0.5004904 , -2.53806238,  1.12235523,
       -0.05229573])]"
moveabsj,"[array([2074.84023562,  729.91774369, 1174.93957561])]","[array([ 0.51232334,  0.38300186,  0.49887586, -2.51605729,  1.11081411,
       -0.03856362])]"
moveabsj,"[array([2087.11124296,  719.62362748, 1125.70860005])]","[array([ 0.51146948,  0.40326102,  0.49414928, -2.48783718,  1.09296693,
       -0.0229197 ])]"
moveabsj,"[array([2104.45540832,  710.30932341, 1079.31719016])]","[array([ 0.508581  ,  0.42460835,  0.48264145, -2.46114668,  1.06752136,
       -0.00903111])]"
moveabsj,"[array([2123.64187122,  709.44292148, 1042.60346102])]","[array([ 5.05790406e-01,  4.45204534e-01,  4.66304061e-01, -2.44491515e+00,
        1.04085509e+00,  1.88684127e-03])]"
moveabsj,"[array([2139.65721727,  720.02919504, 1017.1471519 ])]","[array([ 0.50581318,  0.46314508,  0.44974889, -2.44043401,  1.01938401,
        0.00922492])]"
moveabsj,"[array([2148.07871401,  742.21394536, 1002.30680957])]","[array([ 0.51137851,  0.47551579,  0.4360234 , -2.43963202,  1.00284883,
        0.0090955 ])]"
moveabsj,"[array([2146.98350504,  773.93822312,  995.78422994])]","[array([ 0.52102404,  0.48496602,  0.42997747, -2.45273745,  1.00243938,
        0.006581  ])]"
moveabsj,"[array([2137.04474339,  816.73830266, 1003.48297586])]","[array([ 0.5361944 ,  0.48740206,  0.42734997, -2.4700347 ,  1.00893012,
       -0.0048964 ])]"
moveabsj,"[array([2122.92295414,  871.63605059, 1029.71301685])]","[array([ 0.5532828 ,  0.48612023,  0.42438715, -2.50558246,  1.02564273,
       -0.02069202])]"
moveabsj,"[array([2112.93206929,  932.86071952, 1071.96459498])]","[array([ 0.56735745,  0.48439836,  0.41318814, -2.55692936,  1.04219024,
       -0.03968603])]"
moveabsj,"[array([2108.5298143 ,  985.88792051, 1111.723805  ])]","[array([ 0.57767805,  0.4844408 ,  0.3956128 , -2.599752  ,  1.04908549,
       -0.05774117])]"
moveabsj,"[array([2105.9399497 , 1023.68991415, 1127.65518343])]","[array([ 0.58614172,  0.48912349,  0.38192163, -2.62287272,  1.04901122,
       -0.06735898])]"
moveabsj,"[array([2102.40779227, 1043.95355043, 1105.74838932])]","[array([ 0.59439861,  0.49893881,  0.37966432, -2.62040199,  1.04114821,
       -0.06557013])]"
moveabsj,"[array([2101.53716673, 1041.43772507, 1045.4818412 ])]","[array([ 0.59904456,  0.51596875,  0.3874447 , -2.5957299 ,  1.02676847,
       -0.050464  ])]"
moveabsj,"[array([2114.91646615, 1000.67156876,  886.34701376])]","[array([ 0.59891837,  0.55823392,  0.39103955, -2.49511345,  0.95367885,
       -0.0159883 ])]"
