breakpoints,primitives,points,q_bp
0,movej_fit,"[array([413.49140291, 506.82332718, 968.91080438])]","[array([ 1.66901873e-02, -4.84940938e-02,  5.33993138e-02,  1.58524653e-03,
       -1.72005233e+00, -1.57928563e+00])]"
5000,movel_fit,"[array([388.2509164 , 517.10009388, 974.79580614])]","[array([ 0.04034154, -0.06501011,  0.0382295 , -0.01321097, -1.73260993,
       -1.57767134])]"
10000,movel_fit,"[array([ 342.3262209 ,  525.35638775, 1001.24873387])]","[array([ 6.60623312e-02, -1.04572879e-01,  1.13872749e-03, -2.14120192e-02,
       -1.76589162e+00, -1.57452304e+00])]"
15000,movel_fit,"[array([ 288.14796672,  529.97022443, 1033.30532093])]","[array([ 0.08989396, -0.15258687, -0.04548371, -0.02682907, -1.80624423,
       -1.57198303])]"
20000,movel_fit,"[array([ 254.23480375,  533.88837571, 1043.5615365 ])]","[array([ 0.11029393, -0.17742662, -0.07017655, -0.03847839, -1.82648674,
       -1.56713245])]"
25000,movel_fit,"[array([ 276.79816689,  543.05964552, 1000.70449044])]","[array([ 0.12576799, -0.13928928, -0.03107852, -0.06646894, -1.79323182,
       -1.55631358])]"
30000,movel_fit,"[array([369.60873823, 554.30808902, 884.28666878])]","[array([ 0.12037317, -0.01640821,  0.08257586, -0.11251439, -1.68917355,
       -1.56295013])]"
35000,movel_fit,"[array([424.73603508, 559.0625865 , 814.58170556])]","[array([ 0.11566441,  0.06007836,  0.14058454, -0.12685705, -1.62496191,
       -1.59094353])]"
40000,movel_fit,"[array([311.67196098, 573.82444606, 889.30231408])]","[array([ 0.18613535, -0.04570568,  0.06608234, -0.14011238, -1.71665813,
       -1.55646309])]"
45000,movel_fit,"[array([193.42557424, 565.67555801, 991.47175347])]","[array([ 0.23334225, -0.17508146, -0.05761934, -0.12587016, -1.82725992,
       -1.55217249])]"
50000,movel_fit,"[array([261.88107388, 583.11560454, 882.53028883])]","[array([ 0.23607507, -0.06531599,  0.05906176, -0.17131673, -1.73332969,
       -1.53578909])]"
