timestamp,cmd_num,J1,J2,J3,J4,J5,J6,J1_2,J2_2,J3_2,J4_2,J5_2,J6_2
1.107000000774860382e-02,-1.000000000000000000e+00,5.492905616760253906e+00,1.202490615844726562e+01,3.508050918579101562e+01,-1.087819824218750000e+02,9.036631011962890625e+01,-6.516045379638671875e+01,5.363669204711914062e+01,-1.548919105529785156e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
1.245000027120113373e-02,-1.000000000000000000e+00,5.492848396301269531e+00,1.202490615844726562e+01,3.508050918579101562e+01,-1.087819824218750000e+02,9.036620330810546875e+01,-6.516059112548828125e+01,5.363657760620117188e+01,-1.548909854888916016e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
1.382400002330541611e-02,-1.000000000000000000e+00,5.492848396301269531e+00,1.202490615844726562e+01,3.508050918579101562e+01,-1.087819824218750000e+02,9.036620330810546875e+01,-6.516059112548828125e+01,5.363657760620117188e+01,-1.548909854888916016e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
1.634900085628032684e-02,-1.000000000000000000e+00,5.492905616760253906e+00,1.202486038208007812e+01,3.508054733276367188e+01,-1.087819824218750000e+02,9.036620330810546875e+01,-6.516045379638671875e+01,5.363669204711914062e+01,-1.548919105529785156e+01,-1.037323684692382812e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
2.015599980950355530e-02,-1.000000000000000000e+00,5.492762088775634766e+00,1.202490615844726562e+01,3.508050918579101562e+01,-1.087820434570312500e+02,9.036631011962890625e+01,-6.516045379638671875e+01,5.363657760620117188e+01,-1.548919105529785156e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491069030761718750e+01
2.148099988698959351e-02,-1.000000000000000000e+00,5.492762088775634766e+00,1.202490615844726562e+01,3.508050918579101562e+01,-1.087820434570312500e+02,9.036631011962890625e+01,-6.516045379638671875e+01,5.363657760620117188e+01,-1.548919105529785156e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491069030761718750e+01
2.414100058376789093e-02,-1.000000000000000000e+00,5.492905616760253906e+00,1.202486038208007812e+01,3.508046722412109375e+01,-1.087818832397460938e+02,9.036620330810546875e+01,-6.516045379638671875e+01,5.363669204711914062e+01,-1.548919105529785156e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491069030761718750e+01
2.734700031578540802e-02,-1.000000000000000000e+00,5.492905616760253906e+00,1.202486038208007812e+01,3.508046722412109375e+01,-1.087818832397460938e+02,9.036620330810546875e+01,-6.516045379638671875e+01,5.363669204711914062e+01,-1.548919105529785156e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491069030761718750e+01
3.199300169944763184e-02,-1.000000000000000000e+00,5.492762088775634766e+00,1.202490615844726562e+01,3.508042526245117188e+01,-1.087818298339843750e+02,9.036631011962890625e+01,-6.516045379638671875e+01,5.363657760620117188e+01,-1.548919105529785156e+01,-1.037323684692382812e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
3.528700023889541626e-02,-1.000000000000000000e+00,5.492762088775634766e+00,1.202486038208007812e+01,3.508050918579101562e+01,-1.087818832397460938e+02,9.036631011962890625e+01,-6.516045379638671875e+01,5.363669204711914062e+01,-1.548909854888916016e+01,-1.037324752807617188e+02,-1.146968383789062500e+02,6.423976135253906250e+01,-3.491080474853515625e+01
