# timestamp,cmd_num,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,-1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
4.000000189989805222e-03,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
6.000000052154064178e-03,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
9.999999776482582092e-03,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
1.200000010430812836e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
1.600000075995922089e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
1.999999955296516418e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
2.400000020861625671e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
2.800000086426734924e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
3.200000151991844177e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
3.599999845027923584e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
3.999999910593032837e-02,1.000000000000000000e+00,-3.429727172851562500e+01,4.898739242553710938e+01,3.003597259521484375e+01,1.098959426879882812e+02,9.609557342529296875e+01,-1.136211872100830078e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
4.399999976158142090e-02,1.000000000000000000e+00,-3.429730987548828125e+01,4.898736572265625000e+01,3.003596878051757812e+01,1.098959350585937500e+02,9.609557342529296875e+01,-1.136211991310119629e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
4.800000041723251343e-02,1.000000000000000000e+00,-3.429750442504882812e+01,4.898723220825195312e+01,3.003596878051757812e+01,1.098959350585937500e+02,9.609558105468750000e+01,-1.136213421821594238e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
5.200000107288360596e-02,1.000000000000000000e+00,-3.429802703857421875e+01,4.898679351806640625e+01,3.003596305847167969e+01,1.098959121704101562e+02,9.609560394287109375e+01,-1.136219859123229980e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
5.600000172853469849e-02,1.000000000000000000e+00,-3.429899978637695312e+01,4.898583984375000000e+01,3.003595542907714844e+01,1.098958358764648438e+02,9.609566497802734375e+01,-1.136242032051086426e+00,1.166222991943359375e+02,8.770228385925292969e+00,3.480780029296875000e+01,-1.537292938232421875e+02,6.622257232666015625e+01,1.191414108276367188e+02
