breakpoints,primitives,p_bp,q_bp
17499,movel_fit,"[array([1198.51393467, -432.98255363, 1011.33763823])]","[array([-0.75137713,  0.0856126 ,  0.49809398,  0.85612988,  1.54171784,
       -0.49106113])]"
17999,movel_fit,"[array([1207.84593648, -432.69500455, 1007.02280676])]","[array([-0.74457431,  0.09170782,  0.49130069,  0.85293231,  1.53496349,
       -0.49404633])]"
18499,movel_fit,"[array([1217.11306021, -432.46702988, 1002.59616333])]","[array([-0.73833632,  0.09817454,  0.48500477,  0.85074883,  1.52857213,
       -0.49646931])]"
18999,movel_fit,"[array([1226.32926547, -432.30675759,  998.03558942])]","[array([-0.73269906,  0.10505658,  0.47922836,  0.84968767,  1.52255821,
       -0.49827758])]"
19499,movel_fit,"[array([1235.46451748, -432.23971449,  993.33021451])]","[array([-0.72773693,  0.11236062,  0.47402561,  0.84985247,  1.51697316,
       -0.49942418])]"
19999,movel_fit,"[array([1244.52625656, -432.27048129,  988.46328977])]","[array([-0.72348264,  0.12013101,  0.46942518,  0.85135695,  1.51183521,
       -0.49985354])]"
20499,movel_fit,"[array([1253.49542265, -432.40563415,  983.43100482])]","[array([-0.7199806 ,  0.1283929 ,  0.46547434,  0.85431812,  1.50718197,
       -0.49950609])]"
20999,movel_fit,"[array([1262.36780246, -432.66248704,  978.21175073])]","[array([-0.71727954,  0.13718488,  0.46222723,  0.85886172,  1.50305451,
       -0.4983279 ])]"
21499,movel_fit,"[array([1271.11514369, -433.03925231,  972.81239554])]","[array([-0.71541253,  0.14653704,  0.45974246,  0.86511364,  1.49949665,
       -0.4962536 ])]"
21999,movel_fit,"[array([1279.73369454, -433.53688882,  967.2239544 ])]","[array([-0.71441085,  0.15647722,  0.45808781,  0.87320035,  1.49656215,
       -0.49321695])]"
22499,movel_fit,"[array([1288.23202199, -434.15069   ,  961.43352719])]","[array([-0.71429413,  0.16705005,  0.45733803,  0.88326061,  1.49430411,
       -0.48915384])]"
22999,movel_fit,"[array([1296.58597631, -434.86290422,  955.46364522])]","[array([-0.71506649,  0.1782921 ,  0.45757117,  0.89542201,  1.49278294,
       -0.48399358])]"
23499,movel_fit,"[array([1304.80116616, -435.67376262,  949.28862673])]","[array([-0.71672575,  0.19025528,  0.45887118,  0.90980578,  1.49206662,
       -0.47767657])]"
23999,movel_fit,"[array([1312.84186139, -436.5549977 ,  942.93125087])]","[array([-0.71924765,  0.20295938,  0.46134521,  0.92651305,  1.49223071,
       -0.47014058])]"
