primitives,points,q_bp
movel_fit,"[array([1394.91861315, -442.31746353,  859.8665924 ])]","[array([-0.7696692 ,  0.40620922,  0.57704468,  1.26045479,  1.57429867,
       -0.30439844])]"
movel_fit,"[array([1402.56154936, -441.51059608,  851.59754198])]","[array([-0.77062491,  0.4292394 ,  0.5912663 ,  1.29622581,  1.58902742,
       -0.28561062])]"
movel_fit,"[array([1410.30868495, -440.45446443,  843.43560253])]","[array([-0.77021669,  0.45184698,  0.60409071,  1.32984176,  1.60386006,
       -0.26792856])]"
movel_fit,"[array([1417.97567877, -439.21811812,  835.68826386])]","[array([-0.76859709,  0.47302981,  0.61476585,  1.35988167,  1.6178853 ,
       -0.25215595])]"
movel_fit,"[array([1425.29955751, -438.03468009,  828.60203977])]","[array([-0.76619531,  0.49194663,  0.62283244,  1.38529907,  1.63025972,
       -0.23892216])]"
movel_fit,"[array([1432.11036611, -436.91248212,  822.26691785])]","[array([-0.76337959,  0.50826401,  0.62850407,  1.40609395,  1.64060564,
       -0.22831113])]"
movel_fit,"[array([1438.54573853, -435.87644971,  816.65282439])]","[array([-0.76035869,  0.52228075,  0.63218661,  1.42312852,  1.6490765 ,
       -0.21986914])]"
movel_fit,"[array([1456.20613858, -433.68756119,  802.93512739])]","[array([-0.75141096,  0.55375748,  0.63411373,  1.45711985,  1.66486362,
       -0.20424302])]"
movel_fit,"[array([1472.74649732, -432.87966907,  792.4197526 ])]","[array([-0.74339167,  0.57398429,  0.62608628,  1.4732532 ,  1.66900706,
       -0.19903038])]"
movel_fit,"[array([1489.41227717, -433.52860531,  783.97766075])]","[array([-0.73635852,  0.5860748 ,  0.60959415,  1.47561601,  1.66296307,
       -0.20216208])]"
movel_fit,"[array([1507.17169788, -435.61312536,  777.28647714])]","[array([-0.72979716,  0.59053989,  0.58354145,  1.46340496,  1.64586848,
       -0.2141222 ])]"
movel_fit,"[array([1527.38208549, -439.04788443,  772.12758689])]","[array([-0.7222366 ,  0.58638671,  0.54385727,  1.43104984,  1.61450584,
       -0.23825374])]"
movel_fit,"[array([1542.72551809, -441.86299131,  769.5854334 ])]","[array([-0.71511872,  0.57779695,  0.50695063,  1.39322627,  1.58376916,
       -0.26385656])]"
movel_fit,"[array([1550.88255734, -443.21269101,  768.64940146])]","[array([-0.71040009,  0.57172732,  0.48527341,  1.36871697,  1.56569567,
       -0.27977852])]"
movel_fit,"[array([1559.19283208, -444.42018994,  768.01369121])]","[array([-0.70474393,  0.56473891,  0.4619969 ,  1.34094818,  1.54655816,
       -0.29731536])]"
movel_fit,"[array([1567.54006581, -445.32585026,  767.5117922 ])]","[array([-0.6980342 ,  0.55718663,  0.43766144,  1.31044227,  1.52686966,
       -0.31620994])]"
movel_fit,"[array([1575.91298286, -445.97720341,  767.15718568])]","[array([-0.69025753,  0.54936625,  0.41258773,  1.27768817,  1.50712077,
       -0.33602884])]"
movel_fit,"[array([1584.24982906, -446.38324928,  766.93725894])]","[array([-0.68148368,  0.54157547,  0.38725865,  1.24337533,  1.48780912,
       -0.35632865])]"
movel_fit,"[array([1592.60005509, -446.48130272,  766.78908147])]","[array([-0.67174947,  0.53409057,  0.36203533,  1.20813504,  1.4692391 ,
       -0.3767299 ])]"
movel_fit,"[array([1600.97747338, -446.21774045,  766.66982358])]","[array([-0.66116323,  0.5271176 ,  0.33728847,  1.17260742,  1.45164826,
       -0.39690677])]"
movel_fit,"[array([1609.38007486, -445.5051499 ,  766.39194792])]","[array([-0.64988159,  0.52090436,  0.31344449,  1.13752085,  1.43517738,
       -0.41664991])]"
movel_fit,"[array([1617.83451483, -444.24059798,  766.03213625])]","[array([-0.63807935,  0.51550659,  0.29082295,  1.10357163,  1.41996172,
       -0.43553809])]"
movel_fit,"[array([1626.15525153, -442.75853572,  765.47265712])]","[array([-0.62643054,  0.51132916,  0.26997199,  1.07209175,  1.40647658,
       -0.45275487])]"
movel_fit,"[array([1634.13224035, -441.65418663,  764.38466425])]","[array([-0.61571304,  0.50882626,  0.25118574,  1.04412443,  1.39500503,
       -0.46791325])]"
movel_fit,"[array([1654.76597934, -438.17742061,  760.56518567])]","[array([-0.59087774,  0.5077813 ,  0.21010624,  0.98652799,  1.3719674 ,
       -0.49863701])]"
movel_fit,"[array([1671.10171164, -437.0169739 ,  754.96472854])]","[array([-0.57673675,  0.51402259,  0.18456017,  0.95873231,  1.36030495,
       -0.51377018])]"
movel_fit,"[array([1685.17174075, -436.06059675,  749.02342152])]","[array([-0.56921236,  0.52369223,  0.16859501,  0.95083132,  1.35483175,
       -0.51817387])]"
movel_fit,"[array([1697.92455668, -436.29087223,  741.33778634])]","[array([-0.56748094,  0.53741976,  0.15946987,  0.95945116,  1.35393549,
       -0.51462952])]"
movel_fit,"[array([1709.78582745, -438.39167545,  731.28114156])]","[array([-0.57194179,  0.55643246,  0.15713625,  0.98629917,  1.35824065,
       -0.50250676])]"
movel_fit,"[array([1721.40851075, -441.87814556,  718.37548818])]","[array([-0.58327816,  0.58310777,  0.16413621,  1.03832748,  1.37030991,
       -0.47789023])]"
movel_fit,"[array([1733.00564639, -446.11442475,  701.63429292])]","[array([-0.60188705,  0.62165947,  0.18590997,  1.126365  ,  1.39587576,
       -0.43468571])]"
movel_fit,"[array([1800.03879435, -456.28052697,  590.19083727])]","[array([-0.60672338,  0.84045453,  0.519205  ,  1.89397863,  1.64504765,
       -0.0492184 ])]"
