primitives,points,q_bp
moveabsj_fit,"[array([ 777.6929583 , -430.8543104 , 1206.49164364])]","[array([-1.12102066, -0.1646042 ,  0.79785407,  0.98959214,  1.91075466,
       -0.33479932])]"
movej_fit,"[array([ 878.27496134, -436.55875727, 1154.28898832])]","[array([-1.04694479, -0.08572807,  0.77373292,  1.01800017,  1.82806989,
       -0.3417142 ])]"
movec_fit,"[array([ 914.93508199, -437.02407231, 1135.07885141]), array([ 951.82902752, -437.69348718, 1116.45529486])]","[array([-1.01785204, -0.05928916,  0.75754292,  1.02071132,  1.79714998,
       -0.34861964]), array([-0.98927453, -0.03267565,  0.73898913,  1.02232513,  1.76717368,
       -0.35458809])]"
movec_fit,"[array([ 980.01592336, -437.85741623, 1103.30568946]), array([1008.36155097, -438.09412608, 1090.56866344])]","[array([-0.96240064, -0.01757407,  0.71332971,  1.00912127,  1.74074076,
       -0.36905652]), array([-0.93585582, -0.00274183,  0.68720975,  0.99516454,  1.71453041,
       -0.38210345])]"
movec_fit,"[array([1033.13561845, -437.95490592, 1079.91699718]), array([1057.90507225, -438.09614093, 1069.3392651 ])]","[array([-0.91144945,  0.00896125,  0.66205582,  0.9793098 ,  1.69123469,
       -0.39671699]), array([-0.88726514,  0.02052097,  0.63658207,  0.96222135,  1.66786967,
       -0.41049535])]"
movel_fit,"[array([1074.35532133, -437.44824947, 1062.89157012])]","[array([-0.86962052,  0.02656702,  0.61797518,  0.94753823,  1.65166865,
       -0.42190984])]"
movel_fit,"[array([1098.31933575, -437.07984519, 1053.04299383])]","[array([-0.84531049,  0.03674563,  0.59246989,  0.92779299,  1.62882511,
       -0.43680509])]"
movel_fit,"[array([1125.48405156, -436.1170178 , 1042.2597957 ])]","[array([-0.81736515,  0.04787396,  0.56365704,  0.90412283,  1.60322868,
       -0.45424852])]"
movel_fit,"[array([1149.73892806, -435.0150826 , 1032.4239469 ])]","[array([-0.79355525,  0.05882803,  0.53980677,  0.88494986,  1.58142983,
       -0.46837958])]"
movel_fit,"[array([1169.30922113, -434.21631906, 1024.26565452])]","[array([-0.77546431,  0.06862843,  0.52178709,  0.87120015,  1.56470588,
       -0.47873705])]"
movel_fit,"[array([1185.2200155 , -433.56361674, 1017.37215597])]","[array([-0.76184187,  0.07747324,  0.50834568,  0.86203759,  1.55186915,
       -0.48594799])]"
movel_fit,"[array([1198.92159497, -433.00555049, 1011.24985095])]","[array([-0.750979  ,  0.08574473,  0.49764883,  0.85579245,  1.54140297,
       -0.49119387])]"
movel_fit,"[array([1211.16529361, -432.59711163, 1005.53396931])]","[array([-0.74216282,  0.09384224,  0.48889601,  0.85188269,  1.53260445,
       -0.49495776])]"
movel_fit,"[array([1222.28895913, -432.4254307 , 1000.07727015])]","[array([-0.73501074,  0.10190087,  0.4815917 ,  0.84984092,  1.52510823,
       -0.49759761])]"
movel_fit,"[array([1232.64411507, -432.33136734,  994.85784944])]","[array([-0.72913291,  0.10996692,  0.47545167,  0.84951433,  1.51864692,
       -0.49915084])]"
movel_fit,"[array([1242.40216193, -432.28534696,  989.71375971])]","[array([-0.72432044,  0.11813197,  0.47034234,  0.85074049,  1.51299487,
       -0.49979321])]"
movel_fit,"[array([1251.70205793, -432.36694906,  984.55492128])]","[array([-0.72050152,  0.1265431 ,  0.46611972,  0.8534724 ,  1.50806321,
       -0.49960052])]"
movel_fit,"[array([1260.57979772, -432.61426303,  979.34455658])]","[array([-0.71764432,  0.13524314,  0.46273732,  0.8576839 ,  1.50381667,
       -0.49862416])]"
movel_fit,"[array([1269.14267974, -432.98717833,  974.07370335])]","[array([-0.71566349,  0.14428578,  0.46015054,  0.86342227,  1.5002156 ,
       -0.49681348])]"
movel_fit,"[array([1277.50501758, -433.44848317,  968.6610384 ])]","[array([-0.71449698,  0.15378397,  0.45837084,  0.87080406,  1.4972072 ,
       -0.49414217])]"
movel_fit,"[array([1285.69155389, -434.00008779,  963.08675531])]","[array([-0.71414766,  0.1637995 ,  0.45743695,  0.87993893,  1.49482035,
       -0.49055968])]"
movel_fit,"[array([1293.7274771 , -434.70217648,  957.3277425 ])]","[array([-0.71466738,  0.17444237,  0.45738955,  0.89098832,  1.49311962,
       -0.48599092])]"
movel_fit,"[array([1301.6594899 , -435.52315742,  951.34319819])]","[array([-0.71604108,  0.18581064,  0.45831496,  0.90413263,  1.49214617,
       -0.48034137])]"
movel_fit,"[array([1309.58138191, -436.39412424,  945.08403016])]","[array([-0.71826324,  0.19806992,  0.46036633,  0.91973219,  1.49198084,
       -0.47343289])]"
movel_fit,"[array([1317.47481129, -437.33939506,  938.55342133])]","[array([-0.72134296,  0.21128826,  0.46364744,  0.93792558,  1.49272845,
       -0.4651736 ])]"
movel_fit,"[array([1325.444259 , -438.3459226,  931.6897558])]","[array([-0.72530458,  0.22572632,  0.46835865,  0.95918678,  1.4945522 ,
       -0.45530066])]"
movel_fit,"[array([1333.48459643, -439.36359044,  924.43021753])]","[array([-0.7301167 ,  0.24154503,  0.47475698,  0.98382979,  1.49762141,
       -0.44366663])]"
movel_fit,"[array([1341.53933731, -440.41528796,  916.82477752])]","[array([-0.73567982,  0.25878968,  0.4829349 ,  1.01184872,  1.50212748,
       -0.43021863])]"
movel_fit,"[array([1349.4776848 , -441.31105176,  908.91156669])]","[array([-0.74171044,  0.27729393,  0.49304724,  1.04298571,  1.50813507,
       -0.41511158])]"
movel_fit,"[array([1357.24063452, -442.17258411,  900.80945577])]","[array([-0.74795662,  0.29695796,  0.50480189,  1.07661092,  1.5157282 ,
       -0.39859109])]"
movel_fit,"[array([1364.86762921, -442.90748337,  892.65094766])]","[array([-0.7540128 ,  0.31757586,  0.5178804 ,  1.11206595,  1.52485847,
       -0.38087052])]"
movel_fit,"[array([1372.36816631, -443.25370518,  884.45745345])]","[array([-0.75944654,  0.33889178,  0.5320995 ,  1.14875664,  1.5353721 ,
       -0.36231257])]"
movel_fit,"[array([1379.79380053, -443.30845914,  876.24740137])]","[array([-0.76403946,  0.36083735,  0.54699932,  1.18605754,  1.54719952,
       -0.34319945])]"
movel_fit,"[array([1387.20621308, -443.0841738 ,  867.99664913])]","[array([-0.76757797,  0.38331341,  0.5621421 ,  1.22338682,  1.56019847,
       -0.32388971])]"
movel_fit,"[array([1394.72795869, -442.56291175,  859.6848295 ])]","[array([-0.769898  ,  0.40629706,  0.5771604 ,  1.26042441,  1.57428227,
       -0.30455493])]"
movel_fit,"[array([1402.34850975, -441.80298732,  851.35493361])]","[array([-0.77088694,  0.42939336,  0.59137314,  1.2961751 ,  1.58902242,
       -0.28580821])]"
movel_fit,"[array([1410.06598486, -440.70105598,  843.16523118])]","[array([-0.77046764,  0.45199896,  0.60423724,  1.32977536,  1.6038484 ,
       -0.26816135])]"
movel_fit,"[array([1417.73458725, -439.35306808,  835.42970898])]","[array([-0.76878949,  0.47313731,  0.61496088,  1.35982318,  1.61785348,
       -0.2524025 ])]"
movel_fit,"[array([1425.08389652, -438.14976234,  828.34354054])]","[array([-0.76636449,  0.49207421,  0.62300966,  1.38525095,  1.63023638,
       -0.23916562])]"
movel_fit,"[array([1431.84216168, -437.02287075,  821.9416672 ])]","[array([-0.7635702 ,  0.50844967,  0.62873154,  1.40604645,  1.64061206,
       -0.2286357 ])]"
movel_fit,"[array([1438.27310135, -435.93808029,  816.33078787])]","[array([-0.76053005,  0.52250641,  0.63252132,  1.42323485,  1.64916826,
       -0.22022548])]"
