primitives,points,q_bp
moveabsj,"[array([ 861.5374105 ,  282.10949802, 2595.45030765])]","[array([ 0.53733463, -0.52212288,  0.50779345, -2.74485203,  1.6064634 ,
       -1.50966201])]"
movel,"[array([1202.81791731,  111.2284457 , 2297.76960284])]","[array([ 0.36430207, -0.43236955,  0.65775388, -2.5499245 ,  1.56581063,
       -1.49363832])]"
movel,"[array([1240.1138501 ,   93.33727073, 2260.26980702])]","[array([ 0.35212143, -0.41461362,  0.66806844, -2.52472565,  1.56154288,
       -1.4915148 ])]"
movel,"[array([1277.96492274,   77.42794764, 2219.8133587 ])]","[array([ 0.3411404 , -0.39643932,  0.67944159, -2.50073322,  1.5550169 ,
       -1.49084293])]"
movel,"[array([1315.5167196 ,   62.77444303, 2178.21421539])]","[array([ 0.33062428, -0.37740443,  0.69049852, -2.47872192,  1.54735678,
       -1.49081204])]"
movel,"[array([1352.62957761,   48.76289878, 2137.34128403])]","[array([ 0.31936197, -0.35728362,  0.70014302, -2.46044673,  1.53858039,
       -1.49120064])]"
movel,"[array([1388.89902635,   35.22707909, 2098.34062615])]","[array([ 0.30733978, -0.33614573,  0.70775777, -2.44612966,  1.52918772,
       -1.49156989])]"
movel,"[array([1423.77757542,   22.38909152, 2061.11774016])]","[array([ 0.29551966, -0.31433899,  0.71349914, -2.43436542,  1.51992297,
       -1.49144033])]"
movel,"[array([1456.98976671,   10.44990817, 2025.20098205])]","[array([ 0.28456647, -0.29219211,  0.71780337, -2.42398497,  1.51118605,
       -1.49059298])]"
movel,"[array([ 1.48845097e+03, -5.38827849e-01,  1.99039877e+03])]","[array([ 0.27465021, -0.26992589,  0.72096203, -2.41451879,  1.50312283,
       -1.4889738 ])]"
movel,"[array([1518.1303935 ,  -10.64183715, 1956.61601738])]","[array([ 0.26577264, -0.24768775,  0.72318157, -2.40566579,  1.49584507,
       -1.48654999])]"
movel,"[array([1546.04427663,  -20.03156947, 1923.79360401])]","[array([ 0.25783195, -0.22555668,  0.72460536, -2.3971968 ,  1.48944941,
       -1.48327466])]"
movel,"[array([1572.1841106 ,  -28.93799282, 1892.09876093])]","[array([ 0.25063293, -0.20360817,  0.72526548, -2.38907682,  1.48403789,
       -1.47908598])]"
movel,"[array([1596.44917794,  -37.64015593, 1861.66994079])]","[array([ 0.24403892, -0.18194936,  0.72522611, -2.38111386,  1.47979133,
       -1.47385802])]"
movel,"[array([1618.59373106,  -46.48952472, 1832.40648496])]","[array([ 0.23806098, -0.16069355,  0.72466648, -2.37266616,  1.47705251,
       -1.46734012])]"
movel,"[array([1638.25591591,  -55.93117769, 1804.35586002])]","[array([ 0.23265246, -0.14001032,  0.72374266, -2.36312354,  1.4762033 ,
       -1.45923932])]"
movel,"[array([1655.2573405 ,  -66.46057697, 1778.11703122])]","[array([ 0.22749188, -0.11999499,  0.72228192, -2.35248818,  1.47751171,
       -1.44932961])]"
movel,"[array([1669.56252578,  -78.57356537, 1754.47665993])]","[array([ 0.22216519, -0.10066454,  0.71994945, -2.34100135,  1.4812142 ,
       -1.43739471])]"
movel,"[array([1680.88354305,  -92.81290624, 1733.95574576])]","[array([ 0.2164262 , -0.0821806 ,  0.71662401, -2.32843519,  1.48763783,
       -1.4231447 ])]"
movel,"[array([1688.89455346, -109.62616692, 1716.80411045])]","[array([ 0.21018386, -0.06461774,  0.71221345, -2.31422163,  1.49719078,
       -1.4063022 ])]"
movel,"[array([1693.59758912, -129.37837023, 1703.18175331])]","[array([ 0.2031489 , -0.04798767,  0.70656983, -2.2983024 ,  1.50979573,
       -1.38687578])]"
movel,"[array([1695.39160236, -152.05716833, 1692.68293962])]","[array([ 0.19512085, -0.03209065,  0.69963186, -2.28082043,  1.52496581,
       -1.36520375])]"
movel,"[array([1694.7060549 , -177.3229978 , 1683.73296231])]","[array([ 0.1862889 , -0.01674555,  0.69186703, -2.261256  ,  1.54177578,
       -1.3419383 ])]"
movel,"[array([1691.97945304, -204.80563955, 1673.8639962 ])]","[array([ 1.77042916e-01, -1.60559435e-03,  6.84056615e-01, -2.23848500e+00,
        1.55919377e+00, -1.31764388e+00])]"
movel,"[array([1687.4522529 , -234.00700907, 1660.41895538])]","[array([ 0.1679692 ,  0.01355505,  0.67714389, -2.21101691,  1.57611231,
       -1.29292639])]"
movel,"[array([1681.66248971, -264.41465438, 1641.55831195])]","[array([ 0.15936387,  0.02907934,  0.67158425, -2.17821101,  1.59132908,
       -1.26842331])]"
movel,"[array([1676.18375292, -295.02861586, 1617.18140522])]","[array([ 0.15098148,  0.04546463,  0.66707703, -2.14217335,  1.60328075,
       -1.24512707])]"
movel,"[array([1671.8650896 , -325.27081621, 1587.41205986])]","[array([ 0.14277336,  0.06305033,  0.66325533, -2.10397779,  1.6111497 ,
       -1.22355195])]"
movel,"[array([1669.51653498, -354.65912665, 1552.71251599])]","[array([ 0.13467203,  0.08210398,  0.65960663, -2.06480581,  1.61425263,
       -1.20418334])]"
movel,"[array([1670.32801087, -382.30083565, 1514.63804859])]","[array([ 0.12661047,  0.10286683,  0.65525209, -2.02704885,  1.61229566,
       -1.18744589])]"
movel,"[array([1695.63872548, -474.22338176, 1360.10022882])]","[array([ 0.09458322,  0.19429125,  0.62595206, -1.90566612,  1.57532798,
       -1.14096389])]"
