breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 538.77176444, -795.01005739,  380.36920604])]","[array([ 1.67273195, -0.73496376, -3.08289372,  3.4610657 , -0.94527927,
       -2.46290455])]"
1665,moveabsj,"[array([ 546.59097254, -789.22288959,  380.87084885])]","[array([ 1.68203752, -0.73390267, -3.08117011,  3.45677378, -0.94498406,
       -2.46243598])]"
3332,moveabsj,"[array([ 555.17758932, -783.98177938,  385.96218125])]","[array([ 1.69226184, -0.72962408, -3.07662466,  3.45187977, -0.94697713,
       -2.46139202])]"
4999,moveabsj,"[array([ 564.49019677, -779.21147251,  395.65908562])]","[array([ 1.70333769, -0.72214726, -3.0692495 ,  3.44640967, -0.95125036,
       -2.45978131])]"
6665,moveabsj,"[array([ 574.43240752, -774.75743374,  409.8703989 ])]","[array([ 1.71514378, -0.7115973 , -3.05911213,  3.4404181 , -0.9577241 ,
       -2.45762552])]"
8332,moveabsj,"[array([ 584.84808091, -770.38490203,  428.30237836])]","[array([ 1.72750733, -0.69826099, -3.04641058,  3.43399292, -0.96620658,
       -2.45496393])]"
9999,moveabsj,"[array([ 595.48454464, -765.81359213,  450.24752377])]","[array([ 1.74016639, -0.68271408, -3.03160307,  3.42728623, -0.9763052 ,
       -2.45187078])]"
11665,moveabsj,"[array([ 606.03950303, -760.76114005,  474.48041449])]","[array([ 1.75282232, -0.66585993, -3.0154637 ,  3.42050404, -0.98739135,
       -2.44845629])]"
13332,moveabsj,"[array([ 616.24299466, -755.00893328,  499.3020567 ])]","[array([ 1.76522077, -0.6488691 , -2.99905096,  3.41387967, -0.99863219,
       -2.44485304])]"
14999,moveabsj,"[array([ 625.88873753, -748.48936884,  522.57429622])]","[array([ 1.7771631 , -0.63314492, -2.98369615,  3.40767789, -1.00900838,
       -2.44121353])]"
16665,moveabsj,"[array([ 634.8948756 , -741.30143546,  541.96052395])]","[array([ 1.78855798, -0.62017373, -2.97086375,  3.4021662 , -1.01741523,
       -2.43768712])]"
18332,moveabsj,"[array([ 643.29419339, -733.66073724,  555.07032355])]","[array([ 1.79940937, -0.61146333, -2.96207426,  3.39761552, -1.02271267,
       -2.4344063 ])]"
19999,moveabsj,"[array([ 651.11065049, -725.84202577,  559.35595726])]","[array([ 1.80968751, -0.60865652, -2.95898291,  3.39435878, -1.02366568,
       -2.43150422])]"
21665,moveabsj,"[array([ 658.23910288, -718.02029645,  552.07749888])]","[array([ 1.8192342 , -0.61360938, -2.96340907,  3.39282965, -1.01891238,
       -2.42910817])]"
23332,moveabsj,"[array([ 664.2657941 , -710.01870737,  530.32117576])]","[array([ 1.82763501, -0.62847105, -2.97734027,  3.39360567, -1.00693597,
       -2.42730906])]"
24999,moveabsj,"[array([ 668.27608133, -700.95524997,  491.62135025])]","[array([ 1.83410826, -0.65543598, -3.00257514,  3.39736463, -0.98626401,
       -2.42606788])]"
26665,moveabsj,"[array([ 668.95990657, -688.91908216,  435.7515394 ])]","[array([ 1.83769489, -0.69573615, -3.03963826,  3.40455559, -0.95612633,
       -2.4250564 ])]"
28332,moveabsj,"[array([ 665.4844067 , -671.58361429,  367.86215014])]","[array([ 1.838017  , -0.74728834, -3.08571276,  3.41458525, -0.91792885,
       -2.42371103])]"
29999,moveabsj,"[array([ 659.01561995, -648.75894141,  299.9933434 ])]","[array([ 1.83633363, -0.80222943, -3.13317674,  3.42509334, -0.87696605,
       -2.42185232])]"
31665,moveabsj,"[array([ 652.64029745, -624.16131468,  244.82910383])]","[array([ 1.83523278, -0.84978744, -3.1730329 ,  3.43310358, -0.84092726,
       -2.42013102])]"
33332,moveabsj,"[array([ 649.32010095, -603.17775584,  209.02166143])]","[array([ 1.83701571, -0.88184967, -3.1994335 ,  3.43677334, -0.81628964,
       -2.4194752 ])]"
34999,moveabsj,"[array([ 651.04501462, -590.43187622,  195.13977567])]","[array([ 1.84309936, -0.89328156, -3.20905331,  3.43522122, -0.80765923,
       -2.42065461])]"
36665,moveabsj,"[array([ 659.13609663, -588.95478908,  205.68416406])]","[array([ 1.85420151, -0.88015857, -3.19902056,  3.42765604, -0.81838382,
       -2.42433084])]"
38332,moveabsj,"[array([ 674.15780817, -598.29915276,  243.45726351])]","[array([ 1.87056991, -0.84078386, -3.16729341,  3.41291454, -0.84919341,
       -2.43102108])]"
39999,moveabsj,"[array([ 695.20060474, -612.32719609,  308.34137783])]","[array([ 1.89208899, -0.77882235, -3.11506849,  3.38979416, -0.89587421,
       -2.44037507])]"
41665,moveabsj,"[array([ 718.00599638, -620.39895462,  386.93865699])]","[array([ 1.91655737, -0.70992341, -3.05370057,  3.36099408, -0.94588155,
       -2.44928508])]"
43332,moveabsj,"[array([ 736.67698173, -617.8378655 ,  452.84328359])]","[array([ 1.93905642, -0.65609005, -3.00324257,  3.33532201, -0.98404122,
       -2.45401705])]"
44999,moveabsj,"[array([ 748.56945886, -609.36477839,  484.92222409])]","[array([ 1.95565098, -0.63070708, -2.97884728,  3.32098578, -1.00162227,
       -2.45446264])]"
46665,moveabsj,"[array([ 752.69369059, -600.11551053,  470.82155859])]","[array([ 1.96371004, -0.64117895, -2.98955749,  3.32325884, -0.99347636,
       -2.45153917])]"
48332,moveabsj,"[array([ 747.57540346, -588.5381919 ,  410.98327826])]","[array([ 1.96220494, -0.68891576, -3.0360538 ,  3.34280968, -0.95868749,
       -2.44412951])]"
49999,moveabsj,"[array([ 733.83759938, -565.68451467,  321.94200867])]","[array([ 1.95510271, -0.76613815, -3.10752439,  3.37247973, -0.90202254,
       -2.42992918])]"
