primitives,points,q_bp
moveabsj,"[array([ 83.96159103, 486.83319777, 483.47610286])]","[array([-0.21646022, -0.11903969, -2.06227137, -2.84537538,  1.05293951,
       -1.09904694])]"
movel,"[array([ 83.60528987, 519.65595903, 586.95260251])]","[array([-0.06595533, -0.32605185, -1.97418734, -2.96745358,  1.1951896 ,
       -1.09679766])]"
movel,"[array([ 82.9591677 , 525.84626004, 601.08328147])]","[array([-0.0523123 , -0.33809101, -1.98755481, -2.96641777,  1.21078724,
       -1.10172241])]"
movel,"[array([ 80.94543342, 533.6494744 , 616.47988541])]","[array([-0.03887135, -0.34917356, -1.99864899, -2.9667926 ,  1.22626549,
       -1.10900769])]"
movel,"[array([ 76.89237711, 542.15462612, 631.73897103])]","[array([-0.02483369, -0.35895249, -2.00852047, -2.96738263,  1.24069466,
       -1.11746633])]"
movel,"[array([ 70.33887666, 550.34839101, 645.08430333])]","[array([-0.00992599, -0.3674146 , -2.01701426, -2.96819319,  1.2521657 ,
       -1.12604943])]"
movel,"[array([ 61.37382402, 557.56375395, 655.73858899])]","[array([ 0.00621297, -0.37485723, -2.02351967, -2.96835272,  1.26104713,
       -1.13368027])]"
movel,"[array([ 50.40241162, 563.62968575, 663.8640546 ])]","[array([ 0.02406228, -0.38102143, -2.02937151, -2.96664864,  1.26839604,
       -1.13979818])]"
movel,"[array([ 37.73919456, 568.63717838, 669.87498029])]","[array([ 0.04358498, -0.38620272, -2.03458101, -2.96235215,  1.27544778,
       -1.14429056])]"
movel,"[array([ 23.71591998, 572.46595768, 673.69061167])]","[array([ 0.0646825 , -0.39002569, -2.04018905, -2.95541274,  1.28185745,
       -1.14712186])]"
movel,"[array([  8.47223148, 575.08872135, 675.4555257 ])]","[array([ 0.08698426, -0.39338671, -2.04435448, -2.94573118,  1.28855016,
       -1.14818938])]"
movel,"[array([ -7.6610735 , 576.37989704, 675.02932376])]","[array([ 0.11035144, -0.39575918, -2.04780139, -2.93325806,  1.29512678,
       -1.14747658])]"
movel,"[array([-24.37258884, 576.03564733, 672.02727049])]","[array([ 0.13481159, -0.39647054, -2.05153004, -2.91810073,  1.30066484,
       -1.14484506])]"
movel,"[array([-41.68881549, 573.97342266, 666.46812732])]","[array([ 0.16002548, -0.39654208, -2.05313312, -2.89992557,  1.30613063,
       -1.14012498])]"
movel,"[array([-59.32267295, 569.95708362, 658.17162671])]","[array([ 0.18635069, -0.39473423, -2.05467173, -2.87838373,  1.31075077,
       -1.13325463])]"
movel,"[array([-77.31408813, 563.79889652, 647.11820426])]","[array([ 0.21381281, -0.39129976, -2.05515882, -2.85288041,  1.31504705,
       -1.12406068])]"
movel,"[array([-95.54025602, 554.95852194, 632.79142779])]","[array([ 0.24247299, -0.38574888, -2.05434771, -2.82311749,  1.31833219,
       -1.11227536])]"
movel,"[array([-114.03019116,  542.5893992 ,  614.53507026])]","[array([ 0.27244103, -0.37797594, -2.05101829, -2.78891073,  1.31979642,
       -1.0974833 ])]"
movel,"[array([-132.69590153,  525.89828998,  592.07062665])]","[array([ 0.30382968, -0.36722965, -2.04523315, -2.74983656,  1.31860663,
       -1.07958847])]"
movel,"[array([-151.54087785,  503.97577896,  565.60656346])]","[array([ 0.33689144, -0.35328251, -2.03643958, -2.7055843 ,  1.31444919,
       -1.05846617])]"
movel,"[array([-170.45113691,  475.72710341,  535.58657214])]","[array([ 0.37188093, -0.33584936, -2.02447687, -2.65650494,  1.3063856 ,
       -1.03426019])]"
movel,"[array([-189.17579443,  440.47758851,  503.26834786])]","[array([ 0.40863094, -0.31546693, -2.00908138, -2.60358079,  1.29391776,
       -1.00764612])]"
movel,"[array([-206.73652501,  398.50488762,  470.89246775])]","[array([ 0.44710037, -0.29285116, -1.99151495, -2.54803894,  1.2776333 ,
       -0.97943559])]"
movel,"[array([-221.57077678,  351.15663811,  440.92106925])]","[array([ 0.48723505, -0.26989725, -1.97267115, -2.49081417,  1.25953676,
       -0.9499428 ])]"
movel,"[array([-231.09777461,  300.91317703,  415.22759882])]","[array([ 0.52917454, -0.24771711, -1.95531063, -2.43248179,  1.24173144,
       -0.91901824])]"
movel,"[array([-233.12561079,  250.74650609,  394.55935692])]","[array([ 0.5728909 , -0.22780549, -1.94105753, -2.37369604,  1.22579822,
       -0.8862825 ])]"
movel,"[array([-227.54237434,  203.33549053,  378.5504017 ])]","[array([ 0.61736778, -0.21159558, -1.92985858, -2.31582604,  1.21162111,
       -0.85270581])]"
movel,"[array([-214.40539718,  160.77911141,  366.6164197 ])]","[array([ 0.6622269 , -0.19964082, -1.92224474, -2.25940293,  1.19912823,
       -0.81845053])]"
movel,"[array([-194.76731799,  124.66506454,  358.21588129])]","[array([ 0.70672035, -0.1932173 , -1.91742866, -2.2045484 ,  1.18845516,
       -0.78366219])]"
movel,"[array([-171.02085549,   95.2404182 ,  352.6600382 ])]","[array([ 0.74993881, -0.19216249, -1.91462221, -2.15208829,  1.17854962,
       -0.74983305])]"
movel,"[array([-70.5603066 ,  -9.91993729, 346.23915142])]","[array([ 0.93868383, -0.27694381, -1.79842743, -2.00667403,  1.12235981,
       -0.60325058])]"
