primitives,points,q_bp
moveabsj,"[array([ 580.06205229,  681.85619643, 2571.89119311])]","[array([ 1.07796467, -0.5301022 ,  0.53489965, -2.75946799,  1.63396612,
       -1.51470111])]"
movel,"[array([ 985.92039444,  696.96947096, 2272.71099617])]","[array([ 0.88598337, -0.43277932,  0.68013081, -2.55291294,  1.58146373,
       -1.48089564])]"
movel,"[array([1027.29153256,  700.97715293, 2235.35811554])]","[array([ 0.87595553, -0.41127365,  0.68763288, -2.52435476,  1.58143482,
       -1.47780933])]"
movel,"[array([1068.03333437,  705.57866856, 2194.83708646])]","[array([ 0.86475685, -0.39321402,  0.69899296, -2.50029421,  1.57371314,
       -1.47696217])]"
movel,"[array([1107.75659074,  711.88799311, 2152.76139512])]","[array([ 0.8547126 , -0.37326362,  0.70973855, -2.4777795 ,  1.56634034,
       -1.47658685])]"
movel,"[array([1146.81258828,  718.49296091, 2111.86396569])]","[array([ 0.84358871, -0.35255432,  0.71896548, -2.45960931,  1.55709261,
       -1.47687611])]"
movel,"[array([1185.18415131,  724.60723714, 2073.08607391])]","[array([ 0.83101406, -0.3311005 ,  0.7262369 , -2.44606215,  1.54675068,
       -1.47684505])]"
movel,"[array([1221.82397844,  730.96092093, 2035.87902083])]","[array([ 0.81899876, -0.30861112,  0.73160723, -2.434916  ,  1.53732149,
       -1.47623623])]"
movel,"[array([1256.55023861,  737.2475929 , 1999.94770705])]","[array([ 0.8079884 , -0.28581008,  0.73549434, -2.42485286,  1.52846771,
       -1.47506436])]"
movel,"[array([1289.37170982,  743.53500594, 1965.34437273])]","[array([ 0.79811674, -0.26281248,  0.73791188, -2.41540056,  1.52024694,
       -1.47332169])]"
movel,"[array([1320.13258544,  749.5880495 , 1931.52155628])]","[array([ 0.78919562, -0.23993174,  0.73970569, -2.4067413 ,  1.5129605 ,
       -1.47056305])]"
movel,"[array([1348.97475512,  755.44455361, 1898.67410598])]","[array([ 0.78128932, -0.21725695,  0.74069659, -2.39837151,  1.50640904,
       -1.46714744])]"
movel,"[array([1376.04010952,  760.81756292, 1866.95741083])]","[array([ 0.77415497, -0.19473406,  0.74088236, -2.39023445,  1.50094034,
       -1.46280137])]"
movel,"[array([1401.43967677,  765.27987702, 1836.49891991])]","[array([ 0.76735505, -0.17264771,  0.74056905, -2.38270752,  1.49648162,
       -1.45723354])]"
movel,"[array([1425.04739201,  768.95054654, 1807.40676854])]","[array([ 0.76146222, -0.15097405,  0.739434  , -2.37440011,  1.49327067,
       -1.45087591])]"
movel,"[array([1446.79167901,  770.69209427, 1779.41312339])]","[array([ 0.75619834, -0.1299799 ,  0.73798742, -2.36456945,  1.49190331,
       -1.44300685])]"
movel,"[array([1466.74858698,  770.12305704, 1753.18262004])]","[array([ 0.75117776, -0.10949601,  0.73601752, -2.35362457,  1.49307461,
       -1.43302714])]"
movel,"[array([1485.18864063,  766.79734303, 1729.54237017])]","[array([ 0.7459147 , -0.0900211 ,  0.73332905, -2.34189003,  1.49612192,
       -1.42127656])]"
movel,"[array([1502.1230587 ,  760.18169614, 1709.05607363])]","[array([ 0.74020847, -0.07139541,  0.72966619, -2.32917055,  1.50191881,
       -1.40714089])]"
movel,"[array([1517.42231012,  749.68556577, 1691.90077414])]","[array([ 0.73401345, -0.05342532,  0.72492131, -2.31482714,  1.51145314,
       -1.38994742])]"
movel,"[array([1531.32252388,  734.98368386, 1678.23846413])]","[array([ 0.72703094, -0.03624697,  0.71893334, -2.29871581,  1.52434068,
       -1.36991424])]"
movel,"[array([1544.22747946,  716.23783887, 1667.76373405])]","[array([ 0.71890819, -0.01974896,  0.71167769, -2.2812976 ,  1.53992599,
       -1.34738078])]"
movel,"[array([1556.33755724,  694.01086788, 1658.87317664])]","[array([ 0.70985184, -0.0033991 ,  0.70349107, -2.26209664,  1.5577903 ,
       -1.32265035])]"
movel,"[array([1567.79317744,  668.70028245, 1649.03142182])]","[array([ 0.70024888,  0.01257558,  0.69543152, -2.23985409,  1.57599728,
       -1.29688225])]"
movel,"[array([1578.51255445,  641.09480669, 1635.60553819])]","[array([ 0.69099517,  0.02848638,  0.68815184, -2.21249939,  1.59334138,
       -1.27097637])]"
movel,"[array([1588.64631846,  611.98075726, 1616.7390592 ])]","[array([ 0.68277657,  0.04473649,  0.68164994, -2.17823035,  1.60851967,
       -1.24587546])]"
movel,"[array([1599.17404484,  582.71475584, 1592.3416252 ])]","[array([ 0.67447859,  0.06145153,  0.6766743 , -2.14160024,  1.61979857,
       -1.22209476])]"
movel,"[array([1610.48076427,  554.27839322, 1562.41102387])]","[array([ 0.66628707,  0.07931639,  0.67258713, -2.10306923,  1.62685223,
       -1.19997539])]"
movel,"[array([1623.13898871,  527.5287728 , 1527.60037068])]","[array([ 0.65836949,  0.09852467,  0.66828332, -2.06283969,  1.62862461,
       -1.18057038])]"
movel,"[array([1637.8001057 ,  503.44322601, 1489.27502126])]","[array([ 0.65074066,  0.1199306 ,  0.6620034 , -2.02174923,  1.62549063,
       -1.16383848])]"
movel,"[array([1722.6296381 ,  448.72784728, 1322.49800133])]","[array([ 0.6240094 ,  0.24019259,  0.59550259, -1.8690578 ,  1.58545062,
       -1.11594655])]"
