primitives,points,q_bp
moveabsj,"[array([ 87.24535324, 491.60358962, 483.25866325])]","[array([-0.23205351, -0.11279851, -2.07035658, -2.82743301,  1.05387032,
       -1.10950777])]"
movel,"[array([ 83.64909335, 519.64124252, 586.99112648])]","[array([-0.06593051, -0.3260213 , -1.97411502, -2.96748553,  1.19528806,
       -1.09676099])]"
movel,"[array([ 83.19095694, 525.78757908, 601.15371424])]","[array([-0.05221705, -0.33749997, -1.98819685, -2.96650799,  1.21072565,
       -1.10166323])]"
movel,"[array([ 81.09112801, 533.64268735, 616.57280461])]","[array([-0.0388691 , -0.34894239, -1.99871405, -2.96680512,  1.2264288 ,
       -1.10897535])]"
movel,"[array([ 77.04966998, 542.20069824, 631.96248766])]","[array([-0.02493183, -0.35903901, -2.00775978, -2.96733035,  1.24137078,
       -1.11741584])]"
movel,"[array([ 70.4925822 , 550.40587995, 645.25788521])]","[array([-0.01004005, -0.36735591, -2.01661262, -2.96811411,  1.25263343,
       -1.12605173])]"
movel,"[array([ 61.42754324, 557.6149255 , 655.86077029])]","[array([ 0.00611604, -0.37499063, -2.02298656, -2.96828667,  1.26145315,
       -1.13368172])]"
movel,"[array([ 50.49903886, 563.68302495, 663.97102966])]","[array([ 0.0239661 , -0.38095817, -2.02916962, -2.96657682,  1.26866959,
       -1.13982367])]"
movel,"[array([ 37.8589003 , 568.69187509, 669.95244124])]","[array([ 0.04349262, -0.38597802, -2.0346978 , -2.96227628,  1.27556633,
       -1.14434181])]"
movel,"[array([ 23.80297877, 572.50769061, 673.73752881])]","[array([ 0.06461571, -0.38983405, -2.04034198, -2.95535649,  1.28190485,
       -1.14716625])]"
movel,"[array([  8.52917554, 575.13975189, 675.52707162])]","[array([ 0.0868997 , -0.39334909, -2.04421665, -2.94566801,  1.28873479,
       -1.14821966])]"
movel,"[array([ -7.58046642, 576.41465114, 675.06239606])]","[array([ 0.11030436, -0.39555144, -2.04801664, -2.93321738,  1.29512689,
       -1.14751487])]"
movel,"[array([-24.27008931, 576.06594244, 672.03819744])]","[array([ 0.13478187, -0.39613758, -2.05198785, -2.9180679 ,  1.30054816,
       -1.1448969 ])]"
movel,"[array([-41.68546745, 574.02364306, 666.53159984])]","[array([ 0.15993583, -0.39665067, -2.05280459, -2.89986447,  1.30636069,
       -1.14013987])]"
movel,"[array([-59.26630455, 570.00096402, 658.20701529])]","[array([ 0.18629087, -0.39460126, -2.05477133, -2.87833603,  1.31079498,
       -1.13329166])]"
movel,"[array([-77.25561116, 563.82727381, 647.13221544])]","[array([ 0.21378464, -0.39111934, -2.05538428, -2.8528536 ,  1.31501004,
       -1.12409537])]"
movel,"[array([-95.49096853, 554.97258571, 632.79693802])]","[array([ 0.24246963, -0.3855897 , -2.05456426, -2.82311005,  1.31827852,
       -1.11229643])]"
movel,"[array([-113.97959762,  542.60370871,  614.53764237])]","[array([ 0.27244071, -0.37780593, -2.05125754, -2.78890434,  1.31973152,
       -1.09750822])]"
movel,"[array([-132.71568536,  525.9068447 ,  592.08804692])]","[array([ 0.30380286, -0.36732718, -2.04504473, -2.74982288,  1.31869826,
       -1.07957172])]"
movel,"[array([-151.5368424 ,  503.98887955,  565.61349401])]","[array([ 0.33686994, -0.35327329, -2.03643345, -2.70556758,  1.31446974,
       -1.05847418])]"
movel,"[array([-170.4350492 ,  475.74689041,  535.60310386])]","[array([ 0.37185563, -0.33582092, -2.02447006, -2.65648727,  1.30642517,
       -1.03425963])]"
movel,"[array([-189.18429558,  440.48662599,  503.27605925])]","[array([ 0.40860654, -0.31550334, -2.00900731, -2.60356441,  1.29395865,
       -1.00764097])]"
movel,"[array([-206.80452915,  398.49671399,  470.89829337])]","[array([ 0.44705209, -0.29308223, -1.99117462, -2.54801298,  1.27774155,
       -0.97939912])]"
movel,"[array([-221.58231792,  351.131378  ,  440.88900186])]","[array([ 0.48727411, -0.26986016, -1.97282463, -2.49082828,  1.25942942,
       -0.94999655])]"
movel,"[array([-231.13426222,  300.88551656,  415.18574771])]","[array([ 0.52918785, -0.24771143, -1.95545769, -2.43246312,  1.24161902,
       -0.91910922])]"
movel,"[array([-233.13144607,  250.71036446,  394.51716502])]","[array([ 0.57296069, -0.22772106, -1.9413177 , -2.37372   ,  1.22564449,
       -0.88638218])]"
movel,"[array([-227.55917277,  203.3022283 ,  378.50607965])]","[array([ 0.61741441, -0.21152088, -1.93011733, -2.31582089,  1.21147781,
       -0.85283208])]"
movel,"[array([-214.40097909,  160.75455146,  366.57442566])]","[array([ 0.66228811, -0.19950271, -1.92258236, -2.25940296,  1.19897669,
       -0.81859401])]"
movel,"[array([-194.83715967,  124.66869069,  358.24166073])]","[array([ 0.70658442, -0.19348396, -1.91698003, -2.20447411,  1.18861921,
       -0.78354873])]"
movel,"[array([-171.19683656,   95.24610586,  352.73947982])]","[array([ 0.74958634, -0.19289025, -1.91336194, -2.15192837,  1.17899236,
       -0.74945834])]"
movel,"[array([-69.61931073, -13.68950297, 348.69437661])]","[array([ 0.94654742, -0.30318531, -1.74895496, -2.02437037,  1.12899491,
       -0.57824151])]"
