primitives,points,q_bp
moveabsj,"[array([ 89.47148274, 494.82848199, 483.29294843])]","[array([-0.24270799, -0.10927068, -2.07436398, -2.81533027,  1.05534349,
       -1.11636733])]"
movel,"[array([ 83.66163985, 519.61081352, 587.11041233])]","[array([-0.06586837, -0.32635245, -1.97328106, -2.96758224,  1.19577611,
       -1.09662358])]"
movel,"[array([ 83.60703439, 525.64212033, 601.18749929])]","[array([-0.05196365, -0.33615417, -1.99002979, -2.966725  ,  1.21021572,
       -1.10157109])]"
movel,"[array([ 81.18443863, 533.65870606, 616.77596257])]","[array([-0.03890843, -0.34921335, -1.99773596, -2.9668114 ,  1.22712994,
       -1.10887357])]"
movel,"[array([ 77.08736637, 542.23942879, 632.11853625])]","[array([-0.02500974, -0.35934795, -2.0068686 , -2.96729159,  1.24195386,
       -1.11736707])]"
movel,"[array([ 70.65391225, 550.44582525, 645.42070271])]","[array([-0.0101204 , -0.36724201, -2.01632114, -2.96806299,  1.2530428 ,
       -1.12603858])]"
movel,"[array([ 61.45475145, 557.62439351, 655.89776995])]","[array([ 0.0060983 , -0.37499375, -2.02287936, -2.96827629,  1.26155793,
       -1.13367637])]"
movel,"[array([ 50.53528025, 563.71522505, 664.0309001 ])]","[array([ 0.02390703, -0.38098368, -2.0289678 , -2.96653344,  1.26885087,
       -1.13983685])]"
movel,"[array([ 37.89388366, 568.7398825 , 670.03955567])]","[array([ 0.04340583, -0.38606773, -2.03432909, -2.96221461,  1.27585248,
       -1.14435683])]"
movel,"[array([ 23.83957185, 572.50746754, 673.7275727 ])]","[array([ 0.06462051, -0.38968542, -2.04058615, -2.95535542,  1.2818103 ,
       -1.14718098])]"
movel,"[array([  8.56057076, 575.14670452, 675.53121543])]","[array([ 0.08689196, -0.39325036, -2.0443499 , -2.94565938,  1.28870208,
       -1.14823268])]"
movel,"[array([ -7.55669887, 576.43995585, 675.09327114])]","[array([ 0.11026302, -0.39553427, -2.04795888, -2.93318643,  1.29520675,
       -1.14753096])]"
movel,"[array([-24.34366787, 576.14928256, 672.19304712])]","[array([ 0.1346127 , -0.39670728, -2.05073988, -2.91796623,  1.30123839,
       -1.14487246])]"
movel,"[array([-41.76427781, 574.0849208 , 666.63679321])]","[array([ 0.15980233, -0.39712535, -2.05182879, -2.89978472,  1.30687183,
       -1.14011894])]"
movel,"[array([-59.22680278, 570.01542593, 658.21117112])]","[array([ 0.18627825, -0.39447063, -2.05495099, -2.87832208,  1.31075017,
       -1.13331457])]"
movel,"[array([-77.22225978, 563.83887178, 647.12774692])]","[array([ 0.21377682, -0.39099089, -2.05558346, -2.85284181,  1.31494395,
       -1.12412214])]"
movel,"[array([-95.49691952, 554.98923884, 632.81220243])]","[array([ 0.24243705, -0.38563141, -2.05446256, -2.82308778,  1.31834328,
       -1.11230144])]"
movel,"[array([-114.00276716,  542.61648946,  614.5662542 ])]","[array([ 0.27240599, -0.37793757, -2.05098928, -2.78888741,  1.3198688 ,
       -1.09748496])]"
movel,"[array([-132.69244408,  525.90547097,  592.0776406 ])]","[array([ 0.3038186 , -0.36722876, -2.04521517, -2.74982907,  1.31862721,
       -1.07958892])]"
movel,"[array([-151.53665838,  503.98562199,  565.60862269])]","[array([ 0.33687605, -0.35326373, -2.03646075, -2.70557085,  1.31445178,
       -1.05847774])]"
movel,"[array([-170.44672392,  475.75707056,  535.61949456])]","[array([ 0.37182803, -0.33588946, -2.02432572, -2.65647271,  1.30650135,
       -1.03424097])]"
movel,"[array([-189.19899789,  440.4948187 ,  503.29001352])]","[array([ 0.40857861, -0.31557789, -2.00886108, -2.60354981,  1.29403   ,
       -1.00761985])]"
movel,"[array([-206.77864174,  398.48347191,  470.88072438])]","[array([ 0.44710278, -0.29296916, -1.99138619, -2.54804298,  1.27764134,
       -0.97942793])]"
movel,"[array([-221.71974764,  351.11175628,  440.89363185])]","[array([ 0.48716559, -0.27030113, -1.9722008 , -2.49076169,  1.25961583,
       -0.94993663])]"
movel,"[array([-231.24759187,  300.88816661,  415.21475705])]","[array([ 0.52904286, -0.24812798, -1.95479214, -2.43237932,  1.24186379,
       -0.91900658])]"
movel,"[array([-233.12984413,  250.69658921,  394.5056266 ])]","[array([ 0.57299261, -0.22769615, -1.9413913 , -2.37373887,  1.22559697,
       -0.88640438])]"
movel,"[array([-227.5420196 ,  203.28463198,  378.47248998])]","[array([ 0.61747948, -0.21137381, -1.93043432, -2.31583767,  1.21133676,
       -0.85294003])]"
movel,"[array([-214.4074301 ,  160.74744941,  366.5621746 ])]","[array([ 0.66229264, -0.19948134, -1.92265575, -2.25939174,  1.19894181,
       -0.8186355 ])]"
movel,"[array([-194.85822095,  124.66619857,  358.25192965])]","[array([ 0.70655114, -0.19358222, -1.9168118 , -2.20446416,  1.18867442,
       -0.78349887])]"
movel,"[array([-171.26117478,   95.25100962,  352.76931793])]","[array([ 0.74945167, -0.19315422, -1.91290066, -2.15186508,  1.1791581 ,
       -0.7493207 ])]"
movel,"[array([-68.55127741, -17.144756  , 350.77536013])]","[array([ 0.9541034 , -0.33007987, -1.69790033, -2.04194986,  1.13671393,
       -0.55268192])]"
