primitives,points,q_bp
moveabsj,"[array([-257.13703603,  503.78340647,  560.95231391])]","[array([ 1.07581765,  0.35002062,  1.11110295, -0.6148388 , -0.67994656,
        5.0524556 ])]"
moveabsj,"[array([-351.27224762,  481.30081194,  590.2520834 ])]","[array([ 1.30219738,  0.32353535,  0.96503413, -0.58535161, -0.647861  ,
        5.0474883 ])]"
moveabsj,"[array([-354.88712587,  480.49896094,  592.8697028 ])]","[array([ 1.31130994,  0.32149273,  0.95672635, -0.58333893, -0.64705605,
        5.04723051])]"
moveabsj,"[array([-357.73974284,  480.37450366,  596.5031246 ])]","[array([ 1.31935318,  0.31845731,  0.94724615, -0.58008248, -0.6469472 ,
        5.04679567])]"
moveabsj,"[array([-359.8005114 ,  480.94814374,  601.22039018])]","[array([ 1.32620417,  0.31436146,  0.93644485, -0.57590938, -0.64735701,
        5.04640628])]"
moveabsj,"[array([-361.10778287,  482.1473207 ,  607.00779485])]","[array([ 1.3318833 ,  0.30926209,  0.92439465, -0.57074193, -0.64834991,
        5.0459225 ])]"
moveabsj,"[array([-361.70800537,  483.90554206,  613.86454945])]","[array([ 1.3364409 ,  0.30317607,  0.91111361, -0.56458601, -0.64987115,
        5.04529929])]"
moveabsj,"[array([-361.64406803,  486.11595858,  621.74145494])]","[array([ 1.33987993,  0.29619976,  0.89666444, -0.55751031, -0.65193501,
        5.0444458 ])]"
moveabsj,"[array([-360.99768874,  488.66956722,  630.59659607])]","[array([ 1.34229933,  0.28837307,  0.88107642, -0.5496435 , -0.65440932,
        5.0433679 ])]"
moveabsj,"[array([-359.88466607,  491.3904069 ,  640.29576531])]","[array([ 1.34382516,  0.27986199,  0.86451253, -0.54105425, -0.65731892,
        5.0419171 ])]"
moveabsj,"[array([-358.43991003,  494.10609328,  650.70379664])]","[array([ 1.34461119,  0.27078778,  0.84709558, -0.53201688, -0.66054716,
        5.04011941])]"
moveabsj,"[array([-356.87278928,  496.58995952,  661.57112655])]","[array([ 1.34495541,  0.26141101,  0.82913242, -0.52258362, -0.66416123,
        5.03777965])]"
moveabsj,"[array([-355.35986713,  498.66772427,  672.70651371])]","[array([ 1.34508185,  0.25186574,  0.81079999, -0.51324584, -0.66796393,
        5.03510418])]"
moveabsj,"[array([-354.16047477,  500.13523934,  683.80129841])]","[array([ 1.34541713,  0.24242461,  0.79251283, -0.50410228, -0.67197032,
        5.032006  ])]"
moveabsj,"[array([-353.4823941 ,  500.84624007,  694.5474641 ])]","[array([ 1.34630202,  0.23336794,  0.7746612 , -0.49545297, -0.67613911,
        5.02859123])]"
moveabsj,"[array([-353.49992994,  500.73212582,  704.68797114])]","[array([ 1.34806999,  0.22489969,  0.75758393, -0.48769174, -0.68024707,
        5.02515989])]"
moveabsj,"[array([-354.40198574,  499.747714  ,  713.89470788])]","[array([ 1.35114282,  0.21732432,  0.74178444, -0.48087511, -0.68421962,
        5.02177711])]"
moveabsj,"[array([-356.28338531,  497.91490506,  721.87464901])]","[array([ 1.35577516,  0.21092539,  0.72770334, -0.4752872 , -0.68787994,
        5.0187129 ])]"
moveabsj,"[array([-359.24105359,  495.28891251,  728.34494896])]","[array([ 1.36226755,  0.20595961,  0.71580644, -0.4710918 , -0.69097422,
        5.0161907 ])]"
moveabsj,"[array([-363.36338993,  491.93550196,  732.98512931])]","[array([ 1.37090946,  0.20275297,  0.70659174, -0.46840299, -0.69327982,
        5.01436212])]"
moveabsj,"[array([-368.72210831,  487.9205992 ,  735.4591861 ])]","[array([ 1.38193851,  0.20167611,  0.70051902, -0.46745223, -0.69453396,
        5.01342865])]"
